代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,23.70,23,6000,24.2,5000,24.75,23.30,23.99,24.20,77294,-,
1269,乾杯,68.90,63.7,3000,65.9,3000,66.00,62.80,64.95,65.60,26620,-,
1271,晨暉生技,63.50,60.1,6000,61.2,3000,63.50,60.30,61.23,61.50,44864,-,
1293,利統,26.20,24.5,3000,25.55,2999,26.30,24.95,25.12,25.55,14305,-,
1343,旭東環保,27.67,26.8,4000,27.3,3000,28.55,26.50,27.65,27.35,92109,-,
1480,東盟開發,8.83,8.35,5000,8.6,10000,8.60,8.50,8.55,8.50,31000,-,
1594,日高,8.30,8.13,5000,8.3,1000,8.70,8.17,8.41,8.30,34000,-,
2071,震南鐵,31.64,34.35,1000,35.1,2000,35.70,29.00,33.91,34.35,681358,-,
2237,華德動能,40.90,39.8,2840,40.15,6000,40.55,39.10,39.80,39.90,134951,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,26.88,25.4,3000,26.6,6000,27.20,25.65,26.65,26.55,29869,-,
2249,湧盛,107.94,103.5,1000,104,2000,107.50,103.50,105.15,104.00,86262,115/07/07,上櫃審議會通過
2252,為昇科,18.54,17.15,15000,17.7,4480,18.45,17.20,17.46,17.70,100163,-,
2255,凱銳光電,17.11,16.7,2000,17.1,5000,17.50,16.70,16.94,16.70,32196,-,
2256,歐特明,60.66,58.1,3000,60.9,3000,61.30,58.80,59.45,59.30,249135,-,
2644,中信造船,84.93,82.1,3000,84,6000,85.30,82.10,84.09,84.00,80973,-,
2733,維格餅家,10.88,10.55,10000,11.1,9999,11.30,10.30,10.56,11.10,36105,-,
2741,老四川,20.27,19.9,5000,20.5,2832,20.60,20.00,20.15,20.50,30638,-,
2758,路易莎咖啡,73.61,70.3,3000,73,5989,73.90,70.30,70.53,73.00,8351,-,
2760,巨宇翔,11.88,11.85,4000,12.4,4999,12.40,11.85,11.85,12.40,1001,-,
2761,橘焱胡同,15.54,14.8,5000,15.45,5000,15.50,14.90,15.26,15.45,28496,-,
2938,床的世界,26.25,24.2,3000,25.2,4000,26.25,25.00,25.07,25.20,22082,115/06/22,上櫃審議會通過
2940,歐都納,24.00,23.75,3000,24.7,3000,24.20,24.00,24.07,24.10,16000,-,
2942,京站,38.22,38.7,3000,39.4,3000,39.40,38.80,39.11,39.40,51201,-,
3097,拍檔,25.72,25.1,6000,25.75,6000,26.25,25.00,25.60,25.80,23284,-,
3117,年程,29.26,27.2,5000,28.4,6000,30.30,27.00,27.83,28.20,74683,-,
3184,微邦,14.66,14.15,4311,14.65,5000,15.05,14.15,14.34,14.15,269139,-,
3473,智通聯網,89.57,86,1000,89.5,2998,89.50,86.00,86.00,89.50,2002,-,
3585,聯致,57.10,50.2,2000,50.7,3998,56.50,49.85,51.74,50.70,1841014,-,
3595,山太士,2375.74,2200,2000,2220,1738,2405.00,2195.00,2272.07,2220.00,337265,115/06/17,送件申請上櫃
3603,建祥國際,7.10,6.94,5000,7.1,5000,7.10,7.10,7.10,7.10,2000,-,
3633,云光,120.50,117.5,5000,118.5,4000,121.00,117.50,118.33,119.00,26241,-,
3644,凌嘉科,293.19,284.5,2000,286.5,3000,293.00,282.00,286.58,286.00,136930,-,
3659,百辰,22.00,20.65,8000,21.65,3000,21.30,20.25,20.79,20.70,40355,-,
3678,聯享,50.53,48.05,3000,49.9,3000,51.00,48.05,49.77,50.00,46307,-,
4115,善德生技,7.73,7.4,10000,7.68,5000,7.85,7.39,7.66,7.65,56055,-,
4117,普生,11.62,10.3,5000,10.7,4999,11.30,10.00,10.58,10.70,821772,-,
4150,優你康,4.92,4.85,10000,4.92,8900,5.05,4.81,4.89,4.92,227262,-,
