rev_yoy,prev_rev_yoy,name,symbol,est_price,prev_year,prev_eps_yoy,price,prev_eps,date,expansion,eps,pe,eps_yoy,status,om,gm,advice
869.35,-3.19,廣穎,4973.TWO,130.95000000000002,2025,16.48,135.5,2.11,2026-03,23630.65,7.46,15.52119129438717,24500.0,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
98.33,-3.05,圓展,3669.TW,25.199999999999996,2025,-44.61,33.0,1.13,2026-03,6801.67,0.7,19.642857142857146,6900.0,🏰 高護城河,7.42%,56.66%,⚪ 中性觀察
1231.2,50.65,今國光,6209.TW,34.8,2025,222.67,65.4000015259,0.92,2026-03,6668.8,0.81,28.18965583012931,7900.0,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
2528.26,26.61,立萬利,3054.TW,60.45,2025,590.0,55.0,1.96,2026-03,4621.74,1.41,13.647642679900743,7150.0,🏰 高護城河,-188.65%,62.07%,✅ 穩健價值
273.9,-6.18,和成,1810.TW,55.95,2025,-73.68,28.25,0.05,2026-03,3859.43,3.64,7.57372654155496,4133.33,🚀 利潤擴張,N/A,N/A,💎 強力關注
1606.45,-12.31,台塑,1301.TW,-48.45,2025,-731.58,60.5999984741,-1.58,2026-03,3393.55,0.51,0.0,5000.0,🔄 轉虧為盈,-5.76%,2.38%,⚪ 數據不足
474.41,3.99,欣厚-KY,4924.TWO,12.3,2025,660.0,10.1499996185,0.38,2026-03,2925.59,0.35,12.378048315243902,3400.0,🚀 利潤擴張,0.43%,27.32%,✅ 穩健價值
564.36,9.79,金山電,8042.TWO,48.599999999999994,2025,48.33,117.5,0.89,2026-03,2635.64,2.17,36.26543209876544,3200.0,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
405.72,3.92,統一證,2855.TW,96.44999999999999,2025,0.0,42.9500007629,3.0,2026-03,2554.2799999999997,1.43,6.679626868258165,2960.0,🏰 高護城河,34.40%,82.96%,💎 強力關注
667.05,-4.69,穩懋,3105.TWO,88.05,2025,120.99,313.5,4.0,2026-03,2382.95,1.26,53.407155025553664,3050.0,🚀 利潤擴張,13.87%,31.80%,⚠️ 追價風險
395.99,12.31,新紡,1419.TW,274.05000000000007,2025,41.38,66.9000015259,4.11,2026-03,2337.34,9.37,3.661740641811712,2733.33,🚀 利潤擴張,10.89%,27.15%,💎 強力關注
726.37,10.09,一詮,2486.TW,9.150000000000002,2025,175.0,216.5,0.22,2026-03,2173.63,0.29,354.9180327868852,2900.0,🚀 利潤擴張,1.35%,15.86%,⚠️ 追價風險
205.99,13.61,虹光,2380.TW,34.800000000000004,2025,110.31,19.5,0.72,2026-03,1694.01,0.4,8.405172413793103,1900.0,🚀 利潤擴張,0.24%,24.41%,💎 強力關注
1769.87,-5.25,嘉晶,3016.TW,2.849999999999999,2025,-92.39,101.0,0.07,2026-03,1630.13,0.35,531.5789473684212,3400.0,🚀 利潤擴張,4.89%,11.81%,⚠️ 追價風險
1383.79,0.12,南亞,1303.TW,27.900000000000006,2025,35.71,186.5,0.57,2026-03,1516.21,1.8,100.26881720430106,2900.0,🚀 利潤擴張,2.06%,9.25%,⚠️ 追價風險
1031.36,-14.09,映泰,2399.TW,18.599999999999998,2025,275.0,36.7000007629,0.15,2026-03,1335.3100000000002,1.48,29.596774808790325,2366.67,🚀 利潤擴張,-12.67%,8.40%,⚠️ 追價風險
974.97,-4.5,永純,4711.TWO,7.65,2025,50.0,16.1499996185,0.15,2026-03,1225.03,0.23,31.66666591862745,2200.0,🚀 利潤擴張,2.47%,14.61%,⚠️ 追價風險
142.36,-0.24,中纖,1718.TW,6.15,2025,250.0,13.0,0.09,2026-03,1157.6399999999999,0.17,31.707317073170728,1300.0,🚀 利潤擴張,18.72%,41.46%,⚠️ 追價風險
120.91,49.68,倚強科,3219.TWO,67.5,2025,406.67,63.5999984741,1.52,2026-03,1154.09,0.48,14.133332994244444,1275.0,🏰 高護城河,-15.39%,69.49%,✅ 穩健價值
536.39,9.81,邑昇,5291.TWO,11.1,2025,-17.95,49.2999992371,0.31,2026-03,1063.6100000000001,0.17,66.62162059067568,1600.0,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
117.67,4.27,星通,3025.TW,78.44999999999999,2025,-6.25,55.2000007629,3.45,2026-03,982.33,0.6,10.55449345370937,1100.0,🏰 高護城河,43.45%,68.55%,💎 強力關注
1792.89,2.46,十銓,4967.TW,669.75,2025,110.31,208.5,13.06,2026-03,807.1099999999999,27.0,4.669652855543113,2600.0,🚀 利潤擴張,N/A,N/A,💎 強力關注
280.55,21.27,所羅門,2359.TW,17.699999999999996,2025,46.43,134.5,1.23,2026-03,733.74,0.78,113.98305084745765,1014.29,🚀 利潤擴張,2.82%,24.10%,⚠️ 追價風險
496.76,-40.26,中化生,1762.TW,-85.05,2025,-566.18,34.7999992371,-4.39,2026-03,714.3499999999999,1.64,0.0,1211.11,🔄 轉虧為盈,-143.69%,-78.82%,⚪ 數據不足
2018.02,8.08,晶豪科,3006.TW,36.29999999999999,2025,-51.41,188.5,0.87,2026-03,648.6500000000001,7.22,77.8925619834711,2666.67,🚀 利潤擴張,20.25%,32.33%,⚠️ 追價風險
510.23,-10.95,盟立,2464.TW,-26.55,2025,-266.0,134.5,-0.84,2026-03,589.77,0.24,0.0,1100.0,🔄 轉虧為盈,-3.37%,17.62%,⚪ 數據不足
1484.6,69.84,創見,2451.TW,586.95,2025,140.33,221.0,12.98,2026-03,583.2200000000003,18.93,5.647840531561461,2067.82,🏰 高護城河,55.59%,61.62%,💎 強力關注
224.53,58.31,台鋼建設,3521.TWO,29.400000000000006,2025,89.09,12.1000003815,-0.07,2026-03,582.14,2.12,6.173469582397957,806.67,🔄 轉虧為盈,-147.39%,-40.24%,💎 強力關注
1184.49,-44.61,南港,2101.TW,30.6,2025,-68.84,33.5,1.01,2026-03,579.1500000000001,1.86,16.42156862745098,1763.64,🚀 利潤擴張,4.39%,20.96%,⚪ 中性觀察
543.13,-2.21,高鋒,4510.TWO,-36.6,2025,-197.14,38.0999984741,-1.02,2026-03,556.87,0.2,0.0,1100.0,🔄 轉虧為盈,-1.97%,14.87%,⚪ 數據不足
688.27,-19.66,微端,3285.TWO,15.75,2025,-40.68,38.5999984741,0.7,2026-03,511.73,0.26,36.76190330866666,1200.0,🚀 利潤擴張,8.69%,28.61%,⚠️ 追價風險
43.25,20.92,GOGOLOOK,6902.TW,52.05,2025,222.58,120.5,1.58,2026-03,487.52,1.64,34.726224783861674,530.77,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
335.75,5.06,鑫永洋,6241.TWO,-7.499999999999999,2025,74.6,16.0,-0.16,2026-03,484.25,0.46,0.0,820.0,🔄 轉虧為盈,N/A,N/A,⚪ 數據不足
727.58,-6.1,綠電,8440.TWO,8.850000000000001,2025,-42.59,20.2000007629,0.31,2026-03,472.41999999999996,0.22,34.23728942864406,1200.0,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
-25.82,-41.11,富田-創,4590.TW,0.0,2025,-1.45,88.9000015259,2.72,2026-03,444.74,1.21,0.0,418.92,🧐 疑業外收益,-0.34%,30.54%,⚪ 數據不足
187.7,11.66,麗正,2302.TW,17.400000000000002,2025,-34.67,39.1500015259,0.49,2026-03,412.3,0.25,33.750001315431035,600.0,🚀 利潤擴張,11.05%,36.04%,⚠️ 追價風險
646.87,9.55,華邦電,2344.TW,40.8,2025,576.92,151.0,0.88,2026-03,390.63,2.25,55.51470588235295,1037.5,🚀 利潤擴張,15.37%,41.86%,⚠️ 追價風險
6.45,28.36,宏�砦C戲-創,6908.TW,0.0,2025,5.88,36.75,1.44,2026-03,381.05,0.41,0.0,387.5,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
359.78,-15.3,應廣,6716.TWO,81.60000000000001,2025,-49.65,80.3000030518,2.19,2026-03,356.01,1.59,14.761029972757353,715.79,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
37.41,9.95,寶碩,5210.TWO,19.499999999999996,2025,207.35,29.1499996185,0.73,2026-03,342.59000000000003,0.24,22.423076629615387,380.0,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
750.53,25.85,鈺鎧,5228.TWO,-8.4,2025,90.52,41.5999984741,-0.2,2026-03,339.47,0.99,0.0,1090.0,🔄 轉虧為盈,N/A,N/A,⚪ 數據不足
179.43,5.96,亞洲藏壽司,2754.TWO,92.55,2025,1.73,68.8000030518,2.35,2026-03,338.21999999999997,1.42,11.150729830113454,517.65,🚀 利潤擴張,N/A,N/A,💎 強力關注
237.41,-3.75,旭然,4556.TWO,26.4,2025,170.59,114.5,0.92,2026-03,312.59000000000003,0.13,65.05681818181819,550.0,🚀 利潤擴張,14.30%,42.07%,⚠️ 追價風險
343.32,-5.82,協禧,3071.TWO,25.95,2025,-29.63,25.8999996185,0.57,2026-03,306.68,0.15,14.971098045375722,650.0,🚀 利潤擴張,7.94%,30.11%,✅ 穩健價值
849.86,23.29,群聯,8299.TWO,2097.2999999999997,2025,3.78,1735.0,41.98,2026-03,293.43999999999994,68.8,12.408811328851382,1143.3,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
270.3,-14.91,慧智,6615.TWO,-2.2499999999999996,2025,-150.59,34.0,-0.43,2026-03,276.36999999999995,0.67,0.0,546.67,🔄 轉虧為盈,N/A,N/A,⚪ 數據不足
371.03,0.1,康舒,6282.TW,-9.150000000000002,2025,550.0,46.8499984741,0.18,2026-03,268.97,0.27,0.0,640.0,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
186.87,5.03,三貝德,8489.TWO,-20.1,2025,55.83,22.8500003815,-0.76,2026-03,258.58,0.38,0.0,445.45,🔄 轉虧為盈,N/A,N/A,⚪ 數據不足
473.51,0.89,事欣科,4916.TW,120.3,2025,8050.0,97.6999969482,1.77,2026-03,228.27999999999997,4.49,12.182044507256858,701.79,🚀 利潤擴張,8.07%,18.73%,✅ 穩健價值
292.4,-3.15,銘旺實,4432.TWO,44.1,2025,-66.67,15.9499998093,0.88,2026-03,226.35000000000002,2.97,5.425170003163265,518.75,🚀 利潤擴張,N/A,N/A,💎 強力關注
132.31,-61.59,中美實,4702.TWO,14.700000000000001,2025,51.72,9.4600000381,0.88,2026-03,217.69,0.45,9.653061263367347,350.0,🚀 利潤擴張,-88.29%,35.38%,💎 強力關注
297.67,5.83,東哥遊艇,8478.TW,493.65000000000003,2025,33.97,151.0,13.25,2026-03,215.22999999999996,3.8,4.588271042236402,512.9,🚀 利潤擴張,N/A,N/A,💎 強力關注
