expansion,est_price,price,date,prev_rev_yoy,prev_eps,status,om,rev_yoy,prev_eps_yoy,advice,prev_year,name,eps_yoy,eps,pe,gm,symbol
23630.65,130.95000000000002,140.0,2026-03,-3.19,2.11,🚀 利潤擴張,N/A,869.35,16.48,⚪ 中性觀察,2025,廣穎,24500.0,7.46,16.036655211912944,N/A,4973.TWO
6801.67,25.199999999999996,33.5,2026-03,-3.05,1.13,🏰 高護城河,7.42%,98.33,-44.61,⚪ 中性觀察,2025,圓展,6900.0,0.7,19.940476190476193,56.66%,3669.TW
6668.8,34.8,67.5999984741,2026-03,50.65,0.92,🚀 利潤擴張,N/A,1231.2,222.67,⚠️ 追價風險,2025,今國光,7900.0,0.81,29.137930376767244,N/A,6209.TW
4621.74,60.45,54.9000015259,2026-03,26.61,1.96,🏰 高護城河,-188.65%,2528.26,590.0,✅ 穩健價值,2025,立萬利,7150.0,1.41,13.622829162754343,62.07%,3054.TW
3859.43,55.95,31.0499992371,2026-03,-6.18,0.05,🚀 利潤擴張,N/A,273.9,-73.68,💎 強力關注,2025,和成,4133.33,3.64,8.324396578310992,N/A,1810.TW
3393.55,-48.45,63.0,2026-03,-12.31,-1.58,🔄 轉虧為盈,-5.76%,1606.45,-731.58,⚪ 數據不足,2025,台塑,5000.0,0.51,0.0,2.38%,1301.TW
2925.59,12.3,10.3000001907,2026-03,3.99,0.38,🚀 利潤擴張,0.43%,474.41,660.0,✅ 穩健價值,2025,欣厚-KY,3400.0,0.35,12.560975842317072,27.32%,4924.TWO
2635.64,48.599999999999994,120.5,2026-03,9.79,0.89,🚀 利潤擴張,N/A,564.36,48.33,⚠️ 追價風險,2025,金山電,3200.0,2.17,37.19135802469136,N/A,8042.TWO
2554.2799999999997,96.44999999999999,43.6500015259,2026-03,3.92,3.0,🏰 高護城河,34.40%,405.72,0.0,💎 強力關注,2025,統一證,2960.0,1.43,6.788491683654744,82.96%,2855.TW
2382.95,88.05,339.5,2026-03,-4.69,4.0,🚀 利潤擴張,13.87%,667.05,120.99,⚠️ 追價風險,2025,穩懋,3050.0,1.26,57.83645655877342,31.80%,3105.TWO
2337.34,274.05000000000007,66.9000015259,2026-03,12.31,4.11,🚀 利潤擴張,10.89%,395.99,41.38,💎 強力關注,2025,新紡,2733.33,9.37,3.661740641811712,27.15%,1419.TW
2173.63,9.150000000000002,218.5,2026-03,10.09,0.22,🚀 利潤擴張,1.35%,726.37,175.0,⚠️ 追價風險,2025,一詮,2900.0,0.29,358.19672131147536,15.86%,2486.TW
1694.01,34.800000000000004,19.2999992371,2026-03,13.61,0.72,🚀 利潤擴張,0.24%,205.99,110.31,💎 強力關注,2025,虹光,1900.0,0.4,8.318965188405171,24.41%,2380.TW
1630.13,2.849999999999999,101.5,2026-03,-5.25,0.07,🚀 利潤擴張,4.89%,1769.87,-92.39,⚠️ 追價風險,2025,嘉晶,3400.0,0.35,534.2105263157896,11.81%,3016.TW
1516.21,27.900000000000006,195.5,2026-03,0.12,0.57,🚀 利潤擴張,2.06%,1383.79,35.71,⚠️ 追價風險,2025,南亞,2900.0,1.8,105.10752688172042,9.25%,1303.TW
1335.3100000000002,18.599999999999998,38.1500015259,2026-03,-14.09,0.15,🚀 利潤擴張,-12.67%,1031.36,275.0,⚠️ 追價風險,2025,映泰,2366.67,1.48,30.76613026282259,8.40%,2399.TW
1225.03,7.65,16.5,2026-03,-4.5,0.15,🚀 利潤擴張,2.47%,974.97,50.0,⚠️ 追價風險,2025,永純,2200.0,0.23,32.35294117647059,14.61%,4711.TWO
1157.6399999999999,6.15,13.1999998093,2026-03,-0.24,0.09,🚀 利潤擴張,18.72%,142.36,250.0,⚠️ 追價風險,2025,中纖,1300.0,0.17,32.195121486097555,41.46%,1718.TW
1154.09,67.5,65.6999969482,2026-03,49.68,1.52,🏰 高護城河,-15.39%,120.91,406.67,✅ 穩健價值,2025,倚強科,1275.0,0.48,14.59999932182222,69.49%,3219.TWO
