advice,prev_eps,est_price,date,om,prev_year,eps,status,pe,prev_eps_yoy,symbol,name,eps_yoy,gm,prev_rev_yoy,expansion,price,rev_yoy
⚪ 中性觀察,2.11,130.95000000000002,2026-03,N/A,2025,7.46,🚀 利潤擴張,16.552119129438715,16.48,4973.TWO,廣穎,24500.0,N/A,-3.19,23630.65,144.5,869.35
⚪ 中性觀察,1.13,25.199999999999996,2026-03,7.42%,2025,0.7,🏰 高護城河,21.66666757494048,-44.61,3669.TW,圓展,6900.0,56.66%,-3.05,6801.67,36.4000015259,98.33
⚠️ 追價風險,0.92,34.8,2026-03,N/A,2025,0.81,🚀 利潤擴張,30.172413793103452,222.67,6209.TW,今國光,7900.0,N/A,50.65,6668.8,70.0,1231.2
✅ 穩健價值,1.96,60.45,2026-03,-188.65%,2025,1.41,🏰 高護城河,13.672456197047145,590.0,3054.TW,立萬利,7150.0,62.07%,26.61,4621.74,55.0999984741,2528.26
💎 強力關注,0.05,55.95,2026-03,N/A,2025,3.64,🚀 利潤擴張,9.155496387640751,-73.68,1810.TW,和成,4133.33,N/A,-6.18,3859.43,34.1500015259,273.9
⚪ 數據不足,-1.58,-48.45,2026-03,-5.76%,2025,0.51,🔄 轉虧為盈,0.0,-731.58,1301.TW,台塑,5000.0,2.38%,-12.31,3393.55,63.5,1606.45
✅ 穩健價值,0.38,12.3,2026-03,0.43%,2025,0.35,🚀 利潤擴張,12.317073635975607,660.0,4924.TWO,欣厚-KY,3400.0,27.32%,3.99,2925.59,10.1000003815,474.41
⚠️ 追價風險,0.89,48.599999999999994,2026-03,N/A,2025,2.17,🚀 利潤擴張,39.96913580246914,48.33,8042.TWO,金山電,3200.0,N/A,9.79,2635.64,129.5,564.36
💎 強力關注,3.0,96.44999999999999,2026-03,34.40%,2025,1.43,🏰 高護城河,6.920684292379471,0.0,2855.TW,統一證,2960.0,82.96%,3.92,2554.2799999999997,44.5,405.72
⚠️ 追價風險,4.0,88.05,2026-03,13.87%,2025,1.26,🚀 利潤擴張,61.158432708688245,120.99,3105.TWO,穩懋,3050.0,31.80%,-4.69,2382.95,359.0,667.05
💎 強力關注,4.11,274.05000000000007,2026-03,10.89%,2025,9.37,🚀 利潤擴張,3.607006104318554,41.38,1419.TW,新紡,2733.33,27.15%,12.31,2337.34,65.9000015259,395.99
⚠️ 追價風險,0.22,9.150000000000002,2026-03,1.35%,2025,0.29,🚀 利潤擴張,381.1475409836065,175.0,2486.TW,一詮,2900.0,15.86%,10.09,2173.63,232.5,726.37
💎 強力關注,0.72,34.800000000000004,2026-03,0.24%,2025,0.4,🚀 利潤擴張,8.23275878512931,110.31,2380.TW,虹光,1900.0,24.41%,13.61,1694.01,19.1000003815,205.99
⚠️ 追價風險,0.07,2.849999999999999,2026-03,4.89%,2025,0.35,🚀 利潤擴張,552.6315789473686,-92.39,3016.TW,嘉晶,3400.0,11.81%,-5.25,1630.13,105.0,1769.87
⚠️ 追價風險,0.57,27.900000000000006,2026-03,2.06%,2025,1.8,🚀 利潤擴張,111.8279569892473,35.71,1303.TW,南亞,2900.0,9.25%,0.12,1516.21,208.0,1383.79
⚠️ 追價風險,0.15,18.599999999999998,2026-03,-12.67%,2025,1.48,🚀 利潤擴張,31.814516744274197,275.0,2399.TW,映泰,2366.67,8.40%,-14.09,1335.3100000000002,39.4500007629,1031.36
⚠️ 追價風險,0.15,7.65,2026-03,2.47%,2025,0.23,🚀 利潤擴張,32.450978896274506,50.0,4711.TWO,永純,2200.0,14.61%,-4.5,1225.03,16.5499992371,974.97
⚠️ 追價風險,0.09,6.15,2026-03,18.72%,2025,0.17,🚀 利潤擴張,30.121952149999995,250.0,1718.TW,中纖,1300.0,41.46%,-0.24,1157.6399999999999,12.3500003815,142.36
✅ 穩健價值,1.52,67.5,2026-03,-15.39%,2025,0.48,🏰 高護城河,14.688888549800001,406.67,3219.TWO,倚強科,1275.0,69.49%,49.68,1154.09,66.0999984741,120.91
⚠️ 追價風險,0.31,11.1,2026-03,N/A,2025,0.17,🚀 利潤擴張,75.0,-17.95,5291.TWO,邑昇,1600.0,N/A,9.81,1063.6100000000001,55.5,536.39
💎 強力關注,3.45,78.44999999999999,2026-03,43.45%,2025,0.6,🏰 高護城河,10.936902631529637,-6.25,3025.TW,星通,1100.0,68.55%,4.27,982.33,57.2000007629,117.67
💎 強力關注,13.06,669.75,2026-03,N/A,2025,27.0,🚀 利潤擴張,4.8936170212765955,110.31,4967.TW,十銓,2600.0,N/A,2.46,807.1099999999999,218.5,1792.89
⚠️ 追價風險,1.23,17.699999999999996,2026-03,2.82%,2025,0.78,🚀 利潤擴張,117.79661016949156,46.43,2359.TW,所羅門,1014.29,24.10%,21.27,733.74,139.0,280.55
⚪ 數據不足,-4.39,-85.05,2026-03,-143.69%,2025,1.64,🔄 轉虧為盈,0.0,-566.18,1762.TW,中化生,1211.11,-78.82%,-40.26,714.3499999999999,34.9000015259,496.76
⚠️ 追價風險,0.87,36.29999999999999,2026-03,20.25%,2025,7.22,🚀 利潤擴張,89.87603305785126,-51.41,3006.TW,晶豪科,2666.67,32.33%,8.08,648.6500000000001,217.5,2018.02
⚪ 數據不足,-0.84,-26.55,2026-03,-3.37%,2025,0.24,🔄 轉虧為盈,0.0,-266.0,2464.TW,盟立,1100.0,17.62%,-10.95,589.77,151.0,510.23
💎 強力關注,12.98,586.95,2026-03,55.59%,2025,18.93,🏰 高護城河,6.171735241502683,140.33,2451.TW,創見,2067.82,61.62%,69.84,583.2200000000003,241.5,1484.6
💎 強力關注,-0.07,29.400000000000006,2026-03,-147.39%,2025,2.12,🔄 轉虧為盈,6.27551030137755,89.09,3521.TWO,台鋼建設,806.67,-40.24%,58.31,582.14,12.3000001907,224.53
⚪ 中性觀察,1.01,30.6,2026-03,4.39%,2025,1.86,🚀 利潤擴張,16.47058748730392,-68.84,2101.TW,南港,1763.64,20.96%,-44.61,579.1500000000001,33.5999984741,1184.49
⚪ 數據不足,-1.02,-36.6,2026-03,-1.97%,2025,0.2,🔄 轉虧為盈,0.0,-197.14,4510.TWO,高鋒,1100.0,14.87%,-2.21,556.87,39.7000007629,543.13
⚠️ 追價風險,0.7,15.75,2026-03,8.69%,2025,0.26,🚀 利潤擴張,37.476189022952376,-40.68,3285.TWO,微端,1200.0,28.61%,-19.66,511.73,39.3499984741,688.27
⚠️ 追價風險,1.58,52.05,2026-03,N/A,2025,1.64,🚀 利潤擴張,35.158501440922194,222.58,6902.TW,GOGOLOOK,530.77,N/A,20.92,487.52,122.0,43.25
⚪ 數據不足,-0.16,-7.499999999999999,2026-03,N/A,2025,0.46,🔄 轉虧為盈,0.0,74.6,6241.TWO,鑫永洋,820.0,N/A,5.06,484.25,16.8999996185,335.75
⚠️ 追價風險,0.31,8.850000000000001,2026-03,N/A,2025,0.22,🚀 利潤擴張,34.067797256779656,-42.59,8440.TWO,綠電,1200.0,N/A,-6.1,472.41999999999996,20.1000003815,727.58
