id,name,price,signal,pnl,count,win_rate,reason
8291.TWO,尚茂,39.9500007629,☁️ 觀望,402.84,4,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
7610.TW,聯友金屬-創,1835.0,☁️ 觀望,226.43,8,75.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6727.TWO,亞泰金屬,365.5,☁️ 觀望,217.03,9,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
3577.TWO,泓格,152.0,💎 持股,178.81,5,80.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3026.TW,禾伸堂,663.0,☁️ 觀望,176.38,8,87.5,[P:0.95/8.0] [📉 轉弱] 等待機會
6147.TWO,頎邦,190.0,☁️ 觀望,171.52,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
8033.TW,雷虎,196.5,☁️ 觀望,150.4,7,28.57,[P:0.95/50.0] [📈 穩定] 等待機會
8021.TW,尖點,418.5,☁️ 觀望,142.8,9,55.56,[P:0.95/8.0] [📉 轉弱] 等待機會
02001L.TW,富邦蘋果正二N,144.5,☁️ 觀望,135.97,1,100.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6182.TWO,合晶,129.0,🟡 預警 (⚠️ 乖離過高),128.66,9,66.67,[P:0.95/8.0] [📈 穩定] 乖離率 17.3% 謹慎追價
2491.TW,吉祥全,30.7999992371,☁️ 觀望,122.08,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
4991.TWO,環宇-KY,420.5,☁️ 觀望,120.11,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
6830.TW,汎銓,370.5,☁️ 觀望,117.76,10,30.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2645.TW,長榮航太,195.0,☁️ 觀望,116.41,8,50.0,[P:0.95/50.0] [📈 穩定] 等待機會
3167.TW,大量,699.0,☁️ 觀望,115.39,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6274.TWO,台燿,1355.0,☁️ 觀望,114.59,13,38.46,[P:0.95/8.0] [📉 轉弱] 等待機會
2313.TW,華通,208.0,☁️ 觀望,111.59,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2375.TW,凱美,145.5,☁️ 觀望,101.68,6,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2316.TW,楠梓電,161.5,☁️ 觀望,101.01,8,37.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2429.TW,銘旺科,40.9000015259,☁️ 觀望,100.26,6,50.0,[P:0.95/8.0] [📈 穩定] 等待機會
2231.TW,為升,105.0,☁️ 觀望,99.02,3,66.67,[P:0.95/50.0] [📈 穩定] 等待機會
2492.TW,華新科,300.0,☁️ 觀望,96.9,11,36.36,[P:0.95/8.0] [📉 轉弱] 等待機會
5371.TWO,中光電,86.0,🟡 預警 (⚠️ 乖離過高),88.15,4,25.0,[P:0.95/8.0] [🚀 極強] 乖離率 8.4% 謹慎追價
7751.TWO,竑騰,1260.0,🟡 預警 (🚀 動能初現),86.81,7,57.14,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.3%)
00927.TW,群益半導體收益,37.2000007629,☁️ 觀望,85.5,6,100.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2478.TW,大毅,150.0,☁️ 觀望,84.31,9,44.44,[P:0.95/8.0] [📉 轉弱] 等待機會
00685L.TW,群益臺灣加權正2,11.3800001144,☁️ 觀望,83.95,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
8996.TW,高力,1080.0,☁️ 觀望,81.81,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2630.TW,亞航,53.2000007629,❄️ 賣出,81.62,4,50.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢轉弱(強制)
1717.TW,長興,62.5999984741,☁️ 觀望,76.3,7,28.57,[P:0.95/8.0] [📉 轉弱] 等待機會
8045.TW,達運光電,62.5,☁️ 觀望,75.38,4,50.0,[P:0.95/8.0] [📈 穩定] 等待機會
5328.TWO,華容,66.3000030518,☁️ 觀望,75.18,10,60.0,[P:0.95/50.0] [🚀 極強] 等待機會
6442.TW,光聖,1385.0,☁️ 觀望,71.99,7,57.14,[P:0.95/8.0] [📉 轉弱] 等待機會
3576.TW,聯合再生,19.4500007629,☁️ 觀望,70.92,8,37.5,[P:0.95/8.0] [🚀 極強] 等待機會
6206.TW,飛捷,126.5,🟡 預警 (🚀 動能初現),70.25,8,25.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:7.2%)
8926.TW,台汽電,64.6999969482,☁️ 觀望,70.09,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
8043.TWO,蜜望實,149.0,☁️ 觀望,69.2,11,36.36,[P:0.95/8.0] [📉 轉弱] 等待機會
4707.TWO,磐亞,35.4500007629,☁️ 觀望,69.02,8,25.0,[P:0.95/50.0] [📈 穩定] 等待機會
2882.TW,國泰金,96.8000030518,🟡 預警 (⚡ 糾結噴發),67.17,6,66.67,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
3707.TWO,漢磊,66.0,☁️ 觀望,64.82,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
1303.TW,南亞,208.0,💎 持股,64.55,11,54.55,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3485.TWO,敘豐,247.0,☁️ 觀望,63.76,13,46.15,[P:0.95/8.0] [📉 轉弱] 等待機會
2885.TW,元大金,63.0999984741,☁️ 觀望,62.51,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
8105.TW,凌巨,17.7999992371,☁️ 觀望,62.28,6,66.67,[P:0.95/8.0] [📉 轉弱] 等待機會
6116.TW,彩晶,14.6499996185,☁️ 觀望,61.34,8,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
00631L.TW,元大台灣50正2,34.7999992371,☁️ 觀望,61.26,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2486.TW,一詮,232.5,☁️ 觀望,60.98,5,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6505.TW,台塑化,85.0999984741,💎 持股,60.31,9,33.33,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
00947.TW,台新臺灣IC設計,35.5499992371,☁️ 觀望,59.72,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
00888.TWO,永豐台灣ESG,35.5900001526,☁️ 觀望,59.26,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
00923.TW,群益台ESG低碳50,41.0800018311,☁️ 觀望,59.07,7,71.43,[P:0.95/8.0] [📉 轉弱] 等待機會
6488.TWO,環球晶,1240.0,☁️ 觀望,58.44,8,37.5,[P:0.95/50.0] [🚀 極強] 等待機會
8131.TW,福懋科,71.8000030518,☁️ 觀望,58.26,7,57.14,[P:0.95/8.0] [📉 轉弱] 等待機會
2887.TW,台新新光金,34.5999984741,☁️ 觀望,56.89,7,71.43,[P:0.95/8.0] [🚀 極強] 等待機會
00980A.TW,主動野村臺灣優選,23.0,☁️ 觀望,56.86,3,100.0,[P:0.95/8.0] [📉 轉弱] 等待機會
8150.TW,南茂,100.0,☁️ 觀望,56.64,9,55.56,[P:0.95/8.0] [📉 轉弱] 等待機會
5426.TWO,振發,28.75,🟡 預警 (🚀 動能初現),55.3,4,25.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:8.3%)
1810.TW,和成,34.1500015259,💎 持股,55.14,7,57.14,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6426.TW,統新,167.0,☁️ 觀望,53.69,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
8042.TWO,金山電,129.5,☁️ 觀望,53.43,10,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
4541.TWO,晟田,70.5999984741,🚀 持股,53.33,8,37.5,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
7709.TWO,榮田,79.4000015259,☁️ 觀望,53.14,9,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2027.TW,大成鋼,43.75,🟡 預警 (🚀 動能初現),52.52,5,40.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:5.8%)
3149.TW,正達,72.8000030518,☁️ 觀望,51.51,9,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2493.TW,揚博,262.0,☁️ 觀望,50.87,9,44.44,[P:0.95/8.0] [📉 轉弱] 等待機會
1466.TW,聚隆,17.2999992371,☁️ 觀望,50.56,6,66.67,[P:0.95/50.0] [📈 穩定] 等待機會
6548.TWO,長科*,71.8000030518,☁️ 觀望,50.11,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
3230.TWO,錦明,42.5499992371,☁️ 觀望,49.55,4,50.0,[P:0.95/50.0] [📈 穩定] 等待機會
1409.TW,新纖,24.3999996185,☁️ 觀望,48.14,6,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
00878.TW,國泰永續高股息,32.7200012207,☁️ 觀望,47.39,7,57.14,[P:0.95/8.0] [📉 轉弱] 等待機會
3088.TWO,艾訊,147.5,🟡 預警 (🚀 動能初現),47.39,5,60.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:2.8%)
2891.TW,中信金,64.0,☁️ 觀望,47.31,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2357.TW,華碩,757.0,💎 持股,45.81,9,66.67,[📈 標準 V3] [P:0.95/8.0] [📉 轉弱] 趨勢維持
3532.TW,台勝科,468.0,☁️ 觀望,45.29,10,50.0,[P:0.95/50.0] [🚀 極強] 等待機會
6890.TW,來億-KY,171.0,☁️ 觀望,44.9,4,75.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3609.TWO,三一東林,26.2999992371,❄️ 賣出,43.99,5,60.0,[📈 標準 V3] [P:0.95/8.0] [📉 轉弱] 趨勢轉弱(強制)
1314.TW,中石化,8.4200000763,☁️ 觀望,43.14,7,71.43,[P:0.95/8.0] [🚀 極強] 等待機會
6005.TW,群益證,34.1500015259,☁️ 觀望,43.13,8,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
5345.TWO,馥鴻,22.9500007629,☁️ 觀望,41.99,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
2406.TW,國碩,35.2999992371,☁️ 觀望,41.07,8,37.5,[P:0.95/8.0] [🚀 極強] 等待機會
00918.TW,大華優利高填息30,32.4000015259,🟡 預警 (⚡ 糾結噴發),39.89,9,66.67,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
1326.TW,台化,70.5999984741,💎 持股,39.01,7,57.14,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2881.TW,富邦金,127.0,☁️ 觀望,38.93,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
5222.TW,全訊,117.5,☁️ 觀望,38.78,4,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2484.TW,希華,72.0999984741,☁️ 觀望,36.96,10,50.0,[P:0.95/8.0] [🚀 極強] 等待機會
