eps_yoy,prev_eps,pe,eps,status,gm,date,prev_year,name,est_price,price,rev_yoy,expansion,prev_rev_yoy,om,prev_eps_yoy,symbol,advice
24500.0,2.11,16.323024054982817,7.46,🚀 利潤擴張,N/A,2026-03,2025,廣穎,130.95000000000002,142.5,869.35,23630.65,-3.19,N/A,16.48,4973.TWO,⚪ 中性觀察
6900.0,1.13,25.327380498273815,0.7,🏰 高護城河,56.66%,2026-03,2025,圓展,25.199999999999996,42.5499992371,98.33,6801.67,-3.05,7.42%,-44.61,3669.TW,⚠️ 追價風險
7900.0,0.92,29.827584891465516,0.81,🚀 利潤擴張,N/A,2026-03,2025,今國光,34.8,69.1999969482,1231.2,6668.8,50.65,N/A,222.67,6209.TW,⚠️ 追價風險
7150.0,1.96,13.151364764267989,1.41,🏰 高護城河,62.07%,2026-03,2025,立萬利,60.45,53.0,2528.26,4621.74,26.61,-188.65%,590.0,3054.TW,✅ 穩健價值
4133.33,0.05,7.10455764075067,3.64,🚀 利潤擴張,N/A,2026-03,2025,和成,55.95,26.5,273.9,3859.43,-6.18,N/A,-73.68,1810.TW,💎 強力關注
5000.0,-1.58,0.0,0.51,🔄 轉虧為盈,2.38%,2026-03,2025,台塑,-48.45,61.7000007629,1606.45,3393.55,-12.31,-5.76%,-731.58,1301.TW,⚪ 數據不足
3400.0,0.38,12.134146108902437,0.35,🚀 利潤擴張,27.32%,2026-03,2025,欣厚-KY,12.3,9.9499998093,474.41,2925.59,3.99,0.43%,660.0,4924.TWO,✅ 穩健價值
3200.0,0.89,36.26543209876544,2.17,🚀 利潤擴張,N/A,2026-03,2025,金山電,48.599999999999994,117.5,564.36,2635.64,9.79,N/A,48.33,8042.TWO,⚠️ 追價風險
2960.0,3.0,6.998444790046657,1.43,🏰 高護城河,82.96%,2026-03,2025,統一證,96.44999999999999,45.0,405.72,2554.2799999999997,3.92,34.40%,0.0,2855.TW,💎 強力關注
3050.0,4.0,60.477001703577514,1.26,🚀 利潤擴張,31.80%,2026-03,2025,穩懋,88.05,355.0,667.05,2382.95,-4.69,13.87%,120.99,3105.TWO,⚠️ 追價風險
2733.33,4.11,3.804050355774493,9.37,🚀 利潤擴張,27.15%,2026-03,2025,新紡,274.05000000000007,69.5,395.99,2337.34,12.31,10.89%,41.38,1419.TW,💎 強力關注
2900.0,0.22,372.9508196721311,0.29,🚀 利潤擴張,15.86%,2026-03,2025,一詮,9.150000000000002,227.5,726.37,2173.63,10.09,1.35%,175.0,2486.TW,⚠️ 追價風險
1900.0,0.72,8.512931034482758,0.4,🚀 利潤擴張,24.41%,2026-03,2025,虹光,34.800000000000004,19.75,205.99,1694.01,13.61,0.24%,110.31,2380.TW,💎 強力關注
3400.0,0.07,495.7894576221054,0.35,🚀 利潤擴張,11.81%,2026-03,2025,嘉晶,2.849999999999999,94.1999969482,1769.87,1630.13,-5.25,4.89%,-92.39,3016.TW,⚠️ 追價風險
2900.0,0.57,93.54838709677418,1.8,🚀 利潤擴張,9.25%,2026-03,2025,南亞,27.900000000000006,174.0,1383.79,1516.21,0.12,2.06%,35.71,1303.TW,⚠️ 追價風險
2366.67,0.15,30.241935483870975,1.48,🚀 利潤擴張,8.40%,2026-03,2025,映泰,18.599999999999998,37.5,1031.36,1335.3100000000002,-14.09,-12.67%,275.0,2399.TW,⚠️ 追價風險
2200.0,0.15,31.66666591862745,0.23,🚀 利潤擴張,14.61%,2026-03,2025,永純,7.65,16.1499996185,974.97,1225.03,-4.5,2.47%,50.0,4711.TWO,⚠️ 追價風險
1300.0,0.09,24.999999999999996,0.17,🚀 利潤擴張,41.46%,2026-03,2025,中纖,6.15,10.25,142.36,1157.6399999999999,-0.24,18.72%,250.0,1718.TW,⚠️ 追價風險
1275.0,1.52,13.711111280644444,0.48,🏰 高護城河,69.49%,2026-03,2025,倚強科,67.5,61.7000007629,120.91,1154.09,49.68,-15.39%,406.67,3219.TWO,✅ 穩健價值
1600.0,0.31,69.18919022013513,0.17,🚀 利潤擴張,N/A,2026-03,2025,邑昇,11.1,51.2000007629,536.39,1063.6100000000001,9.81,N/A,-17.95,5291.TWO,⚠️ 追價風險
1100.0,3.45,10.764818209770556,0.6,🏰 高護城河,68.55%,2026-03,2025,星通,78.44999999999999,56.2999992371,117.67,982.33,4.27,43.45%,-6.25,3025.TW,💎 強力關注
2600.0,13.06,5.005599104143338,27.0,🚀 利潤擴張,N/A,2026-03,2025,十銓,669.75,223.5,1792.89,807.1099999999999,2.46,N/A,110.31,4967.TW,💎 強力關注
1014.29,1.23,122.4576271186441,0.78,🚀 利潤擴張,24.10%,2026-03,2025,所羅門,17.699999999999996,144.5,280.55,733.74,21.27,2.82%,46.43,2359.TW,⚠️ 追價風險
1211.11,-4.39,0.0,1.64,🔄 轉虧為盈,-78.82%,2026-03,2025,中化生,-85.05,34.0,496.76,714.3499999999999,-40.26,-143.69%,-566.18,1762.TW,⚪ 數據不足
2666.67,0.87,87.60330578512398,7.22,🚀 利潤擴張,32.33%,2026-03,2025,晶豪科,36.29999999999999,212.0,2018.02,648.6500000000001,8.08,20.25%,-51.41,3006.TW,⚠️ 追價風險
1100.0,-0.84,0.0,0.24,🔄 轉虧為盈,17.62%,2026-03,2025,盟立,-26.55,142.5,510.23,589.77,-10.95,-3.37%,-266.0,2464.TW,⚪ 數據不足
2067.82,12.98,6.951188346537183,18.93,🏰 高護城河,61.62%,2026-03,2025,創見,586.95,272.0,1484.6,583.2200000000003,69.84,55.59%,140.33,2451.TW,💎 強力關注
806.67,-0.07,6.811224684438773,2.12,🔄 轉虧為盈,-40.24%,2026-03,2025,台鋼建設,29.400000000000006,13.3500003815,224.53,582.14,58.31,-147.39%,89.09,3521.TWO,💎 強力關注
1763.64,1.01,16.250000747990196,1.86,🚀 利潤擴張,20.96%,2026-03,2025,南港,30.6,33.1500015259,1184.49,579.1500000000001,-44.61,4.39%,-68.84,2101.TW,⚪ 中性觀察
1100.0,-1.02,0.0,0.2,🔄 轉虧為盈,14.87%,2026-03,2025,高鋒,-36.6,38.7000007629,543.13,556.87,-2.21,-1.97%,-197.14,4510.TWO,⚪ 數據不足
1200.0,0.7,36.9999985467619,0.26,🚀 利潤擴張,28.61%,2026-03,2025,微端,15.75,38.8499984741,688.27,511.73,-19.66,8.69%,-40.68,3285.TWO,⚠️ 追價風險
530.77,1.58,34.726224783861674,1.64,🚀 利潤擴張,N/A,2026-03,2025,GOGOLOOK,52.05,120.5,43.25,487.52,20.92,N/A,222.58,6902.TW,⚠️ 追價風險
820.0,-0.16,0.0,0.46,🔄 轉虧為盈,N/A,2026-03,2025,鑫永洋,-7.499999999999999,16.3999996185,335.75,484.25,5.06,N/A,74.6,6241.TWO,⚪ 數據不足
1200.0,0.31,33.81356061508474,0.22,🚀 利潤擴張,N/A,2026-03,2025,綠電,8.850000000000001,19.9500007629,727.58,472.41999999999996,-6.1,N/A,-42.59,8440.TWO,⚠️ 追價風險
418.92,2.72,0.0,1.21,🧐 疑業外收益,30.54%,2026-03,2025,富田-創,0.0,83.5,-25.82,444.74,-41.11,-0.34%,-1.45,4590.TW,⚪ 數據不足
600.0,0.49,35.775862068965516,0.25,🚀 利潤擴張,36.04%,2026-03,2025,麗正,17.400000000000002,41.5,187.7,412.3,11.66,11.05%,-34.67,2302.TW,⚠️ 追價風險
1037.5,0.88,58.82352941176471,2.25,🚀 利潤擴張,41.86%,2026-03,2025,華邦電,40.8,160.0,646.87,390.63,9.55,15.37%,576.92,2344.TW,⚠️ 追價風險
387.5,1.44,0.0,0.41,🚀 利潤擴張,N/A,2026-03,2025,宏�砦C戲-創,0.0,35.5,6.45,381.05,28.36,N/A,5.88,6908.TW,⚪ 數據不足
715.79,2.19,15.147059104025733,1.59,🚀 利潤擴張,N/A,2026-03,2025,應廣,81.60000000000001,82.4000015259,359.78,356.01,-15.3,N/A,-49.65,6716.TWO,✅ 穩健價值
380.0,0.73,22.500000000000004,0.24,🚀 利潤擴張,N/A,2026-03,2025,寶碩,19.499999999999996,29.25,37.41,342.59000000000003,9.95,N/A,207.35,5210.TWO,⚠️ 追價風險
1090.0,-0.2,0.0,0.99,🔄 轉虧為盈,N/A,2026-03,2025,鈺鎧,-8.4,41.0,750.53,339.47,25.85,N/A,90.52,5228.TWO,⚪ 數據不足
517.65,2.35,11.069692552965964,1.42,🚀 利潤擴張,N/A,2026-03,2025,亞洲藏壽司,92.55,68.3000030518,179.43,338.21999999999997,5.96,N/A,1.73,2754.TWO,💎 強力關注
550.0,0.92,66.47727272727273,0.13,🚀 利潤擴張,42.07%,2026-03,2025,旭然,26.4,117.0,237.41,312.59000000000003,-3.75,14.30%,170.59,4556.TWO,⚠️ 追價風險
650.0,0.57,14.855491770462429,0.15,🚀 利潤擴張,30.11%,2026-03,2025,協禧,25.95,25.7000007629,343.32,306.68,-5.82,7.94%,-29.63,3071.TWO,✅ 穩健價值
1143.3,41.98,13.016735803175512,68.8,🚀 利潤擴張,N/A,2026-03,2025,群聯,2097.2999999999997,1820.0,849.86,293.43999999999994,23.29,N/A,3.78,8299.TWO,✅ 穩健價值
546.67,-0.43,0.0,0.67,🔄 轉虧為盈,N/A,2026-03,2025,慧智,-2.2499999999999996,33.5999984741,270.3,276.36999999999995,-14.91,N/A,-150.59,6615.TWO,⚪ 數據不足
640.0,0.18,0.0,0.27,🚀 利潤擴張,N/A,2026-03,2025,康舒,-9.150000000000002,46.7999992371,371.03,268.97,0.1,N/A,550.0,6282.TW,⚪ 數據不足
445.45,-0.76,0.0,0.38,🔄 轉虧為盈,N/A,2026-03,2025,三貝德,-20.1,22.8999996185,186.87,258.58,5.03,N/A,55.83,8489.TWO,⚪ 數據不足
701.79,1.77,12.718204488778056,4.49,🚀 利潤擴張,18.73%,2026-03,2025,事欣科,120.3,102.0,473.51,228.27999999999997,0.89,8.07%,8050.0,4916.TW,✅ 穩健價值
518.75,0.88,5.425170003163265,2.97,🚀 利潤擴張,N/A,2026-03,2025,銘旺實,44.1,15.9499998093,292.4,226.35000000000002,-3.15,N/A,-66.67,4432.TWO,💎 強力關注
350.0,0.88,9.612244975816324,0.45,🚀 利潤擴張,35.38%,2026-03,2025,中美實,14.700000000000001,9.4200000763,132.31,217.69,-61.59,-88.29%,51.72,4702.TWO,💎 強力關注
512.9,13.25,4.649042844120328,3.8,🚀 利潤擴張,N/A,2026-03,2025,東哥遊艇,493.65000000000003,153.0,297.67,215.22999999999996,5.83,N/A,33.97,8478.TW,💎 強力關注
925.0,1.65,7.123287969843444,0.66,🚀 利潤擴張,13.61%,2026-03,2025,大亞,76.65,36.4000015259,713.51,211.49,3.39,8.70%,-21.15,1609.TW,💎 強力關注
213.33,0.08,0.0,0.47,🚀 利潤擴張,19.34%,2026-03,2025,聯嘉投控,0.0,22.1000003815,26.54,186.79000000000002,3.55,7.12%,-80.0,3717.TW,⚪ 數據不足
266.67,-1.82,0.0,0.33,🔄 轉虧為盈,N/A,2026-03,2025,巨虹,-43.199999999999996,43.0,80.73,185.94,-10.9,N/A,-280.2,8084.TWO,⚪ 數據不足
728.13,2.02,9.505581893795853,2.65,🚀 利潤擴張,30.40%,2026-03,2025,東浦,94.05,59.5999984741,542.69,185.43999999999994,18.23,14.85%,25.64,3290.TWO,💎 強力關注
550.0,-0.17,0.0,0.09,🔄 轉虧為盈,N/A,2026-03,2025,同協,-7.95,15.9499998093,385.95,164.05,-15.68,N/A,-177.27,5460.TWO,⚪ 數據不足
276.67,1.54,0.0,0.53,🚀 利潤擴張,N/A,2026-03,2025,未知,0.0,0.0,116.02,160.65000000000003,32.98,N/A,1640.0,4582.TWO,⚪ 數據不足
276.67,1.54,0.0,0.53,🚀 利潤擴張,N/A,2026-03,2025,聚恆-創,0.0,27.9500007629,116.02,160.65000000000003,32.98,N/A,1640.0,4582.TW,⚪ 數據不足
700.0,-0.25,0.0,0.06,🔄 轉虧為盈,10.78%,2026-03,2025,鼎元,-6.6,62.0,542.01,157.99,-2.43,-2.91%,-219.05,2426.TW,⚪ 數據不足
264.29,-0.19,0.0,0.28,🔄 轉虧為盈,56.31%,2026-03,2025,圓剛,-25.049999999999997,40.9500007629,108.24,156.05,2.69,8.42%,54.55,2417.TW,⚪ 數據不足
366.67,-0.29,151.42857687857128,0.28,🔄 轉虧為盈,N/A,2026-03,2025,成霖,1.050000000000001,10.6000003815,214.33,152.34,-4.25,N/A,-125.22,9934.TW,⚠️ 追價風險
323.08,1.09,29.95348908181394,1.1,🚀 利潤擴張,N/A,2026-03,2025,六角,32.250000000000014,64.4000015259,180.76,142.32,7.13,N/A,-77.02,2732.TWO,⚠️ 追價風險
442.11,2.88,16.224648985959437,1.03,🚀 利潤擴張,N/A,2026-03,2025,醫揚,96.15,104.0,307.94,134.17000000000002,5.8,N/A,-38.68,6569.TWO,⚪ 中性觀察
406.45,2.35,26.455026455026456,1.57,🚀 利潤擴張,N/A,2026-03,2025,凌華,85.05,150.0,273.28,133.17000000000002,17.09,N/A,921.74,6166.TW,⚠️ 追價風險
645.65,4.66,147.95081967213116,3.44,🏰 高護城河,54.76%,2026-03,2025,聯亞,183.0,1805.0,515.18,130.47000000000003,82.29,41.27%,884.75,3081.TWO,⚠️ 追價風險
228.49,6.21,5.161290389093287,2.21,🚀 利潤擴張,N/A,2026-03,2025,奇偶,172.05,59.2000007629,113.17,115.32000000000001,-14.96,N/A,-20.59,3356.TW,💎 強力關注
383.33,0.33,0.0,0.29,🚀 利潤擴張,N/A,2026-03,2025,美達科技,-7.200000000000001,66.0,268.59,114.74000000000001,-4.81,N/A,-84.51,6735.TWO,⚪ 數據不足
87.5,-1.63,0.0,-0.02,🏰 高護城河,102.69%,2026-03,2025,益航,-33.6,6.5,-21.56,109.06,-7.78,-12.62%,-365.71,2601.TW,⚪ 數據不足
270.0,1.73,48.22485207100592,0.37,🚀 利潤擴張,N/A,2026-03,2025,暉盛-創,50.699999999999996,163.0,161.56,108.44,-5.33,N/A,-45.51,7730.TW,⚠️ 追價風險
163.46,2.15,0.0,0.66,🚀 利潤擴張,N/A,2026-03,2025,麗嬰房,-40.05,7.0399999619,67.27,96.19000000000001,-16.81,N/A,152.83,2911.TW,⚪ 數據不足
150.0,0.43,28.90804553850575,0.3,🏰 高護城河,87.57%,2026-03,2025,網龍,13.05,25.1499996185,57.36,92.64,-7.4,12.73%,-46.91,3083.TWO,⚠️ 追價風險
1080.0,1.39,13.181818695589225,0.49,🚀 利潤擴張,N/A,2026-03,2025,青松健康,44.550000000000004,39.1500015259,990.52,89.48000000000002,14.16,N/A,104.41,6931.TW,✅ 穩健價值
575.0,-0.84,0.0,0.28,🔄 轉虧為盈,16.92%,2026-03,2025,宏佳騰,-24.299999999999994,24.25,486.21,88.79000000000002,-18.58,-21.33%,-169.49,1599.TWO,⚪ 數據不足
