====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260727 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.44      | ❄️ 空倉          |      +11.17% |     14 |    54.55% | [P:0.41] RSI:40.84|MACD:-0.27|KD_Diff:7.92|BIAS_20:-4.64
00401A.TW    | 主動摩根台灣鑫收   | 12.85      | 🟢 持股           |      +11.09% |      9 |    55.56% | [P:0.69] RSI:43.42|MACD:-0.15|KD_Diff:7.31|BIAS_20:-2.93
00402A.TW    | 主動安聯美國科技   | 9.59       | 🟢 持股           |       +0.00% |      1 |    50.00% | [P:0.51] [⚠️降級預設] RSI:45.34|MACD:-0.06|KD_Diff:-1.67|D_Value:37.55
00403A.TW    | 主動統一升級50   | 9.62       | 🟢 持股           |       +6.59% |      3 |    52.38% | [P:0.55] [⚠️降級預設] RSI:36.12|MACD:-0.26|KD_Diff:3.17|D_Value:35.89
00404A.TW    | 主動聯博動能50   | 9.36       | 🟢 持股           |       -0.10% |      3 |    50.00% | [P:0.52] [⚠️降級預設] RSI:35.75|MACD:-0.16|KD_Diff:6.40|D_Value:42.71
00405A.TW    | 主動富邦台灣龍耀   | 7.93       | 🟢 持股           |       +0.00% |      1 |    31.25% | [P:0.52] [⚠️降級預設] RSI:39.29|MACD:-0.35|KD_Diff:5.11|D_Value:38.15
00406A.TW    | 主動中信台灣收益   | 9.13       | 🟢 持股           |       +0.00% |      1 |    36.36% | [P:0.51] [⚠️降級預設] RSI:38.34|MACD:-0.21|KD_Diff:5.56|D_Value:42.04
0050.TW      | 元大台灣50     | 101.45     | ❄️ 空倉          |      +34.74% |     34 |    48.76% | [P:0.47] Vol_Ratio:1.22|BIAS_20:-3.40|MA_Slope:-0.14|BB_Upper:9.48
0052.TW      | 富邦科技       | 59.30      | 🟢 持股           |      +32.87% |     19 |    51.03% | [P:0.51] MACD:-0.42|D_Value:43.41|Vol_Ratio:0.74|BB_Upper:10.25
0056.TW      | 元大高股息      | 50.00      | 🟢 持股           |      +19.16% |     27 |    51.36% | [P:0.57] KD_Diff:3.02|Vol_Ratio:1.25|BB_Upper:8.96|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.83      | ❄️ 空倉          |       +9.53% |     10 |    51.75% | [P:0.50] [⚠️降級預設] RSI:49.01|MACD:-0.06|KD_Diff:5.13|D_Value:55.35
006201.TWO   | 元大富櫃50     | 41.06      | ❄️ 空倉          |      +66.83% |     42 |    50.13% | [P:0.39] Vol_Ratio:0.81|MA_Slope:-0.50|BB_Upper:23.57|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 183.80     | 🚀 買進           |      +29.82% |     44 |    51.15% | [P:0.55] KD_Diff:1.75|D_Value:44.30|Vol_Ratio:2.51|MA_Bull:0.00
006205.TW    | 富邦上証       | 40.96      | ❄️ 空倉          |       +2.87% |     12 |    51.94% | [P:0.50] [⚠️降級預設] RSI:49.30|MACD:-0.01|KD_Diff:6.37|D_Value:58.33
006208.TW    | 富邦台50      | 232.75     | ❄️ 空倉          |      +34.16% |     18 |    50.13% | [P:0.42] MACD:-2.09|D_Value:42.39|Vol_Ratio:1.36|BIAS_20:-3.76
00631L.TW    | 元大台灣50正2   | 33.54      | 🚀 買進           |      +10.59% |     18 |    50.19% | [P:0.52] KD_Diff:0.82|BIAS_20:-7.43|MA_Slope:-0.38|BB_Upper:21.39
00632R.TW    | 元大台灣50反1   | 10.56      | ❄️ 空倉          |       +4.64% |     10 |    57.12% | [P:0.44] MACD:0.04|D_Value:56.04|BIAS_20:2.92|MA_Slope:0.12
00633L.TW    | 富邦上証正2     | 50.35      | 🟢 持股           |       +3.99% |     23 |    49.35% | [P:0.55] MACD:-0.32|KD_Diff:7.52|MA_Slope:-0.06|BB_Upper:5.24
00634R.TW    | 富邦上証反1     | 3.08       | ❄️ 空倉          |      -10.97% |     22 |    52.67% | [P:0.34] KD_Diff:-7.81|D_Value:35.97|Vol_Ratio:0.40|MA_Slope:0.00
00635U.TW    | 期元大S&P黃金   | 42.59      | ❄️ 空倉          |      +31.60% |     28 |    51.72% | [P:0.44] MACD:-0.48|D_Value:52.94|Vol_Ratio:0.65|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 21.00      | 🟢 持股           |       +2.35% |     19 |    49.96% | [P:0.53] MACD:-0.09|KD_Diff:7.32|BIAS_20:0.99|BB_Upper:4.89
00638R.TW    | 元大滬深300反1  | 6.60       | ❄️ 空倉          |       -3.54% |      8 |    53.08% | [P:0.42] RSI:44.07|MACD:0.01|KD_Diff:-8.16|D_Value:30.34
00639.TW     | 富邦深100     | 17.20      | 🟢 持股           |      +12.79% |     13 |    50.02% | [P:0.52] [⚠️降級預設] RSI:42.30|MACD:-0.25|KD_Diff:0.95|D_Value:34.37
00640L.TW    | 富邦日本正2     | 106.55     | ❄️ 空倉          |       +1.46% |     34 |    50.11% | [P:0.48] RSI:48.99|D_Value:63.66|Vol_Ratio:2.00|BIAS_20:1.40
00641R.TW    | 富邦日本反1     | 3.74       | ❄️ 空倉          |       +2.21% |     32 |    56.23% | [P:0.41] RSI:43.08|KD_Diff:-9.35|BIAS_20:-1.02|MA_Slope:-0.16
00642U.TW    | 期元大S&P石油   | 27.78      | 🚀 買進           |     +141.39% |     44 |    52.89% | [P:0.60] RSI:73.34|D_Value:87.62|Vol_Ratio:1.09|MA_Slope:0.99
00643.TW     | 群益深証中小     | 18.85      | 🟢 持股           |       +9.04% |      7 |    49.50% | [P:0.57] [⚠️降級預設] RSI:34.65|MACD:-0.33|KD_Diff:2.12|D_Value:31.79
00646.TW     | 元大S&P500   | 76.20      | ❄️ 空倉          |      +13.04% |     36 |    49.80% | [P:0.42] KD_Diff:-5.83|D_Value:51.91|BIAS_20:0.48|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 4.05       | 🚀 買進           |       -0.69% |     12 |    57.85% | [P:0.51] MACD:0.00|D_Value:70.35|BIAS_20:0.57|MA_Slope:-0.01
00650L.TW    | 復華香港正2     | 17.00      | ❄️ 空倉          |       +5.62% |     34 |    49.82% | [P:0.28] RSI:68.87|MACD:0.39|MA_Slope:0.92|MA_Bull:10.00
00651R.TW    | 復華香港反1     | 5.25       | 🟢 持股           |      +11.71% |     19 |    53.02% | [P:0.63] RSI:28.87|D_Value:15.90|BIAS_20:-4.22|MA_Slope:-0.45
