eps_yoy,gm,pe,est_price,status,advice,rev_yoy,prev_eps,date,prev_year,om,prev_eps_yoy,name,price,prev_rev_yoy,symbol,eps,expansion
24500.0,N/A,14.776632302405497,130.95000000000002,🚀 利潤擴張,✅ 穩健價值,869.35,2.11,2026-03,2025,N/A,16.48,廣穎,129.0,-3.19,4973.TWO,7.46,23630.65
6900.0,56.66%,24.077381406488097,25.199999999999996,🏰 高護城河,⚠️ 追價風險,98.33,1.13,2026-03,2025,7.42%,-44.61,圓展,40.4500007629,-3.05,3669.TW,0.7,6801.67
7900.0,N/A,27.456896880560347,34.8,🚀 利潤擴張,⚠️ 追價風險,1231.2,0.92,2026-03,2025,N/A,222.67,今國光,63.7000007629,50.65,6209.TW,0.81,6668.8
7150.0,62.07%,12.555830886873448,60.45,🏰 高護城河,✅ 穩健價值,2528.26,1.96,2026-03,2025,-188.65%,590.0,立萬利,50.5999984741,26.61,3054.TW,1.41,4621.74
4133.33,N/A,6.662198493699732,55.95,🚀 利潤擴張,💎 強力關注,273.9,0.05,2026-03,2025,N/A,-73.68,和成,24.8500003815,-6.18,1810.TW,3.64,3859.43
5000.0,2.38%,0.0,-48.45,🔄 轉虧為盈,⚪ 數據不足,1606.45,-1.58,2026-03,2025,-5.76%,-731.58,台塑,57.5,-12.31,1301.TW,0.51,3393.55
3400.0,27.32%,12.073170266463414,12.3,🚀 利潤擴張,✅ 穩健價值,474.41,0.38,2026-03,2025,0.43%,660.0,欣厚-KY,9.8999996185,3.99,4924.TWO,0.35,2925.59
3200.0,N/A,32.71604938271605,48.599999999999994,🚀 利潤擴張,⚠️ 追價風險,564.36,0.89,2026-03,2025,N/A,48.33,金山電,106.0,9.79,8042.TWO,2.17,2635.64
2960.0,82.96%,6.562986121757387,96.44999999999999,🏰 高護城河,💎 強力關注,405.72,3.0,2026-03,2025,34.40%,0.0,統一證,42.2000007629,3.92,2855.TW,1.43,2554.2799999999997
3050.0,31.80%,55.02555366269165,88.05,🚀 利潤擴張,⚠️ 追價風險,667.05,4.0,2026-03,2025,13.87%,120.99,穩懋,323.0,-4.69,3105.TWO,1.26,2382.95
2733.33,27.15%,3.732895289994526,274.05000000000007,🚀 利潤擴張,💎 強力關注,395.99,4.11,2026-03,2025,10.89%,41.38,新紡,68.1999969482,12.31,1419.TW,9.37,2337.34
2900.0,15.86%,336.06557377049177,9.150000000000002,🚀 利潤擴張,⚠️ 追價風險,726.37,0.22,2026-03,2025,1.35%,175.0,一詮,205.0,10.09,2486.TW,0.29,2173.63
1900.0,24.41%,8.168103777112067,34.800000000000004,🚀 利潤擴張,💎 強力關注,205.99,0.72,2026-03,2025,0.24%,110.31,虹光,18.9500007629,13.61,2380.TW,0.4,1694.01
3400.0,11.81%,446.31580553578965,2.849999999999999,🚀 利潤擴張,⚠️ 追價風險,1769.87,0.07,2026-03,2025,4.89%,-92.39,嘉晶,84.8000030518,-5.25,3016.TW,0.35,1630.13
