====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260728 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 12.51      | 🚀 買進           |      +11.17% |     14 |    55.36% | [P:0.55] RSI:33.98|MACD:-0.34|KD_Diff:-6.07|BIAS_20:-10.51
00401A.TW    | 主動摩根台灣鑫收   | 12.14      | 🟢 持股           |      +11.09% |      9 |    54.55% | [P:0.58] RSI:34.85|MACD:-0.21|KD_Diff:-7.13|BIAS_20:-7.79
00402A.TW    | 主動安聯美國科技   | 9.21       | 🟢 持股           |       +0.00% |      1 |    47.06% | [P:0.62] [⚠️降級預設] RSI:38.42|MACD:-0.10|KD_Diff:-8.76|D_Value:33.18
00403A.TW    | 主動統一升級50   | 9.00       | 🟢 持股           |       +6.59% |      3 |    51.16% | [P:0.67] [⚠️降級預設] RSI:30.25|MACD:-0.31|KD_Diff:-6.57|D_Value:32.61
00404A.TW    | 主動聯博動能50   | 8.87       | 🟢 持股           |       -0.10% |      3 |    47.06% | [P:0.62] [⚠️降級預設] RSI:29.59|MACD:-0.21|KD_Diff:-6.42|D_Value:39.50
00405A.TW    | 主動富邦台灣龍耀   | 7.27       | 🟢 持股           |       +0.00% |      1 |    29.41% | [P:0.63] [⚠️降級預設] RSI:33.50|MACD:-0.40|KD_Diff:-6.21|D_Value:35.05
00406A.TW    | 主動中信台灣收益   | 8.53       | 🟢 持股           |       +0.00% |      1 |    33.33% | [P:0.62] [⚠️降級預設] RSI:32.88|MACD:-0.26|KD_Diff:-6.87|D_Value:38.60
0050.TW      | 元大台灣50     | 97.15      | 🚀 買進           |      +34.74% |     34 |    48.77% | [P:0.62] Vol_Ratio:2.86|BIAS_20:-7.02|MA_Slope:-0.51|BB_Upper:14.59
0052.TW      | 富邦科技       | 56.65      | 🟢 持股           |      +32.87% |     19 |    51.01% | [P:0.50] MACD:-0.69|D_Value:39.17|Vol_Ratio:1.71|BB_Upper:15.67
0056.TW      | 元大高股息      | 48.19      | 🟢 持股           |      +19.16% |     27 |    51.34% | [P:0.54] KD_Diff:-4.91|Vol_Ratio:1.98|BB_Upper:13.09|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.51      | ❄️ 空倉          |       +9.53% |     10 |    51.76% | [P:0.49] [⚠️降級預設] RSI:43.87|MACD:-0.09|KD_Diff:-2.30|D_Value:54.20
006201.TWO   | 元大富櫃50     | 38.15      | 🚀 買進           |      +66.83% |     42 |    50.15% | [P:0.62] Vol_Ratio:2.12|MA_Slope:-1.02|BB_Upper:33.53|MA_Bull:0.00
