prev_eps_yoy,om,pe,prev_rev_yoy,eps_yoy,gm,name,est_price,prev_year,price,date,rev_yoy,status,eps,prev_eps,expansion,symbol,advice
16.48,N/A,14.032073310423826,-3.19,24500.0,N/A,廣穎,130.95000000000002,2025,122.5,2026-03,869.35,🚀 利潤擴張,7.46,2.11,23630.65,4973.TWO,✅ 穩健價值
-44.61,7.42%,23.571427663154765,-3.05,6900.0,56.66%,圓展,25.199999999999996,2025,39.5999984741,2026-03,98.33,🏰 高護城河,0.7,1.13,6801.67,3669.TW,⚠️ 追價風險
222.67,N/A,27.155172413793107,50.65,7900.0,N/A,今國光,34.8,2025,63.0,2026-03,1231.2,🚀 利潤擴張,0.81,0.92,6668.8,6209.TW,⚠️ 追價風險
590.0,-188.65%,11.910669975186103,26.61,7150.0,62.07%,立萬利,60.45,2025,48.0,2026-03,2528.26,🏰 高護城河,1.41,1.96,4621.74,3054.TW,💎 強力關注
-73.68,N/A,6.380696846407506,-6.18,4133.33,N/A,和成,55.95,2025,23.7999992371,2026-03,273.9,🚀 利潤擴張,3.64,0.05,3859.43,1810.TW,💎 強力關注
-731.58,-5.76%,0.0,-12.31,5000.0,2.38%,台塑,-48.45,2025,56.2000007629,2026-03,1606.45,🔄 轉虧為盈,0.51,-1.58,3393.55,1301.TW,⚪ 數據不足
660.0,0.43%,11.341463647195122,3.99,3400.0,27.32%,欣厚-KY,12.3,2025,9.3000001907,2026-03,474.41,🚀 利潤擴張,0.35,0.38,2925.59,4924.TWO,💎 強力關注
48.33,N/A,29.444444915401235,9.79,3200.0,N/A,金山電,48.599999999999994,2025,95.4000015259,2026-03,564.36,🚀 利潤擴張,2.17,0.89,2635.64,8042.TWO,⚠️ 追價風險
0.0,34.40%,6.345256490995335,3.92,2960.0,82.96%,統一證,96.44999999999999,2025,40.7999992371,2026-03,405.72,🏰 高護城河,1.43,3.0,2554.2799999999997,2855.TW,💎 強力關注
120.99,13.87%,49.57410562180579,-4.69,3050.0,31.80%,穩懋,88.05,2025,291.0,2026-03,667.05,🚀 利潤擴張,1.26,4.0,2382.95,3105.TWO,⚠️ 追價風險
41.38,10.89%,3.8368909947509575,12.31,2733.33,27.15%,新紡,274.05000000000007,2025,70.0999984741,2026-03,395.99,🚀 利潤擴張,9.37,4.11,2337.34,1419.TW,💎 強力關注
175.0,1.35%,302.4590163934426,10.09,2900.0,15.86%,一詮,9.150000000000002,2025,184.5,2026-03,726.37,🚀 利潤擴張,0.29,0.22,2173.63,2486.TW,⚠️ 追價風險
110.31,0.24%,8.103447947025861,13.61,1900.0,24.41%,虹光,34.800000000000004,2025,18.7999992371,2026-03,205.99,🚀 利潤擴張,0.4,0.72,1694.01,2380.TW,💎 強力關注
-92.39,4.89%,406.8421213252633,-5.25,3400.0,11.81%,嘉晶,2.849999999999999,2025,77.3000030518,2026-03,1769.87,🚀 利潤擴張,0.35,0.07,1630.13,3016.TW,⚠️ 追價風險
35.71,2.06%,76.07526881720429,0.12,2900.0,9.25%,南亞,27.900000000000006,2025,141.5,2026-03,1383.79,🚀 利潤擴張,1.8,0.57,1516.21,1303.TW,⚠️ 追價風險
275.0,-12.67%,26.169355453951614,-14.09,2366.67,8.40%,映泰,18.599999999999998,2025,32.4500007629,2026-03,1031.36,🚀 利潤擴張,1.48,0.15,1335.3100000000002,2399.TW,⚠️ 追價風險
50.0,2.47%,30.294117273137253,-4.5,2200.0,14.61%,永純,7.65,2025,15.4499998093,2026-03,974.97,🚀 利潤擴張,0.23,0.15,1225.03,4711.TWO,⚠️ 追價風險
250.0,18.72%,22.439023925121948,-0.24,1300.0,41.46%,中纖,6.15,2025,9.1999998093,2026-03,142.36,🚀 利潤擴張,0.17,0.09,1157.6399999999999,1718.TW,⚠️ 追價風險
406.67,-15.39%,12.422222561311111,49.68,1275.0,69.49%,倚強科,67.5,2025,55.9000015259,2026-03,120.91,🏰 高護城河,0.48,1.52,1154.09,3219.TWO,✅ 穩健價值
-17.95,N/A,62.29729523527027,9.81,1600.0,N/A,邑昇,11.1,2025,46.0999984741,2026-03,536.39,🚀 利潤擴張,0.17,0.31,1063.6100000000001,5291.TWO,⚠️ 追價風險
-6.25,43.45%,9.827916161739964,4.27,1100.0,68.55%,星通,78.44999999999999,2025,51.4000015259,2026-03,117.67,🏰 高護城河,0.6,3.45,982.33,3025.TW,💎 強力關注
110.31,N/A,4.8936170212765955,2.46,2600.0,N/A,十銓,669.75,2025,218.5,2026-03,1792.89,🚀 利潤擴張,27.0,13.06,807.1099999999999,4967.TW,💎 強力關注
46.43,2.82%,116.10169491525427,21.27,1014.29,24.10%,所羅門,17.699999999999996,2025,137.0,2026-03,280.55,🚀 利潤擴張,0.78,1.23,733.74,2359.TW,⚠️ 追價風險
-566.18,-143.69%,0.0,-40.26,1211.11,-78.82%,中化生,-85.05,2025,32.5,2026-03,496.76,🔄 轉虧為盈,1.64,-4.39,714.3499999999999,1762.TW,⚪ 數據不足
-51.41,20.25%,71.07438016528927,8.08,2666.67,32.33%,晶豪科,36.29999999999999,2025,172.0,2026-03,2018.02,🚀 利潤擴張,7.22,0.87,648.6500000000001,3006.TW,⚠️ 追價風險
-266.0,-3.37%,0.0,-10.95,1100.0,17.62%,盟立,-26.55,2025,123.0,2026-03,510.23,🔄 轉虧為盈,0.24,-0.84,589.77,2464.TW,⚪ 數據不足
140.33,55.59%,6.887298747763864,69.84,2067.82,61.62%,創見,586.95,2025,269.5,2026-03,1484.6,🏰 高護城河,18.93,12.98,583.2200000000003,2451.TW,💎 強力關注
89.09,-147.39%,6.224489698622447,58.31,806.67,-40.24%,台鋼建設,29.400000000000006,2025,12.1999998093,2026-03,224.53,🔄 轉虧為盈,2.12,-0.07,582.14,3521.TWO,💎 強力關注
-68.84,4.39%,15.808823529411764,-44.61,1763.64,20.96%,南港,30.6,2025,32.25,2026-03,1184.49,🚀 利潤擴張,1.86,1.01,579.1500000000001,2101.TW,✅ 穩健價值
-197.14,-1.97%,0.0,-2.21,1100.0,14.87%,高鋒,-36.6,2025,34.4000015259,2026-03,543.13,🔄 轉虧為盈,0.2,-1.02,556.87,4510.TWO,⚪ 數據不足
-40.68,8.69%,34.80952308295238,-19.66,1200.0,28.61%,微端,15.75,2025,36.5499992371,2026-03,688.27,🚀 利潤擴張,0.26,0.7,511.73,3285.TWO,⚠️ 追價風險
222.58,N/A,32.70893371757926,20.92,530.77,N/A,GOGOLOOK,52.05,2025,113.5,2026-03,43.25,🚀 利潤擴張,1.64,1.58,487.52,6902.TW,⚠️ 追價風險
74.6,N/A,0.0,5.06,820.0,N/A,鑫永洋,-7.499999999999999,2025,15.5,2026-03,335.75,🔄 轉虧為盈,0.46,-0.16,484.25,6241.TWO,⚪ 數據不足
-42.59,N/A,31.44067667305084,-6.1,1200.0,N/A,綠電,8.850000000000001,2025,18.5499992371,2026-03,727.58,🚀 利潤擴張,0.22,0.31,472.41999999999996,8440.TWO,⚠️ 追價風險
-1.45,-0.34%,0.0,-41.11,418.92,30.54%,富田-創,0.0,2025,77.5,2026-03,-25.82,🧐 疑業外收益,1.21,2.72,444.74,4590.TW,⚪ 數據不足
-34.67,11.05%,29.439656487844825,11.66,600.0,36.04%,麗正,17.400000000000002,2025,34.1500015259,2026-03,187.7,🚀 利潤擴張,0.25,0.49,412.3,2302.TW,⚠️ 追價風險
576.92,15.37%,47.794117647058826,9.55,1037.5,41.86%,華邦電,40.8,2025,130.0,2026-03,646.87,🚀 利潤擴張,2.25,0.88,390.63,2344.TW,⚠️ 追價風險
5.88,N/A,0.0,28.36,387.5,N/A,宏�砦C戲-創,0.0,2025,32.8499984741,2026-03,6.45,🚀 利潤擴張,0.41,1.44,381.05,6908.TW,⚪ 數據不足
-49.65,N/A,13.051470588235293,-15.3,715.79,N/A,應廣,81.60000000000001,2025,71.0,2026-03,359.78,🚀 利潤擴張,1.59,2.19,356.01,6716.TWO,✅ 穩健價值
207.35,N/A,21.884615971461542,9.95,380.0,N/A,寶碩,19.499999999999996,2025,28.4500007629,2026-03,37.41,🚀 利潤擴張,0.24,0.73,342.59000000000003,5210.TWO,⚪ 中性觀察
90.52,N/A,0.0,25.85,1090.0,N/A,鈺鎧,-8.4,2025,36.1500015259,2026-03,750.53,🔄 轉虧為盈,0.99,-0.2,339.47,5228.TWO,⚪ 數據不足
1.73,N/A,11.037276900178282,5.96,517.65,N/A,亞洲藏壽司,92.55,2025,68.0999984741,2026-03,179.43,🚀 利潤擴張,1.42,2.35,338.21999999999997,2754.TWO,💎 強力關注
170.59,14.30%,53.97727272727273,-3.75,550.0,42.07%,旭然,26.4,2025,95.0,2026-03,237.41,🚀 利潤擴張,0.13,0.92,312.59000000000003,4556.TWO,⚠️ 追價風險
-29.63,7.94%,14.07514472919075,-5.82,650.0,30.11%,協禧,25.95,2025,24.3500003815,2026-03,343.32,🚀 利潤擴張,0.15,0.57,306.68,3071.TWO,✅ 穩健價值
3.78,N/A,10.835359748247747,23.29,1143.3,N/A,群聯,2097.2999999999997,2025,1515.0,2026-03,849.86,🚀 利潤擴張,68.8,41.98,293.43999999999994,8299.TWO,💎 強力關注
-150.59,N/A,0.0,-14.91,546.67,N/A,慧智,-2.2499999999999996,2025,33.0,2026-03,270.3,🔄 轉虧為盈,0.67,-0.43,276.36999999999995,6615.TWO,⚪ 數據不足
550.0,N/A,0.0,0.1,640.0,N/A,康舒,-9.150000000000002,2025,40.7000007629,2026-03,371.03,🚀 利潤擴張,0.27,0.18,268.97,6282.TW,⚪ 數據不足
55.83,N/A,0.0,5.03,445.45,N/A,三貝德,-20.1,2025,21.8999996185,2026-03,186.87,🔄 轉虧為盈,0.38,-0.76,258.58,8489.TWO,⚪ 數據不足
8050.0,8.07%,11.246882412493765,0.89,701.79,18.73%,事欣科,120.3,2025,90.1999969482,2026-03,473.51,🚀 利潤擴張,4.49,1.77,228.27999999999997,4916.TW,💎 強力關注
