====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260729 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 11.88      | 🟢 持股           |      +11.17% |     15 |    54.39% | [P:0.61] RSI:29.32|MACD:-0.45|KD_Diff:-10.49|BIAS_20:-14.03
00401A.TW    | 主動摩根台灣鑫收   | 11.61      | 🟢 持股           |      +11.09% |      9 |    53.57% | [P:0.52] RSI:28.67|MACD:-0.29|KD_Diff:-10.26|BIAS_20:-11.11
00402A.TW    | 主動安聯美國科技   | 9.05       | 🟢 持股           |       +0.00% |      1 |    44.44% | [P:0.70] [⚠️降級預設] RSI:32.14|MACD:-0.13|KD_Diff:-9.62|D_Value:28.37
00403A.TW    | 主動統一升級50   | 8.46       | 🟢 持股           |       +6.59% |      3 |    50.00% | [P:0.73] [⚠️降級預設] RSI:25.00|MACD:-0.40|KD_Diff:-8.90|D_Value:28.16
00404A.TW    | 主動聯博動能50   | 8.48       | 🟢 持股           |       -0.10% |      3 |    44.44% | [P:0.69] [⚠️降級預設] RSI:26.42|MACD:-0.27|KD_Diff:-8.87|D_Value:35.07
00405A.TW    | 主動富邦台灣龍耀   | 6.70       | 🟢 持股           |       +0.00% |      1 |    27.78% | [P:0.73] [⚠️降級預設] RSI:25.99|MACD:-0.48|KD_Diff:-9.68|D_Value:30.21
00406A.TW    | 主動中信台灣收益   | 8.03       | 🟢 持股           |       +0.00% |      1 |    30.77% | [P:0.70] [⚠️降級預設] RSI:27.52|MACD:-0.34|KD_Diff:-9.75|D_Value:33.73
0050.TW      | 元大台灣50     | 93.70      | 🟢 持股           |      +34.74% |     35 |    48.76% | [P:0.66] Vol_Ratio:2.28|BIAS_20:-9.65|MA_Slope:-0.75|BB_Upper:19.19
0052.TW      | 富邦科技       | 54.40      | 🟢 持股           |      +32.87% |     19 |    50.99% | [P:0.51] MACD:-1.07|D_Value:34.38|Vol_Ratio:2.00|BB_Upper:20.84
0056.TW      | 元大高股息      | 46.73      | 🟢 持股           |      +19.16% |     27 |    51.32% | [P:0.54] KD_Diff:-7.50|Vol_Ratio:1.92|BB_Upper:17.15|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.70      | ❄️ 空倉          |       +9.53% |     10 |    51.75% | [P:0.50] [⚠️降級預設] RSI:46.70|MACD:-0.09|KD_Diff:-2.42|D_Value:52.99
