prev_eps_yoy,expansion,date,name,om,prev_year,gm,est_price,prev_rev_yoy,symbol,price,advice,prev_eps,pe,eps,eps_yoy,status,rev_yoy
16.48,23630.65,2026-03,廣穎,N/A,2025,N/A,130.95000000000002,-3.19,4973.TWO,117.5,✅ 穩健價值,2.11,13.459335624284078,7.46,24500.0,🚀 利潤擴張,869.35
-44.61,6801.67,2026-03,圓展,7.42%,2025,56.66%,25.199999999999996,-3.05,3669.TW,37.5499992371,⚠️ 追價風險,1.13,22.35119002208334,0.7,6900.0,🏰 高護城河,98.33
222.67,6668.8,2026-03,今國光,N/A,2025,N/A,34.8,50.65,6209.TW,57.9000015259,⚠️ 追價風險,0.92,24.956897209439656,0.81,7900.0,🚀 利潤擴張,1231.2
590.0,4621.74,2026-03,立萬利,-188.65%,2025,62.07%,60.45,26.61,3054.TW,45.5499992371,💎 強力關注,1.96,11.302729339230769,1.41,7150.0,🏰 高護城河,2528.26
-73.68,3859.43,2026-03,和成,N/A,2025,N/A,55.95,-6.18,1810.TW,23.5,💎 強力關注,0.05,6.3002680965147455,3.64,4133.33,🚀 利潤擴張,273.9
-731.58,3393.55,2026-03,台塑,-5.76%,2025,2.38%,-48.45,-12.31,1301.TW,54.0,⚪ 數據不足,-1.58,0.0,0.51,5000.0,🔄 轉虧為盈,1606.45
660.0,2925.59,2026-03,欣厚-KY,0.43%,2025,27.32%,12.3,3.99,4924.TWO,9.3299999237,💎 強力關注,0.38,11.378048687439025,0.35,3400.0,🚀 利潤擴張,474.41
48.33,2635.64,2026-03,金山電,N/A,2025,N/A,48.599999999999994,9.79,8042.TWO,89.8000030518,⚠️ 追價風險,0.89,27.716050324629634,2.17,3200.0,🚀 利潤擴張,564.36
0.0,2554.2799999999997,2026-03,統一證,34.40%,2025,82.96%,96.44999999999999,3.92,2855.TW,40.0999984741,💎 強力關注,3.0,6.236391675598756,1.43,2960.0,🏰 高護城河,405.72
120.99,2382.95,2026-03,穩懋,13.87%,2025,31.80%,88.05,-4.69,3105.TWO,268.0,⚠️ 追價風險,4.0,45.65587734241908,1.26,3050.0,🚀 利潤擴張,667.05
41.38,2337.34,2026-03,新紡,10.89%,2025,27.15%,274.05000000000007,12.31,1419.TW,68.4000015259,💎 強力關注,4.11,3.7438424480514496,9.37,2733.33,🚀 利潤擴張,395.99
175.0,2173.63,2026-03,一詮,1.35%,2025,15.86%,9.150000000000002,10.09,2486.TW,171.0,⚠️ 追價風險,0.22,280.32786885245895,0.29,2900.0,🚀 利潤擴張,726.37
110.31,1694.01,2026-03,虹光,0.24%,2025,24.41%,34.800000000000004,13.61,2380.TW,18.7999992371,💎 強力關注,0.72,8.103447947025861,0.4,1900.0,🚀 利潤擴張,205.99
-92.39,1630.13,2026-03,嘉晶,4.89%,2025,11.81%,2.849999999999999,-5.25,3016.TW,74.4000015259,⚠️ 追價風險,0.07,391.5789553994738,0.35,3400.0,🚀 利潤擴張,1769.87
35.71,1516.21,2026-03,南亞,2.06%,2025,9.25%,27.900000000000006,0.12,1303.TW,145.0,⚠️ 追價風險,0.57,77.95698924731181,1.8,2900.0,🚀 利潤擴張,1383.79
275.0,1335.3100000000002,2026-03,映泰,-12.67%,2025,8.40%,18.599999999999998,-14.09,2399.TW,30.3999996185,⚠️ 追價風險,0.15,24.51612872459678,1.48,2366.67,🚀 利潤擴張,1031.36
50.0,1225.03,2026-03,永純,2.47%,2025,14.61%,7.65,-4.5,4711.TWO,15.4499998093,⚠️ 追價風險,0.15,30.294117273137253,0.23,2200.0,🚀 利潤擴張,974.97
250.0,1157.6399999999999,2026-03,中纖,18.72%,2025,41.46%,6.15,-0.24,1718.TW,8.6400003433,⚪ 中性觀察,0.09,21.07317156902439,0.17,1300.0,🚀 利潤擴張,142.36
406.67,1154.09,2026-03,倚強科,-15.39%,2025,69.49%,67.5,49.68,3219.TWO,55.0999984741,✅ 穩健價值,1.52,12.244444105355555,0.48,1275.0,🏰 高護城河,120.91
-17.95,1063.6100000000001,2026-03,邑昇,N/A,2025,N/A,11.1,9.81,5291.TWO,42.6500015259,⚠️ 追價風險,0.31,57.635137197162166,0.17,1600.0,🚀 利潤擴張,536.39
-6.25,982.33,2026-03,星通,43.45%,2025,68.55%,78.44999999999999,4.27,3025.TW,50.2000007629,💎 強力關注,3.45,9.5984705091587,0.6,1100.0,🏰 高護城河,117.67
110.31,807.1099999999999,2026-03,十銓,N/A,2025,N/A,669.75,2.46,4967.TW,212.5,💎 強力關注,13.06,4.759238521836506,27.0,2600.0,🚀 利潤擴張,1792.89
46.43,733.74,2026-03,所羅門,2.82%,2025,24.10%,17.699999999999996,21.27,2359.TW,123.5,⚠️ 追價風險,1.23,104.66101694915257,0.78,1014.29,🚀 利潤擴張,280.55
-566.18,714.3499999999999,2026-03,中化生,-143.69%,2025,-78.82%,-85.05,-40.26,1762.TW,32.2000007629,⚪ 數據不足,-4.39,0.0,1.64,1211.11,🔄 轉虧為盈,496.76
-51.41,648.6500000000001,2026-03,晶豪科,20.25%,2025,32.33%,36.29999999999999,8.08,3006.TW,164.0,⚠️ 追價風險,0.87,67.76859504132233,7.22,2666.67,🚀 利潤擴張,2018.02
-266.0,589.77,2026-03,盟立,-3.37%,2025,17.62%,-26.55,-10.95,2464.TW,122.5,⚪ 數據不足,-0.84,0.0,0.24,1100.0,🔄 轉虧為盈,510.23
140.33,583.2200000000003,2026-03,創見,55.59%,2025,61.62%,586.95,69.84,2451.TW,269.5,💎 強力關注,12.98,6.887298747763864,18.93,2067.82,🏰 高護城河,1484.6
89.09,582.14,2026-03,台鋼建設,-147.39%,2025,-40.24%,29.400000000000006,58.31,3521.TWO,12.1999998093,💎 強力關注,-0.07,6.224489698622447,2.12,806.67,🔄 轉虧為盈,224.53
-68.84,579.1500000000001,2026-03,南港,4.39%,2025,20.96%,30.6,-44.61,2101.TW,32.4500007629,✅ 穩健價值,1.01,15.906863119068625,1.86,1763.64,🚀 利潤擴張,1184.49
-197.14,556.87,2026-03,高鋒,-1.97%,2025,14.87%,-36.6,-2.21,4510.TWO,33.0,⚪ 數據不足,-1.02,0.0,0.2,1100.0,🔄 轉虧為盈,543.13
-40.68,511.73,2026-03,微端,8.69%,2025,28.61%,15.75,-19.66,3285.TWO,36.1500015259,⚠️ 追價風險,0.7,34.42857288180952,0.26,1200.0,🚀 利潤擴張,688.27
222.58,487.52,2026-03,GOGOLOOK,N/A,2025,N/A,52.05,20.92,6902.TW,120.0,⚠️ 追價風險,1.58,34.5821325648415,1.64,530.77,🚀 利潤擴張,43.25
74.6,484.25,2026-03,鑫永洋,N/A,2025,N/A,-7.499999999999999,5.06,6241.TWO,15.75,⚪ 數據不足,-0.16,0.0,0.46,820.0,🔄 轉虧為盈,335.75
-42.59,472.41999999999996,2026-03,綠電,N/A,2025,N/A,8.850000000000001,-6.1,8440.TWO,18.25,⚠️ 追價風險,0.31,30.932203389830505,0.22,1200.0,🚀 利潤擴張,727.58
-1.45,444.74,2026-03,富田-創,-0.34%,2025,30.54%,0.0,-41.11,4590.TW,77.5,⚪ 數據不足,2.72,0.0,1.21,418.92,🧐 疑業外收益,-25.82
-34.67,412.3,2026-03,麗正,11.05%,2025,36.04%,17.400000000000002,11.66,2302.TW,33.4500007629,⚠️ 追價風險,0.49,28.83620755422413,0.25,600.0,🚀 利潤擴張,187.7
576.92,390.63,2026-03,華邦電,15.37%,2025,41.86%,40.8,9.55,2344.TW,118.5,⚠️ 追價風險,0.88,43.56617647058824,2.25,1037.5,🚀 利潤擴張,646.87
5.88,381.05,2026-03,宏�砦C戲-創,N/A,2025,N/A,0.0,28.36,6908.TW,32.8499984741,⚪ 數據不足,1.44,0.0,0.41,387.5,🚀 利潤擴張,6.45
-49.65,356.01,2026-03,應廣,N/A,2025,N/A,81.60000000000001,-15.3,6716.TWO,70.5999984741,✅ 穩健價值,2.19,12.977940895974264,1.59,715.79,🚀 利潤擴張,359.78
207.35,342.59000000000003,2026-03,寶碩,N/A,2025,N/A,19.499999999999996,9.95,5210.TWO,28.2000007629,⚪ 中性觀察,0.73,21.69230827915385,0.24,380.0,🚀 利潤擴張,37.41
90.52,339.47,2026-03,鈺鎧,N/A,2025,N/A,-8.4,25.85,5228.TWO,34.0499992371,⚪ 數據不足,-0.2,0.0,0.99,1090.0,🔄 轉虧為盈,750.53
1.73,338.21999999999997,2026-03,亞洲藏壽司,N/A,2025,N/A,92.55,5.96,2754.TWO,67.1999969482,💎 強力關注,2.35,10.891409554003241,1.42,517.65,🚀 利潤擴張,179.43
170.59,312.59000000000003,2026-03,旭然,14.30%,2025,42.07%,26.4,-3.75,4556.TWO,85.5,⚠️ 追價風險,0.92,48.57954545454545,0.13,550.0,🚀 利潤擴張,237.41
-29.63,306.68,2026-03,協禧,7.94%,2025,30.11%,25.95,-5.82,3071.TWO,24.2000007629,✅ 穩健價值,0.57,13.98843974734104,0.15,650.0,🚀 利潤擴張,343.32
3.78,293.43999999999994,2026-03,群聯,N/A,2025,N/A,2097.2999999999997,23.29,8299.TWO,1495.0,💎 強力關注,41.98,10.6923186954656,68.8,1143.3,🚀 利潤擴張,849.86
-150.59,276.36999999999995,2026-03,慧智,N/A,2025,N/A,-2.2499999999999996,-14.91,6615.TWO,33.1500015259,⚪ 數據不足,-0.43,0.0,0.67,546.67,🔄 轉虧為盈,270.3
550.0,268.97,2026-03,康舒,N/A,2025,N/A,-9.150000000000002,0.1,6282.TW,38.8499984741,⚪ 數據不足,0.18,0.0,0.27,640.0,🚀 利潤擴張,371.03
55.83,258.58,2026-03,三貝德,N/A,2025,N/A,-20.1,5.03,8489.TWO,21.7999992371,⚪ 數據不足,-0.76,0.0,0.38,445.45,🔄 轉虧為盈,186.87
8050.0,228.27999999999997,2026-03,事欣科,8.07%,2025,18.73%,120.3,0.89,4916.TW,88.5,💎 強力關注,1.77,11.03491271820449,4.49,701.79,🚀 利潤擴張,473.51
-66.67,226.35000000000002,2026-03,銘旺實,N/A,2025,N/A,44.1,-3.15,4432.TWO,15.4499998093,💎 強力關注,0.88,5.255101975952381,2.97,518.75,🚀 利潤擴張,292.4
51.72,217.69,2026-03,中美實,-88.29%,2025,35.38%,14.700000000000001,-61.59,4702.TWO,9.1300001144,💎 強力關注,0.88,9.316326647346937,0.45,350.0,🚀 利潤擴張,132.31
33.97,215.22999999999996,2026-03,東哥遊艇,N/A,2025,N/A,493.65000000000003,5.83,8478.TW,149.0,💎 強力關注,13.25,4.527499240352476,3.8,512.9,🚀 利潤擴張,297.67
-21.15,211.49,2026-03,大亞,8.70%,2025,13.61%,76.65,3.39,1609.TW,32.5,💎 強力關注,1.65,6.360078277886497,0.66,925.0,🚀 利潤擴張,713.51
-80.0,186.79000000000002,2026-03,聯嘉投控,7.12%,2025,19.34%,0.0,3.55,3717.TW,20.2999992371,⚪ 數據不足,0.08,0.0,0.47,213.33,🚀 利潤擴張,26.54
-280.2,185.94,2026-03,巨虹,N/A,2025,N/A,-43.199999999999996,-10.9,8084.TWO,41.0,⚪ 數據不足,-1.82,0.0,0.33,266.67,🔄 轉虧為盈,80.73
25.64,185.43999999999994,2026-03,東浦,14.85%,2025,30.40%,94.05,18.23,3290.TWO,50.7999992371,💎 強力關注,2.02,8.10207324355662,2.65,728.13,🚀 利潤擴張,542.69
-177.27,164.05,2026-03,同協,N/A,2025,N/A,-7.95,-15.68,5460.TWO,15.6000003815,⚪ 數據不足,-0.17,0.0,0.09,550.0,🔄 轉虧為盈,385.95
1640.0,160.65000000000003,2026-03,未知,N/A,2025,N/A,0.0,32.98,4582.TWO,0.0,⚪ 數據不足,1.54,0.0,0.53,276.67,🚀 利潤擴張,116.02
1640.0,160.65000000000003,2026-03,聚恆-創,N/A,2025,N/A,0.0,32.98,4582.TW,26.7000007629,⚪ 數據不足,1.54,0.0,0.53,276.67,🚀 利潤擴張,116.02
-219.05,157.99,2026-03,鼎元,-2.91%,2025,10.78%,-6.6,-2.43,2426.TW,47.4500007629,⚪ 數據不足,-0.25,0.0,0.06,700.0,🔄 轉虧為盈,542.01
54.55,156.05,2026-03,圓剛,8.42%,2025,56.31%,-25.049999999999997,2.69,2417.TW,37.0,⚪ 數據不足,-0.19,0.0,0.28,264.29,🔄 轉虧為盈,108.24
-125.22,152.34,2026-03,成霖,N/A,2025,N/A,1.050000000000001,-4.25,9934.TW,10.3500003815,⚠️ 追價風險,-0.29,147.85714830714272,0.28,366.67,🔄 轉虧為盈,214.33
-77.02,142.32,2026-03,六角,N/A,2025,N/A,32.250000000000014,7.13,2732.TWO,62.2999992371,⚠️ 追價風險,1.09,28.976743831209294,1.1,323.08,🚀 利潤擴張,180.76
-38.68,134.17000000000002,2026-03,醫揚,N/A,2025,N/A,96.15,5.8,6569.TWO,95.1999969482,✅ 穩健價值,2.88,14.851793595663025,1.03,442.11,🚀 利潤擴張,307.94
921.74,133.17000000000002,2026-03,凌華,N/A,2025,N/A,85.05,17.09,6166.TW,125.5,⚠️ 追價風險,2.35,22.13403880070547,1.57,406.45,🚀 利潤擴張,273.28
884.75,130.47000000000003,2026-03,聯亞,41.27%,2025,54.76%,183.0,82.29,3081.TWO,1485.0,⚠️ 追價風險,4.66,121.72131147540985,3.44,645.65,🏰 高護城河,515.18
-20.59,115.32000000000001,2026-03,奇偶,N/A,2025,N/A,172.05,-14.96,3356.TW,54.0,💎 強力關注,6.21,4.707933740191804,2.21,228.49,🚀 利潤擴張,113.17
