====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260731 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 12.94      | 💥 賣出           |      +11.17% |     15 |    54.24% | [P:0.43] RSI:41.39|MACD:-0.50|KD_Diff:-0.40|BIAS_20:-4.39
00401A.TW    | 主動摩根台灣鑫收   | 12.55      | 🟢 持股           |      +11.09% |      9 |    53.45% | [P:0.68] RSI:42.94|MACD:-0.33|KD_Diff:0.52|BIAS_20:-2.60
00402A.TW    | 主動安聯美國科技   | 9.51       | 🟢 持股           |       +0.00% |      1 |    45.00% | [P:0.50] [⚠️降級預設] RSI:44.78|MACD:-0.16|KD_Diff:5.23|D_Value:25.69
00403A.TW    | 主動統一升級50   | 9.25       | 🟢 持股           |       +6.59% |      3 |    52.17% | [P:0.55] [⚠️降級預設] RSI:38.05|MACD:-0.44|KD_Diff:2.53|D_Value:25.30
00404A.TW    | 主動聯博動能50   | 9.26       | 🟢 持股           |       -0.10% |      3 |    50.00% | [P:0.51] [⚠️降級預設] RSI:42.43|MACD:-0.28|KD_Diff:4.73|D_Value:33.11
00405A.TW    | 主動富邦台灣龍耀   | 7.30       | 🟢 持股           |       +0.00% |      1 |    30.00% | [P:0.59] [⚠️降級預設] RSI:36.33|MACD:-0.53|KD_Diff:-0.48|D_Value:25.49
00406A.TW    | 主動中信台灣收益   | 8.59       | 🟢 持股           |       +0.00% |      1 |    40.00% | [P:0.59] [⚠️降級預設] RSI:37.33|MACD:-0.39|KD_Diff:-1.66|D_Value:28.17
0050.TW      | 元大台灣50     | 102.85     | 💥 賣出           |      +34.74% |     35 |    48.76% | [P:0.49] Vol_Ratio:1.07|BIAS_20:0.18|MA_Slope:-0.27|BB_Upper:8.02
0052.TW      | 富邦科技       | 59.70      | ❄️ 空倉          |      +19.45% |     20 |    50.96% | [P:0.47] MACD:-1.15|D_Value:33.07|Vol_Ratio:1.66|BB_Upper:9.43
0053.TW      | 元大電子       | 227.35     | 🟢 持股           |      +42.71% |     21 |    48.73% | [P:0.51] [⚠️降級預設] RSI:43.94|MACD:-5.54|KD_Diff:4.46|D_Value:31.97
0056.TW      | 元大高股息      | 49.48      | 🚀 買進           |       +6.27% |     28 |    51.29% | [P:0.57] KD_Diff:3.67|Vol_Ratio:1.00|BB_Upper:10.47|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.89      | 🟢 持股           |       +9.53% |     11 |    51.78% | [P:0.50] [⚠️降級預設] RSI:52.38|MACD:-0.11|KD_Diff:-2.20|D_Value:46.85
006201.TWO   | 元大富櫃50     | 38.07      | 💥 賣出           |      +66.83% |     43 |    50.13% | [P:0.44] Vol_Ratio:1.11|MA_Slope:-1.30|BB_Upper:32.67|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 184.75     | ❄️ 空倉          |      +24.15% |     46 |    51.11% | [P:0.48] KD_Diff:5.95|D_Value:32.52|Vol_Ratio:0.56|MA_Bull:0.00
006205.TW    | 富邦上証       | 41.33      | ❄️ 空倉          |       +2.87% |     12 |    51.94% | [P:0.48] [⚠️降級預設] RSI:57.76|MACD:-0.03|KD_Diff:0.96|D_Value:56.79
006208.TW    | 富邦台50      | 235.35     | 💥 賣出           |      +34.16% |     19 |    50.17% | [P:0.40] MACD:-4.60|D_Value:34.00|Vol_Ratio:1.18|BIAS_20:-0.17
00631L.TW    | 元大台灣50正2   | 33.70      | 🟢 持股           |      +10.59% |     19 |    50.16% | [P:0.56] KD_Diff:8.14|BIAS_20:-2.36|MA_Slope:-0.73|BB_Upper:19.99
00632R.TW    | 元大台灣50反1   | 10.44      | 🚀 買進           |       +4.64% |     10 |    57.07% | [P:0.58] MACD:0.17|D_Value:64.88|BIAS_20:-0.60|MA_Slope:0.27
00633L.TW    | 富邦上証正2     | 49.12      | ❄️ 空倉          |       -0.75% |     24 |    49.31% | [P:0.48] MACD:-0.59|KD_Diff:-6.72|MA_Slope:-0.05|BB_Upper:6.12
00634R.TW    | 富邦上証反1     | 3.12       | ❄️ 空倉          |      -10.97% |     22 |    52.67% | [P:0.31] KD_Diff:8.13|D_Value:47.94|Vol_Ratio:2.19|MA_Slope:0.03
00635U.TW    | 期元大S&P黃金   | 42.44      | ❄️ 空倉          |      +31.60% |     28 |    51.72% | [P:0.44] MACD:-0.41|D_Value:45.22|Vol_Ratio:1.07|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 20.45      | ❄️ 空倉          |       -0.72% |     20 |    49.93% | [P:0.47] MACD:-0.21|KD_Diff:-7.54|BIAS_20:-0.85|BB_Upper:6.17
00638R.TW    | 元大滬深300反1  | 6.71       | ❄️ 空倉          |       -3.54% |      8 |    53.07% | [P:0.40] RSI:47.69|MACD:0.03|KD_Diff:8.76|D_Value:44.28
00639.TW     | 富邦深100     | 16.83      | 🟢 持股           |      +12.79% |     13 |    50.02% | [P:0.50] [⚠️降級預設] RSI:45.93|MACD:-0.35|KD_Diff:2.51|D_Value:28.55
00640L.TW    | 富邦日本正2     | 104.40     | ❄️ 空倉          |       +1.46% |     34 |    50.11% | [P:0.43] RSI:51.33|D_Value:53.68|Vol_Ratio:0.58|BIAS_20:0.03
00641R.TW    | 富邦日本反1     | 3.73       | ❄️ 空倉          |       +2.21% |     32 |    56.22% | [P:0.39] RSI:44.59|KD_Diff:0.39|BIAS_20:-1.45|MA_Slope:-0.01
00642U.TW    | 期元大S&P石油   | 26.84      | 💥 賣出           |     +141.39% |     45 |    52.88% | [P:0.48] RSI:59.97|D_Value:50.38|Vol_Ratio:1.27|MA_Slope:0.82
00643.TW     | 群益深証中小     | 18.48      | 🟢 持股           |       +9.04% |      7 |    49.46% | [P:0.54] [⚠️降級預設] RSI:39.82|MACD:-0.43|KD_Diff:1.40|D_Value:29.18
00646.TW     | 元大S&P500   | 76.20      | 💥 賣出           |      +13.04% |     37 |    49.84% | [P:0.50] KD_Diff:5.70|D_Value:37.26|BIAS_20:0.35|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 4.04       | 🟢 持股           |       -0.69% |     13 |    57.84% | [P:0.55] MACD:0.01|D_Value:78.87|BIAS_20:-0.02|MA_Slope:0.02
00650L.TW    | 復華香港正2     | 17.87      | ❄️ 空倉          |       +5.62% |     34 |    49.78% | [P:0.28] RSI:70.62|MACD:0.57|MA_Slope:1.05|MA_Bull:10.00
00651R.TW    | 復華香港反1     | 5.13       | 🟢 持股           |      +11.71% |     19 |    52.97% | [P:0.63] RSI:30.53|D_Value:17.67|BIAS_20:-4.38|MA_Slope:-0.50
00653L.TW    | 富邦印度正2     | 47.88      | 🟢 持股           |       +7.91% |     43 |    48.84% | [P:0.53] RSI:58.68|KD_Diff:18.38|Vol_Ratio:0.55|BB_Upper:1.04
00654R.TW    | 富邦印度反1     | 6.69       | ❄️ 空倉          |       +7.26% |     32 |    53.12% | [P:0.39] RSI:40.82|D_Value:51.33|BIAS_20:-0.98|MA_Slope:0.02
00655L.TW    | 國泰中國A50正2  | 34.29      | ❄️ 空倉          |      +14.53% |     40 |    50.92% | [P:0.42] RSI:52.20|Vol_Ratio:0.99|MA_Slope:-0.02|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.92       | ❄️ 空倉          |       +3.33% |     12 |    53.94% | [P:0.43] RSI:50.00|D_Value:43.20|MA_Slope:0.02|BB_Upper:2.56
00657K.TW    | 國泰日經225+U  | 23.05      | 🟢 持股           |      +38.64% |     41 |    49.74% | [P:0.62] RSI:40.17|KD_Diff:4.66|BIAS_20:-3.80|MA_Bull:0.00
00660.TW     | 元大歐洲50     | 46.82      | 🚀 買進           |      +22.03% |     36 |    52.73% | [P:0.59] RSI:64.42|MACD:0.20|D_Value:63.65|MA_Bull:0.00
00662.TW     | 富邦NASDAQ   | 118.55     | 💥 賣出           |      +16.31% |     39 |    50.41% | [P:0.47] RSI:43.69|KD_Diff:7.27|MA_Slope:-0.13|MA_Bull:0.00
00663L.TW    | 國泰臺灣加權正2   | 94.90      | 🟢 持股           |      +63.37% |     33 |    49.40% | [P:0.54] RSI:41.95|D_Value:28.49|Vol_Ratio:1.02|MA_Slope:-0.90
