prev_eps_yoy,gm,om,prev_rev_yoy,expansion,name,prev_year,est_price,eps,prev_eps,eps_yoy,advice,date,status,pe,price,symbol,rev_yoy
16.48,N/A,N/A,-3.19,23630.65,廣穎,2025,130.95000000000002,7.46,2.11,24500.0,✅ 穩健價值,2026-03,🚀 利潤擴張,15.922107674684993,139.0,4973.TWO,869.35
-44.61,56.66%,7.42%,-3.05,6801.67,圓展,2025,25.199999999999996,0.7,1.13,6900.0,⚠️ 追價風險,2026-03,🏰 高護城河,23.392856688750005,39.2999992371,3669.TW,98.33
222.67,N/A,N/A,50.65,6668.8,今國光,2025,34.8,0.81,0.92,7900.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,30.08620821198276,69.8000030518,6209.TW,1231.2
590.0,62.07%,-188.65%,26.61,4621.74,立萬利,2025,60.45,1.41,1.96,7150.0,✅ 穩健價值,2026-03,🏰 高護城河,12.022332695508684,48.4500007629,3054.TW,2528.26
-73.68,N/A,N/A,-6.18,3859.43,和成,2025,55.95,3.64,0.05,4133.33,💎 強力關注,2026-03,🚀 利潤擴張,6.394101978954423,23.8500003815,1810.TW,273.9
-731.58,2.38%,-5.76%,-12.31,3393.55,台塑,2025,-48.45,0.51,-1.58,5000.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,53.7999992371,1301.TW,1606.45
660.0,27.32%,0.43%,3.99,2925.59,欣厚-KY,2025,12.3,0.35,0.38,3400.0,✅ 穩健價值,2026-03,🚀 利潤擴張,12.19512195121951,10.0,4924.TWO,474.41
48.33,N/A,N/A,9.79,2635.64,金山電,2025,48.599999999999994,2.17,0.89,3200.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,33.48765432098766,108.5,8042.TWO,564.36
0.0,82.96%,34.40%,3.92,2554.2799999999997,統一證,2025,96.44999999999999,1.43,3.0,2960.0,💎 強力關注,2026-03,🏰 高護城河,6.866252181321929,44.1500015259,2855.TW,405.72
120.99,31.80%,13.87%,-4.69,2382.95,穩懋,2025,88.05,1.26,4.0,3050.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,52.981260647359456,311.0,3105.TWO,667.05
41.38,27.15%,10.89%,12.31,2337.34,新紡,2025,274.05000000000007,9.37,4.11,2733.33,💎 強力關注,2026-03,🚀 利潤擴張,3.711001809074986,67.8000030518,1419.TW,395.99
175.0,15.86%,1.35%,10.09,2173.63,一詮,2025,9.150000000000002,0.29,0.22,2900.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,338.52459016393436,206.5,2486.TW,726.37
110.31,24.41%,0.24%,13.61,1694.01,虹光,2025,34.800000000000004,0.4,0.72,1900.0,💎 強力關注,2026-03,🚀 利潤擴張,8.189655172413792,19.0,2380.TW,205.99
-92.39,11.81%,4.89%,-5.25,1630.13,嘉晶,2025,2.849999999999999,0.35,0.07,3400.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,462.10527922000017,87.8000030518,3016.TW,1769.87
35.71,9.25%,2.06%,0.12,1516.21,南亞,2025,27.900000000000006,1.8,0.57,2900.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,88.70967741935482,165.0,1303.TW,1383.79
275.0,8.40%,-12.67%,-14.09,1335.3100000000002,映泰,2025,18.599999999999998,1.48,0.15,2366.67,⚠️ 追價風險,2026-03,🚀 利潤擴張,29.35483994024194,36.4000015259,2399.TW,1031.36
50.0,14.61%,2.47%,-4.5,1225.03,永純,2025,7.65,0.23,0.15,2200.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,31.17646984019608,15.8999996185,4711.TWO,974.97
250.0,41.46%,18.72%,-0.24,1157.6399999999999,中纖,2025,6.15,0.17,0.09,1300.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,23.414635076829263,9.6000003815,1718.TW,142.36
406.67,69.49%,-15.39%,49.68,1154.09,倚強科,2025,67.5,0.48,1.52,1275.0,✅ 穩健價值,2026-03,🏰 高護城河,13.511110941577778,60.7999992371,3219.TWO,120.91
-17.95,N/A,N/A,9.81,1063.6100000000001,邑昇,2025,11.1,0.17,0.31,1600.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,63.04054260256757,46.6500015259,5291.TWO,536.39
-6.25,68.55%,43.45%,4.27,982.33,星通,2025,78.44999999999999,0.6,3.45,1100.0,💎 強力關注,2026-03,🏰 高護城河,10.325047801147228,54.0,3025.TW,117.67
110.31,N/A,N/A,2.46,807.1099999999999,十銓,2025,669.75,27.0,13.06,2600.0,💎 強力關注,2026-03,🚀 利潤擴張,5.375139977603584,240.0,4967.TW,1792.89
46.43,24.10%,2.82%,21.27,733.74,所羅門,2025,17.699999999999996,0.78,1.23,1014.29,⚠️ 追價風險,2026-03,🚀 利潤擴張,112.28813559322036,132.5,2359.TW,280.55
-566.18,-78.82%,-143.69%,-40.26,714.3499999999999,中化生,2025,-85.05,1.64,-4.39,1211.11,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,32.0999984741,1762.TW,496.76
-51.41,32.33%,20.25%,8.08,648.6500000000001,晶豪科,2025,36.29999999999999,7.22,0.87,2666.67,⚠️ 追價風險,2026-03,🚀 利潤擴張,81.81818181818184,198.0,3006.TW,2018.02
-266.0,17.62%,-3.37%,-10.95,589.77,盟立,2025,-26.55,0.24,-0.84,1100.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,147.5,2464.TW,510.23
140.33,61.62%,55.59%,69.84,583.2200000000003,創見,2025,586.95,18.93,12.98,2067.82,💎 強力關注,2026-03,🏰 高護城河,7.181190902121134,281.0,2451.TW,1484.6
89.09,-40.24%,-147.39%,58.31,582.14,台鋼建設,2025,29.400000000000006,2.12,-0.07,806.67,💎 強力關注,2026-03,🔄 轉虧為盈,6.249999999999999,12.25,3521.TWO,224.53
-68.84,20.96%,4.39%,-44.61,579.1500000000001,南港,2025,30.6,1.86,1.01,1763.64,⚪ 中性觀察,2026-03,🚀 利潤擴張,16.348038467696078,33.3499984741,2101.TW,1184.49
-197.14,14.87%,-1.97%,-2.21,556.87,高鋒,2025,-36.6,0.2,-1.02,1100.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,36.4000015259,4510.TWO,543.13
-40.68,28.61%,8.69%,-19.66,511.73,微端,2025,15.75,0.26,0.7,1200.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,34.61904616580952,36.3499984741,3285.TWO,688.27
222.58,N/A,N/A,20.92,487.52,GOGOLOOK,2025,52.05,1.64,1.58,530.77,⚠️ 追價風險,2026-03,🚀 利潤擴張,35.44668587896254,123.0,6902.TW,43.25
74.6,N/A,N/A,5.06,484.25,鑫永洋,2025,-7.499999999999999,0.46,-0.16,820.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,16.5499992371,6241.TWO,335.75
-42.59,N/A,N/A,-6.1,472.41999999999996,綠電,2025,8.850000000000001,0.22,0.31,1200.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,32.11864536084745,18.9500007629,8440.TWO,727.58
-1.45,30.54%,-0.34%,-41.11,444.74,富田-創,2025,0.0,1.21,2.72,418.92,⚪ 數據不足,2026-03,🧐 疑業外收益,0.0,80.5,4590.TW,-25.82
-34.67,36.04%,11.05%,11.66,412.3,麗正,2025,17.400000000000002,0.25,0.49,600.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,34.48275862068965,40.0,2302.TW,187.7
576.92,41.86%,15.37%,9.55,390.63,華邦電,2025,40.8,2.25,0.88,1037.5,⚠️ 追價風險,2026-03,🚀 利潤擴張,52.57352941176471,143.0,2344.TW,646.87
5.88,N/A,N/A,28.36,381.05,宏�砦C戲-創,2025,0.0,0.41,1.44,387.5,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,33.8499984741,6908.TW,6.45
-49.65,N/A,N/A,-15.3,356.01,應廣,2025,81.60000000000001,1.59,2.19,715.79,✅ 穩健價值,2026-03,🚀 利潤擴張,14.485294678639706,78.8000030518,6716.TWO,359.78
207.35,N/A,N/A,9.95,342.59000000000003,寶碩,2025,19.499999999999996,0.24,0.73,380.0,⚪ 中性觀察,2026-03,🚀 利潤擴張,21.53846153846154,28.0,5210.TWO,37.41
90.52,N/A,N/A,25.85,339.47,鈺鎧,2025,-8.4,0.99,-0.2,1090.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,38.4000015259,5228.TWO,750.53
1.73,N/A,N/A,5.96,338.21999999999997,亞洲藏壽司,2025,92.55,1.42,2.35,517.65,💎 強力關注,2026-03,🚀 利潤擴張,11.426256077795786,70.5,2754.TWO,179.43
170.59,42.07%,14.30%,-3.75,312.59000000000003,旭然,2025,26.4,0.13,0.92,550.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,47.21590822392046,83.0999984741,4556.TWO,237.41
-29.63,30.11%,7.94%,-5.82,306.68,協禧,2025,25.95,0.15,0.57,650.0,✅ 穩健價值,2026-03,🚀 利潤擴張,14.913294356705203,25.7999992371,3071.TWO,343.32
3.78,N/A,N/A,23.29,293.43999999999994,群聯,2025,2097.2999999999997,68.8,41.98,1143.3,✅ 穩健價值,2026-03,🚀 利潤擴張,12.587612644829067,1760.0,8299.TWO,849.86
-150.59,N/A,N/A,-14.91,276.36999999999995,慧智,2025,-2.2499999999999996,0.67,-0.43,546.67,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,34.0,6615.TWO,270.3
550.0,N/A,N/A,0.1,268.97,康舒,2025,-9.150000000000002,0.27,0.18,640.0,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,44.6500015259,6282.TW,371.03
55.83,N/A,N/A,5.03,258.58,三貝德,2025,-20.1,0.38,-0.76,445.45,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,22.3500003815,8489.TWO,186.87
8050.0,18.73%,8.07%,0.89,228.27999999999997,事欣科,2025,120.3,4.49,1.77,701.79,💎 強力關注,2026-03,🚀 利潤擴張,11.845386533665836,95.0,4916.TW,473.51
-66.67,N/A,N/A,-3.15,226.35000000000002,銘旺實,2025,44.1,2.97,0.88,518.75,💎 強力關注,2026-03,🚀 利潤擴張,5.306122578741497,15.6000003815,4432.TWO,292.4
51.72,35.38%,-88.29%,-61.59,217.69,中美實,2025,14.700000000000001,0.45,0.88,350.0,💎 強力關注,2026-03,🚀 利潤擴張,9.673468920612244,9.4799995422,4702.TWO,132.31
33.97,N/A,N/A,5.83,215.22999999999996,東哥遊艇,2025,493.65000000000003,3.8,13.25,512.9,💎 強力關注,2026-03,🚀 利潤擴張,4.588271042236402,151.0,8478.TW,297.67
-21.15,13.61%,8.70%,3.39,211.49,大亞,2025,76.65,0.66,1.65,925.0,💎 強力關注,2026-03,🚀 利潤擴張,6.780822216418787,34.6500015259,1609.TW,713.51
-80.0,19.34%,7.12%,3.55,186.79000000000002,聯嘉投控,2025,0.0,0.47,0.08,213.33,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,22.8500003815,3717.TW,26.54
-280.2,N/A,N/A,-10.9,185.94,巨虹,2025,-43.199999999999996,0.33,-1.82,266.67,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,41.5,8084.TWO,80.73
25.64,30.40%,14.85%,18.23,185.43999999999994,東浦,2025,94.05,2.65,2.02,728.13,💎 強力關注,2026-03,🚀 利潤擴張,8.229664828405104,51.5999984741,3290.TWO,542.69
-177.27,N/A,N/A,-15.68,164.05,同協,2025,-7.95,0.09,-0.17,550.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,15.75,5460.TWO,385.95
1640.0,N/A,N/A,32.98,160.65000000000003,未知,2025,0.0,0.53,1.54,276.67,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,0.0,4582.TWO,116.02
