advice,status,prev_eps_yoy,rev_yoy,prev_eps,expansion,prev_year,est_price,eps_yoy,gm,date,pe,name,price,symbol,eps,prev_rev_yoy,om
⚪ 中性觀察,🚀 利潤擴張,16.48,869.35,2.11,23630.65,2025,130.95000000000002,24500.0,N/A,2026-03,16.49484536082474,廣穎,144.0,4973.TWO,7.46,-3.19,N/A
⚠️ 追價風險,🏰 高護城河,-44.61,98.33,1.13,6801.67,2025,25.199999999999996,6900.0,56.66%,2026-03,23.005953289226195,圓展,38.6500015259,3669.TW,0.7,-3.05,7.42%
⚠️ 追價風險,🚀 利潤擴張,222.67,1231.2,0.92,6668.8,2025,34.8,7900.0,N/A,2026-03,29.784482100905176,今國光,69.0999984741,6209.TW,0.81,50.65,N/A
✅ 穩健價值,🏰 高護城河,590.0,2528.26,1.96,4621.74,2025,60.45,7150.0,62.07%,2026-03,12.233250431042183,立萬利,49.2999992371,3054.TW,1.41,26.61,-188.65%
💎 強力關注,🚀 利潤擴張,-73.68,273.9,0.05,3859.43,2025,55.95,4133.33,N/A,2026-03,6.675603114879356,和成,24.8999996185,1810.TW,3.64,-6.18,N/A
⚪ 數據不足,🔄 轉虧為盈,-731.58,1606.45,-1.58,3393.55,2025,-48.45,5000.0,2.38%,2026-03,0.0,台塑,55.2999992371,1301.TW,0.51,-12.31,-5.76%
✅ 穩健價值,🚀 利潤擴張,660.0,474.41,0.38,2925.59,2025,12.3,3400.0,27.32%,2026-03,12.256097793536584,欣厚-KY,10.0500001907,4924.TWO,0.35,3.99,0.43%
⚠️ 追價風險,🚀 利潤擴張,48.33,564.36,0.89,2635.64,2025,48.599999999999994,3200.0,N/A,2026-03,34.104938271604944,金山電,110.5,8042.TWO,2.17,9.79,N/A
💎 強力關注,🏰 高護城河,0.0,405.72,3.0,2554.2799999999997,2025,96.44999999999999,2960.0,82.96%,2026-03,6.959564541213064,統一證,44.75,2855.TW,1.43,3.92,34.40%
⚠️ 追價風險,🚀 利潤擴張,120.99,667.05,4.0,2382.95,2025,88.05,3050.0,31.80%,2026-03,58.26235093696763,穩懋,342.0,3105.TWO,1.26,-4.69,13.87%
💎 強力關注,🚀 利潤擴張,41.38,395.99,4.11,2337.34,2025,274.05000000000007,2733.33,27.15%,2026-03,3.6398467432950183,新紡,66.5,1419.TW,9.37,12.31,10.89%
⚠️ 追價風險,🚀 利潤擴張,175.0,726.37,0.22,2173.63,2025,9.150000000000002,2900.0,15.86%,2026-03,362.29508196721304,一詮,221.0,2486.TW,0.29,10.09,1.35%
💎 強力關注,🚀 利潤擴張,110.31,205.99,0.72,1694.01,2025,34.800000000000004,1900.0,24.41%,2026-03,8.103447947025861,虹光,18.7999992371,2380.TW,0.4,13.61,0.24%
⚠️ 追價風險,🚀 利潤擴張,-92.39,1769.87,0.07,1630.13,2025,2.849999999999999,3400.0,11.81%,2026-03,498.94738448315803,嘉晶,94.8000030518,3016.TW,0.35,-5.25,4.89%
⚠️ 追價風險,🚀 利潤擴張,35.71,1383.79,0.57,1516.21,2025,27.900000000000006,2900.0,9.25%,2026-03,91.66666666666666,南亞,170.5,1303.TW,1.8,0.12,2.06%
⚠️ 追價風險,🚀 利潤擴張,275.0,1031.36,0.15,1335.3100000000002,2025,18.599999999999998,2366.67,8.40%,2026-03,32.13709554362904,映泰,39.8499984741,2399.TW,1.48,-14.09,-12.67%
⚠️ 追價風險,🚀 利潤擴張,50.0,974.97,0.15,1225.03,2025,7.65,2200.0,14.61%,2026-03,31.27450943,永純,15.9499998093,4711.TWO,0.23,-4.5,2.47%
⚠️ 追價風險,🚀 利潤擴張,250.0,142.36,0.09,1157.6399999999999,2025,6.15,1300.0,41.46%,2026-03,24.365853100243903,中纖,9.9899997711,1718.TW,0.17,-0.24,18.72%
✅ 穩健價值,🏰 高護城河,406.67,120.91,1.52,1154.09,2025,67.5,1275.0,69.49%,2026-03,13.844444274911112,倚強科,62.2999992371,3219.TWO,0.48,49.68,-15.39%
⚠️ 追價風險,🚀 利潤擴張,-17.95,536.39,0.31,1063.6100000000001,2025,11.1,1600.0,N/A,2026-03,64.79729832824324,邑昇,47.9500007629,5291.TWO,0.17,9.81,N/A
💎 強力關注,🏰 高護城河,-6.25,117.67,3.45,982.33,2025,78.44999999999999,1100.0,68.55%,2026-03,10.497132222925432,星通,54.9000015259,3025.TW,0.6,4.27,43.45%
💎 強力關注,🚀 利潤擴張,110.31,1792.89,13.06,807.1099999999999,2025,669.75,2600.0,N/A,2026-03,5.74468085106383,十銓,256.5,4967.TW,27.0,2.46,N/A
⚠️ 追價風險,🚀 利潤擴張,46.43,280.55,1.23,733.74,2025,17.699999999999996,1014.29,24.10%,2026-03,111.86440677966104,所羅門,132.0,2359.TW,0.78,21.27,2.82%
⚪ 數據不足,🔄 轉虧為盈,-566.18,496.76,-4.39,714.3499999999999,2025,-85.05,1211.11,-78.82%,2026-03,0.0,中化生,32.1500015259,1762.TW,1.64,-40.26,-143.69%
⚠️ 追價風險,🚀 利潤擴張,-51.41,2018.02,0.87,648.6500000000001,2025,36.29999999999999,2666.67,32.33%,2026-03,89.87603305785126,晶豪科,217.5,3006.TW,7.22,8.08,20.25%
⚪ 數據不足,🔄 轉虧為盈,-266.0,510.23,-0.84,589.77,2025,-26.55,1100.0,17.62%,2026-03,0.0,盟立,162.0,2464.TW,0.24,-10.95,-3.37%
💎 強力關注,🏰 高護城河,140.33,1484.6,12.98,583.2200000000003,2025,586.95,2067.82,61.62%,2026-03,7.270636340403782,創見,284.5,2451.TW,18.93,69.84,55.59%
💎 強力關注,🔄 轉虧為盈,89.09,224.53,-0.07,582.14,2025,29.400000000000006,806.67,-40.24%,2026-03,6.249999999999999,台鋼建設,12.25,3521.TWO,2.12,58.31,-147.39%
⚪ 中性觀察,🚀 利潤擴張,-68.84,1184.49,1.01,579.1500000000001,2025,30.6,1763.64,20.96%,2026-03,16.51960821710784,南港,33.7000007629,2101.TW,1.86,-44.61,4.39%
⚪ 數據不足,🔄 轉虧為盈,-197.14,543.13,-1.02,556.87,2025,-36.6,1100.0,14.87%,2026-03,0.0,高鋒,37.0,4510.TWO,0.2,-2.21,-1.97%
⚠️ 追價風險,🚀 利潤擴張,-40.68,688.27,0.7,511.73,2025,15.75,1200.0,28.61%,2026-03,35.33333188009524,微端,37.0999984741,3285.TWO,0.26,-19.66,8.69%
⚠️ 追價風險,🚀 利潤擴張,222.58,43.25,1.58,487.52,2025,52.05,530.77,N/A,2026-03,34.726224783861674,GOGOLOOK,120.5,6902.TW,1.64,20.92,N/A
⚪ 數據不足,🔄 轉虧為盈,74.6,335.75,-0.16,484.25,2025,-7.499999999999999,820.0,N/A,2026-03,0.0,鑫永洋,16.75,6241.TWO,0.46,5.06,N/A
⚠️ 追價風險,🚀 利潤擴張,-42.59,727.58,0.31,472.41999999999996,2025,8.850000000000001,1200.0,N/A,2026-03,32.457626472033894,綠電,19.1499996185,8440.TWO,0.22,-6.1,N/A
⚪ 數據不足,🧐 疑業外收益,-1.45,-25.82,2.72,444.74,2025,0.0,418.92,30.54%,2026-03,0.0,富田-創,80.0,4590.TW,1.21,-41.11,-0.34%
⚠️ 追價風險,🚀 利潤擴張,-34.67,187.7,0.49,412.3,2025,17.400000000000002,600.0,36.04%,2026-03,36.12069097060345,麗正,41.9000015259,2302.TW,0.25,11.66,11.05%
⚠️ 追價風險,🚀 利潤擴張,576.92,646.87,0.88,390.63,2025,40.8,1037.5,41.86%,2026-03,57.72058823529412,華邦電,157.0,2344.TW,2.25,9.55,15.37%
⚪ 數據不足,🚀 利潤擴張,5.88,6.45,1.44,381.05,2025,0.0,387.5,N/A,2026-03,0.0,宏�砦C戲-創,33.1500015259,6908.TW,0.41,28.36,N/A
✅ 穩健價值,🚀 利潤擴張,-49.65,359.78,2.19,356.01,2025,81.60000000000001,715.79,N/A,2026-03,14.852941737463235,應廣,80.8000030518,6716.TWO,1.59,-15.3,N/A
⚪ 中性觀察,🚀 利潤擴張,207.35,37.41,0.73,342.59000000000003,2025,19.499999999999996,380.0,N/A,2026-03,21.96153787469231,寶碩,28.5499992371,5210.TWO,0.24,9.95,N/A
⚪ 數據不足,🔄 轉虧為盈,90.52,750.53,-0.2,339.47,2025,-8.4,1090.0,N/A,2026-03,0.0,鈺鎧,39.4000015259,5228.TWO,0.99,25.85,N/A
💎 強力關注,🚀 利潤擴張,1.73,179.43,2.35,338.21999999999997,2025,92.55,517.65,N/A,2026-03,11.572123423970826,亞洲藏壽司,71.4000015259,2754.TWO,1.42,5.96,N/A
⚠️ 追價風險,🚀 利潤擴張,170.59,237.41,0.92,312.59000000000003,2025,26.4,550.0,42.07%,2026-03,46.02272727272727,旭然,81.0,4556.TWO,0.13,-3.75,14.30%
✅ 穩健價值,🚀 利潤擴張,-29.63,343.32,0.57,306.68,2025,25.95,650.0,30.11%,2026-03,15.115606715895954,協禧,26.1499996185,3071.TWO,0.15,-5.82,7.94%
✅ 穩健價值,🚀 利潤擴張,3.78,849.86,41.98,293.43999999999994,2025,2097.2999999999997,1143.3,N/A,2026-03,13.016735803175512,群聯,1820.0,8299.TWO,68.8,23.29,N/A
⚪ 數據不足,🔄 轉虧為盈,-150.59,270.3,-0.43,276.36999999999995,2025,-2.2499999999999996,546.67,N/A,2026-03,0.0,慧智,35.25,6615.TWO,0.67,-14.91,N/A
⚪ 數據不足,🚀 利潤擴張,550.0,371.03,0.18,268.97,2025,-9.150000000000002,640.0,N/A,2026-03,0.0,康舒,47.9000015259,6282.TW,0.27,0.1,N/A
⚪ 數據不足,🔄 轉虧為盈,55.83,186.87,-0.76,258.58,2025,-20.1,445.45,N/A,2026-03,0.0,三貝德,22.5499992371,8489.TWO,0.38,5.03,N/A
✅ 穩健價值,🚀 利潤擴張,8050.0,473.51,1.77,228.27999999999997,2025,120.3,701.79,18.73%,2026-03,12.655860349127183,事欣科,101.5,4916.TW,4.49,0.89,8.07%
💎 強力關注,🚀 利潤擴張,-66.67,292.4,0.88,226.35000000000002,2025,44.1,518.75,N/A,2026-03,5.476190605952381,銘旺實,16.1000003815,4432.TWO,2.97,-3.15,N/A
💎 強力關注,🚀 利潤擴張,51.72,132.31,0.88,217.69,2025,14.700000000000001,350.0,35.38%,2026-03,9.877551331836735,中美實,9.6800003052,4702.TWO,0.45,-61.59,-88.29%
💎 強力關注,🚀 利潤擴張,33.97,297.67,13.25,215.22999999999996,2025,493.65000000000003,512.9,N/A,2026-03,4.57307809176542,東哥遊艇,150.5,8478.TW,3.8,5.83,N/A
💎 強力關注,🚀 利潤擴張,-21.15,713.51,1.65,211.49,2025,76.65,925.0,13.61%,2026-03,6.917807920567514,大亞,35.3499984741,1609.TW,0.66,3.39,8.70%
