id,name,price,signal,pnl,count,win_rate,reason
3595.TWO,山太士,1445.0,☁️ 觀望,437.1,7,100.0,[P:0.95/5.0] [📉 轉弱] 等待機會
8291.TWO,尚茂,33.9500007629,☁️ 觀望,409.87,4,50.0,[P:0.96/5.0] [📉 轉弱] 等待機會
7610.TW,聯友金屬-創,1450.0,☁️ 觀望,321.11,9,77.78,[P:0.96/5.0] [📉 轉弱] 等待機會
6434.TWO,達輝光電,17.6000003815,🟡 預警 (⚡ 糾結噴發),317.47,4,75.0,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
6977.TWO,聯純,213.5,☁️ 觀望,308.09,7,85.71,[P:0.85/5.0] [📉 轉弱] 等待機會
6493.TWO,雷虎生,37.4000015259,☁️ 觀望,293.43,5,60.0,[P:0.85/5.0] [📉 轉弱] 等待機會
3585.TWO,聯致,49.9500007629,☁️ 觀望,268.28,9,66.67,[P:0.85/5.0] [📉 轉弱] 等待機會
7781.TWO,昕力資*,24.5499992371,☁️ 觀望,267.49,5,80.0,[P:0.95/8.0] [📉 轉弱] 等待機會
7419.TWO,達勝,54.9000015259,☁️ 觀望,243.13,8,75.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3491.TWO,昇達科,1170.0,☁️ 觀望,227.4,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
6748.TWO,亞果生醫,217.5,🟡 預警 (🚀 動能初現),225.48,8,75.0,[P:0.93/50.0] [🚀 極強] 帶量突破短高 (漲幅:9.8%)
2344.TW,華邦電,157.0,🟡 預警 (🚀 動能初現),224.88,9,55.56,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:8.3%)
5246.TWO,勵威,97.5,☁️ 觀望,224.36,10,60.0,[P:0.96/5.0] [📉 轉弱] 等待機會
4971.TWO,IET-KY,420.0,☁️ 觀望,223.19,7,85.71,[P:0.95/8.0] [📉 轉弱] 等待機會
3081.TWO,聯亞,1965.0,🟡 預警 (⚡ 糾結噴發),218.61,8,75.0,[P:0.85/5.0] [🚀 極強] 均線糾結且短均線轉強
6727.TWO,亞泰金屬,370.0,☁️ 觀望,217.85,9,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2408.TW,南亞科,436.0,🟡 預警 (🚀 動能初現),216.03,9,77.78,[P:0.85/5.0] [🚀 極強] 帶量突破短高 (漲幅:9.0%)
7742.TWO,天弘化,80.0999984741,☁️ 觀望,214.04,6,50.0,[P:0.85/5.0] [📉 轉弱] 等待機會
5475.TWO,德宏,134.0,🟡 預警 (🚀 動能初現),212.74,9,88.89,[P:0.85/5.0] [📉 轉弱] 帶量突破短高 (漲幅:5.5%)
7828.TWO,創新服務,1610.0,☁️ 觀望,208.54,6,66.67,[P:0.95/8.0] [📉 轉弱] 等待機會
4925.TWO,智微,99.3000030518,☁️ 觀望,204.44,6,83.33,[P:0.93/5.0] [📉 轉弱] 等待機會
6658.TW,聯策,147.5,☁️ 觀望,201.52,4,50.0,[P:1.01/5.0] [📉 轉弱] 等待機會
6831.TW,邁科,617.0,🟡 預警 (🚀 動能初現),196.06,7,85.71,[P:0.99/5.0] [📉 轉弱] 帶量突破短高 (漲幅:4.4%)
5498.TWO,凱崴,46.9000015259,☁️ 觀望,189.0,9,55.56,[P:0.95/8.0] [📉 轉弱] 等待機會
6515.TW,穎崴,6575.0,☁️ 觀望,185.33,8,75.0,[P:0.85/5.0] [📉 轉弱] 等待機會
8021.TW,尖點,390.5,🟡 預警 (🚀 動能初現),180.75,10,60.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:5.5%)
8074.TWO,鉅橡,53.0,☁️ 觀望,179.82,6,100.0,[P:0.97/5.0] [📉 轉弱] 等待機會
6949.TW,沛爾生醫-創,874.0,☁️ 觀望,179.39,10,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6959.TWO,兆捷科技,103.0,☁️ 觀望,178.66,7,57.14,[P:0.85/5.0] [📉 轉弱] 等待機會
3026.TW,禾伸堂,498.0,☁️ 觀望,176.38,8,87.5,[P:0.95/8.0] [📉 轉弱] 等待機會
