id,name,price,signal,pnl,count,win_rate,reason
8033.TW,雷虎,172.5,☁️ 觀望,150.4,7,28.57,[P:0.95/8.0] [📉 轉弱] 等待機會
2645.TW,長榮航太,184.5,☁️ 觀望,116.41,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2630.TW,亞航,47.9000015259,☁️ 觀望,83.42,4,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3230.TWO,錦明,39.25,☁️ 觀望,49.55,4,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
4541.TWO,晟田,60.5,☁️ 觀望,42.2,8,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
5222.TW,全訊,111.0,☁️ 觀望,38.78,4,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
4968.TW,立積,95.9000015259,☁️ 觀望,25.88,2,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
7714.TWO,創泓科技,141.0,☁️ 觀望,-3.95,6,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2458.TW,義隆,156.5,☁️ 觀望,-12.95,7,28.57,[P:0.95/8.0] [📉 轉弱] 等待機會
3019.TW,亞光,133.0,☁️ 觀望,-14.14,4,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
7402.TWO,邑錡,101.0,☁️ 觀望,-17.43,7,14.29,[P:0.95/8.0] [📉 轉弱] 等待機會
