eps_yoy,advice,prev_year,price,prev_eps,prev_rev_yoy,pe,expansion,gm,name,om,symbol,status,rev_yoy,eps,prev_eps_yoy,est_price,date
24500.0,⚪ 中性觀察,2025,162.0,2.11,-3.19,18.556701030927833,23630.65,N/A,廣穎,N/A,4973.TWO,🚀 利潤擴張,869.35,7.46,16.48,130.95000000000002,2026-03
6900.0,⚠️ 追價風險,2025,38.5999984741,1.13,-3.05,22.97618956791667,6801.67,56.66%,圓展,7.42%,3669.TW,🏰 高護城河,98.33,0.7,-44.61,25.199999999999996,2026-03
7900.0,⚠️ 追價風險,2025,74.0,0.92,50.65,31.896551724137932,6668.8,N/A,今國光,N/A,6209.TW,🚀 利潤擴張,1231.2,0.81,222.67,34.8,2026-03
7150.0,💎 強力關注,2025,48.3499984741,1.96,26.61,11.9975182317866,4621.74,62.07%,立萬利,-188.65%,3054.TW,🏰 高護城河,2528.26,1.41,590.0,60.45,2026-03
4133.33,💎 強力關注,2025,24.6499996185,0.05,-6.18,6.60857898619303,3859.43,N/A,和成,N/A,1810.TW,🚀 利潤擴張,273.9,3.64,-73.68,55.95,2026-03
5000.0,⚪ 數據不足,2025,55.5999984741,-1.58,-12.31,0.0,3393.55,2.38%,台塑,-5.76%,1301.TW,🔄 轉虧為盈,1606.45,0.51,-731.58,-48.45,2026-03
3400.0,✅ 穩健價值,2025,10.0,0.38,3.99,12.19512195121951,2925.59,27.32%,欣厚-KY,0.43%,4924.TWO,🚀 利潤擴張,474.41,0.35,660.0,12.3,2026-03
3200.0,⚠️ 追價風險,2025,114.0,0.89,9.79,35.18518518518519,2635.64,N/A,金山電,N/A,8042.TWO,🚀 利潤擴張,564.36,2.17,48.33,48.599999999999994,2026-03
2960.0,💎 強力關注,2025,45.8499984741,3.0,3.92,7.130637398771384,2554.2799999999997,82.96%,統一證,34.40%,2855.TW,🏰 高護城河,405.72,1.43,0.0,96.44999999999999,2026-03
3050.0,⚠️ 追價風險,2025,385.5,4.0,-4.69,65.67291311754684,2382.95,31.80%,穩懋,13.87%,3105.TWO,🚀 利潤擴張,667.05,1.26,120.99,88.05,2026-03
2733.33,💎 強力關注,2025,65.0,4.11,12.31,3.5577449370552814,2337.34,27.15%,新紡,10.89%,1419.TW,🚀 利潤擴張,395.99,9.37,41.38,274.05000000000007,2026-03
2900.0,⚠️ 追價風險,2025,233.0,0.22,10.09,381.96721311475403,2173.63,15.86%,一詮,1.35%,2486.TW,🚀 利潤擴張,726.37,0.29,175.0,9.150000000000002,2026-03
1900.0,💎 強力關注,2025,19.1000003815,0.72,13.61,8.23275878512931,1694.01,24.41%,虹光,0.24%,2380.TW,🚀 利潤擴張,205.99,0.4,110.31,34.800000000000004,2026-03
3400.0,⚠️ 追價風險,2025,107.0,0.07,-5.25,563.1578947368423,1630.13,11.81%,嘉晶,4.89%,3016.TW,🚀 利潤擴張,1769.87,0.35,-92.39,2.849999999999999,2026-03
2900.0,⚠️ 追價風險,2025,185.0,0.57,0.12,99.46236559139783,1516.21,9.25%,南亞,2.06%,1303.TW,🚀 利潤擴張,1383.79,1.8,35.71,27.900000000000006,2026-03
2366.67,⚠️ 追價風險,2025,43.6500015259,0.15,-14.09,35.20161413379033,1335.3100000000002,8.40%,映泰,-12.67%,2399.TW,🚀 利潤擴張,1031.36,1.48,275.0,18.599999999999998,2026-03
2200.0,⚠️ 追價風險,2025,16.2000007629,0.15,-4.5,31.764707378235293,1225.03,14.61%,永純,2.47%,4711.TWO,🚀 利潤擴張,974.97,0.23,50.0,7.65,2026-03
1300.0,⚠️ 追價風險,2025,10.25,0.09,-0.24,24.999999999999996,1157.6399999999999,41.46%,中纖,18.72%,1718.TW,🚀 利潤擴張,142.36,0.17,250.0,6.15,2026-03
1275.0,✅ 穩健價值,2025,71.4000015259,1.52,49.68,15.866667005755554,1154.09,69.49%,倚強科,-15.39%,3219.TWO,🏰 高護城河,120.91,0.48,406.67,67.5,2026-03
1600.0,⚠️ 追價風險,2025,56.2000007629,0.31,9.81,75.94594697689189,1063.6100000000001,N/A,邑昇,N/A,5291.TWO,🚀 利潤擴張,536.39,0.17,-17.95,11.1,2026-03
1100.0,💎 強力關注,2025,54.7999992371,3.45,4.27,10.478011326405355,982.33,68.55%,星通,43.45%,3025.TW,🏰 高護城河,117.67,0.6,-6.25,78.44999999999999,2026-03
2600.0,💎 強力關注,2025,280.5,13.06,2.46,6.282194848824188,807.1099999999999,N/A,十銓,N/A,4967.TW,🚀 利潤擴張,1792.89,27.0,110.31,669.75,2026-03
1014.29,⚠️ 追價風險,2025,153.5,1.23,21.27,130.0847457627119,733.74,24.10%,所羅門,2.82%,2359.TW,🚀 利潤擴張,280.55,0.78,46.43,17.699999999999996,2026-03
1211.11,⚪ 數據不足,2025,36.5999984741,-4.39,-40.26,0.0,714.3499999999999,-78.82%,中化生,-143.69%,1762.TW,🔄 轉虧為盈,496.76,1.64,-566.18,-85.05,2026-03
2666.67,⚠️ 追價風險,2025,275.5,0.87,8.08,113.8429752066116,648.6500000000001,32.33%,晶豪科,20.25%,3006.TW,🚀 利潤擴張,2018.02,7.22,-51.41,36.29999999999999,2026-03
1100.0,⚪ 數據不足,2025,180.0,-0.84,-10.95,0.0,589.77,17.62%,盟立,-3.37%,2464.TW,🔄 轉虧為盈,510.23,0.24,-266.0,-26.55,2026-03
2067.82,💎 強力關注,2025,295.5,12.98,69.84,7.5517505750063885,583.2200000000003,61.62%,創見,55.59%,2451.TW,🏰 高護城河,1484.6,18.93,140.33,586.95,2026-03
806.67,💎 強力關注,2025,12.25,-0.07,58.31,6.249999999999999,582.14,-40.24%,台鋼建設,-147.39%,3521.TWO,🔄 轉虧為盈,224.53,2.12,89.09,29.400000000000006,2026-03
1763.64,⚪ 中性觀察,2025,34.2999992371,1.01,-44.61,16.81372511622549,579.1500000000001,20.96%,南港,4.39%,2101.TW,🚀 利潤擴張,1184.49,1.86,-68.84,30.6,2026-03
1100.0,⚪ 數據不足,2025,40.8499984741,-1.02,-2.21,0.0,556.87,14.87%,高鋒,-1.97%,4510.TWO,🔄 轉虧為盈,543.13,0.2,-197.14,-36.6,2026-03
1200.0,⚠️ 追價風險,2025,38.0,0.7,-19.66,36.19047619047619,511.73,28.61%,微端,8.69%,3285.TWO,🚀 利潤擴張,688.27,0.26,-40.68,15.75,2026-03
530.77,⚠️ 追價風險,2025,127.5,1.58,20.92,36.74351585014409,487.52,N/A,GOGOLOOK,N/A,6902.TW,🚀 利潤擴張,43.25,1.64,222.58,52.05,2026-03
820.0,⚪ 數據不足,2025,14.6000003815,-0.16,5.06,0.0,484.25,N/A,鑫永洋,N/A,6241.TWO,🔄 轉虧為盈,335.75,0.46,74.6,-7.499999999999999,2026-03
1200.0,⚠️ 追價風險,2025,19.8500003815,0.31,-6.1,33.644068443220334,472.41999999999996,N/A,綠電,N/A,8440.TWO,🚀 利潤擴張,727.58,0.22,-42.59,8.850000000000001,2026-03
418.92,⚪ 數據不足,2025,83.0999984741,2.72,-41.11,0.0,444.74,30.54%,富田-創,-0.34%,4590.TW,🧐 疑業外收益,-25.82,1.21,-1.45,0.0,2026-03
600.0,⚠️ 追價風險,2025,42.5,0.49,11.66,36.637931034482754,412.3,36.04%,麗正,11.05%,2302.TW,🚀 利潤擴張,187.7,0.25,-34.67,17.400000000000002,2026-03
1037.5,⚠️ 追價風險,2025,179.5,0.88,9.55,65.99264705882354,390.63,41.86%,華邦電,15.37%,2344.TW,🚀 利潤擴張,646.87,2.25,576.92,40.8,2026-03
387.5,⚪ 數據不足,2025,32.9000015259,1.44,28.36,0.0,381.05,N/A,宏�砦C戲-創,N/A,6908.TW,🚀 利潤擴張,6.45,0.41,5.88,0.0,2026-03
715.79,⚪ 中性觀察,2025,105.0,2.19,-15.3,19.301470588235293,356.01,N/A,應廣,N/A,6716.TWO,🚀 利潤擴張,359.78,1.59,-49.65,81.60000000000001,2026-03
380.0,⚪ 中性觀察,2025,28.0,0.73,9.95,21.53846153846154,342.59000000000003,N/A,寶碩,N/A,5210.TWO,🚀 利潤擴張,37.41,0.24,207.35,19.499999999999996,2026-03
1090.0,⚪ 數據不足,2025,41.5999984741,-0.2,25.85,0.0,339.47,N/A,鈺鎧,N/A,5228.TWO,🔄 轉虧為盈,750.53,0.99,90.52,-8.4,2026-03
517.65,💎 強力關注,2025,73.0,2.35,5.96,11.831442463533225,338.21999999999997,N/A,亞洲藏壽司,N/A,2754.TWO,🚀 利潤擴張,179.43,1.42,1.73,92.55,2026-03
550.0,⚠️ 追價風險,2025,83.8000030518,0.92,-3.75,47.61363809761364,312.59000000000003,42.07%,旭然,14.30%,4556.TWO,🚀 利潤擴張,237.41,0.13,170.59,26.4,2026-03
650.0,✅ 穩健價值,2025,26.1499996185,0.57,-5.82,15.115606715895954,306.68,30.11%,協禧,7.94%,3071.TWO,🚀 利潤擴張,343.32,0.15,-29.63,25.95,2026-03
1143.3,✅ 穩健價值,2025,2040.0,41.98,23.29,14.590187383779146,293.43999999999994,N/A,群聯,N/A,8299.TWO,🚀 利潤擴張,849.86,68.8,3.78,2097.2999999999997,2026-03
546.67,⚪ 數據不足,2025,34.0,-0.43,-14.91,0.0,276.36999999999995,N/A,慧智,N/A,6615.TWO,🔄 轉虧為盈,270.3,0.67,-150.59,-2.2499999999999996,2026-03
640.0,⚪ 數據不足,2025,50.0,0.18,0.1,0.0,268.97,N/A,康舒,N/A,6282.TW,🚀 利潤擴張,371.03,0.27,550.0,-9.150000000000002,2026-03
445.45,⚪ 數據不足,2025,23.0499992371,-0.76,5.03,0.0,258.58,N/A,三貝德,N/A,8489.TWO,🔄 轉虧為盈,186.87,0.38,55.83,-20.1,2026-03
701.79,✅ 穩健價值,2025,104.0,1.77,0.89,12.967581047381547,228.27999999999997,18.73%,事欣科,8.07%,4916.TW,🚀 利潤擴張,473.51,4.49,8050.0,120.3,2026-03
518.75,💎 強力關注,2025,16.1000003815,0.88,-3.15,5.476190605952381,226.35000000000002,N/A,銘旺實,N/A,4432.TWO,🚀 利潤擴張,292.4,2.97,-66.67,44.1,2026-03
350.0,💎 強力關注,2025,9.6999998093,0.88,-61.59,9.897958989081632,217.69,35.38%,中美實,-88.29%,4702.TWO,🚀 利潤擴張,132.31,0.45,51.72,14.700000000000001,2026-03
512.9,💎 強力關注,2025,147.0,13.25,5.83,4.46672743846855,215.22999999999996,N/A,東哥遊艇,N/A,8478.TW,🚀 利潤擴張,297.67,3.8,33.97,493.65000000000003,2026-03
925.0,💎 強力關注,2025,36.9500007629,1.65,3.39,7.230919914461839,211.49,13.61%,大亞,8.70%,1609.TW,🚀 利潤擴張,713.51,0.66,-21.15,76.65,2026-03
