====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260810 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.94      | ❄️ 空倉          |      +13.47% |     16 |    50.77% | [P:0.47] RSI:55.03|MACD:-0.13|KD_Diff:12.70|BIAS_20:4.60
00401A.TW    | 主動摩根台灣鑫收   | 13.46      | ❄️ 空倉          |       +8.67% |     10 |    56.25% | [P:0.41] RSI:57.14|MACD:-0.01|KD_Diff:11.73|BIAS_20:4.91
00402A.TW    | 主動安聯美國科技   | 9.88       | ❄️ 空倉          |       +0.30% |      2 |    46.15% | [P:0.40] [⚠️降級預設] RSI:55.97|MACD:-0.01|KD_Diff:12.65|D_Value:69.50
00403A.TW    | 主動統一升級50   | 9.90       | ❄️ 空倉          |       +1.95% |      4 |    55.77% | [P:0.43] [⚠️降級預設] RSI:52.09|MACD:-0.18|KD_Diff:14.12|D_Value:69.56
00404A.TW    | 主動聯博動能50   | 9.58       | ❄️ 空倉          |       -6.23% |      4 |    50.00% | [P:0.43] [⚠️降級預設] RSI:53.16|MACD:-0.11|KD_Diff:12.15|D_Value:71.83
00405A.TW    | 主動富邦台灣龍耀   | 8.13       | ❄️ 空倉          |      -12.61% |      2 |    42.31% | [P:0.44] [⚠️降級預設] RSI:51.65|MACD:-0.22|KD_Diff:13.40|D_Value:68.52
00406A.TW    | 主動中信台灣收益   | 9.37       | ❄️ 空倉          |       -5.17% |      2 |    52.38% | [P:0.42] [⚠️降級預設] RSI:52.72|MACD:-0.15|KD_Diff:14.69|D_Value:68.72
00407A.TW    | 主動凱基台灣     | 9.49       | ❄️ 空倉          |       +0.43% |      2 |    46.15% | [P:0.37] [⚠️降級預設] RSI:57.59|MACD:-0.06|KD_Diff:12.41|D_Value:74.02
0050.TW      | 元大台灣50     | 104.25     | 🚀 買進           |      +42.62% |     38 |    48.76% | [P:0.56] Vol_Ratio:0.82|BIAS_20:2.61|MA_Slope:-0.09|BB_Upper:4.26
0052.TW      | 富邦科技       | 60.95      | 🟢 持股           |      +19.45% |     21 |    50.99% | [P:0.58] MACD:-0.25|D_Value:72.34|Vol_Ratio:0.74|BB_Upper:4.66
0053.TW      | 元大電子       | 237.00     | ❄️ 空倉          |      +37.00% |     22 |    48.76% | [P:0.42] [⚠️降級預設] RSI:54.03|MACD:-0.87|KD_Diff:12.09|D_Value:73.45
0056.TW      | 元大高股息      | 52.45      | 💥 賣出           |       +6.27% |     29 |    51.32% | [P:0.45] KD_Diff:12.96|Vol_Ratio:1.71|BB_Upper:2.15|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.98      | ❄️ 空倉          |      +12.02% |     12 |    51.77% | [P:0.46] [⚠️降級預設] RSI:51.92|MACD:-0.03|KD_Diff:10.55|D_Value:64.01
006201.TWO   | 元大富櫃50     | 43.85      | ❄️ 空倉          |      +71.26% |     46 |    50.10% | [P:0.43] Vol_Ratio:0.55|MA_Slope:-0.25|BB_Upper:7.67|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 188.10     | ❄️ 空倉          |      +21.60% |     48 |    51.08% | [P:0.45] KD_Diff:9.73|D_Value:72.17|Vol_Ratio:1.32|MA_Bull:0.00
006205.TW    | 富邦上証       | 41.90      | ❄️ 空倉          |       +4.15% |     14 |    51.90% | [P:0.39] [⚠️降級預設] RSI:60.68|MACD:0.12|KD_Diff:10.20|D_Value:63.14
006208.TW    | 富邦台50      | 238.70     | 🟢 持股           |      +47.86% |     21 |    50.17% | [P:0.60] MACD:-1.18|D_Value:73.82|Vol_Ratio:0.98|BIAS_20:2.67
00631L.TW    | 元大台灣50正2   | 34.70      | 🟢 持股           |      +10.59% |     19 |    50.12% | [P:0.60] KD_Diff:13.50|BIAS_20:3.90|MA_Slope:-0.32|BB_Upper:9.75
00632R.TW    | 元大台灣50反1   | 10.17      | ❄️ 空倉          |       +3.77% |     12 |    57.06% | [P:0.33] MACD:-0.00|D_Value:24.93|BIAS_20:-3.85|MA_Slope:-0.03
00633L.TW    | 富邦上証正2     | 50.00      | 🟢 持股           |       -0.75% |     25 |    49.31% | [P:0.52] MACD:-0.24|KD_Diff:9.18|MA_Slope:0.16|BB_Upper:4.32
00634R.TW    | 富邦上証反1     | 3.06       | ❄️ 空倉          |      -10.97% |     22 |    52.66% | [P:0.41] KD_Diff:-11.80|D_Value:33.64|Vol_Ratio:0.46|MA_Slope:-0.16
00635U.TW    | 期元大S&P黃金   | 45.03      | 🟢 持股           |      +34.24% |     31 |    51.75% | [P:0.57] MACD:0.21|D_Value:68.19|Vol_Ratio:1.37|MA_Bull:10.00
00637L.TW    | 元大滬深300正2  | 20.71      | 🚀 買進           |       +0.77% |     22 |    49.93% | [P:0.55] MACD:-0.09|KD_Diff:8.34|BIAS_20:0.39|BB_Upper:4.97
00638R.TW    | 元大滬深300反1  | 6.60       | ❄️ 空倉          |       -3.54% |      8 |    53.07% | [P:0.41] RSI:48.15|MACD:0.00|KD_Diff:-11.65|D_Value:33.11
00639.TW     | 富邦深100     | 16.97      | ❄️ 空倉          |       +6.46% |     14 |    50.06% | [P:0.50] [⚠️降級預設] RSI:44.41|MACD:-0.22|KD_Diff:11.66|D_Value:61.90
00640L.TW    | 富邦日本正2     | 108.85     | 🟢 持股           |       +1.46% |     35 |    50.15% | [P:0.62] RSI:58.61|D_Value:72.28|Vol_Ratio:0.61|BIAS_20:4.46
00641R.TW    | 富邦日本反1     | 3.69       | ❄️ 空倉          |       +2.21% |     32 |    56.24% | [P:0.41] RSI:41.51|KD_Diff:-11.71|BIAS_20:-2.26|MA_Slope:-0.16
00642U.TW    | 期元大S&P石油   | 25.86      | ❄️ 空倉          |     +126.47% |     48 |    52.87% | [P:0.37] RSI:45.68|D_Value:23.15|Vol_Ratio:0.54|MA_Slope:0.27
00643.TW     | 群益深証中小     | 19.07      | ❄️ 空倉          |       +4.81% |      8 |    49.50% | [P:0.45] [⚠️降級預設] RSI:51.97|MACD:-0.23|KD_Diff:14.15|D_Value:61.51
00645.TW     | 富邦日本       | 58.00      | ❄️ 空倉          |       +7.01% |     16 |    49.69% | [P:0.35] [⚠️降級預設] RSI:58.68|MACD:0.24|KD_Diff:13.51|D_Value:72.42
00646.TW     | 元大S&P500   | 78.70      | ❄️ 空倉          |      +17.76% |     40 |    49.88% | [P:0.47] KD_Diff:7.58|D_Value:78.47|BIAS_20:2.69|MA_Bull:10.00
00648R.TW    | 元大S&P500反1 | 3.89       | ❄️ 空倉          |       -2.30% |     14 |    57.78% | [P:0.37] MACD:-0.03|D_Value:25.42|BIAS_20:-3.08|MA_Slope:-0.15
