====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260811 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 14.00      | 🚀 買進           |      +13.47% |     16 |    50.00% | [P:0.52] RSI:51.28|MACD:-0.08|KD_Diff:10.94|BIAS_20:4.94
00401A.TW    | 主動摩根台灣鑫收   | 13.45      | ❄️ 空倉          |       +8.67% |     10 |    56.92% | [P:0.37] RSI:53.23|MACD:0.03|KD_Diff:9.75|BIAS_20:4.67
00402A.TW    | 主動安聯美國科技   | 9.81       | ❄️ 空倉          |       +0.30% |      2 |    48.15% | [P:0.47] [⚠️降級預設] RSI:50.65|MACD:0.01|KD_Diff:9.62|D_Value:74.31
00403A.TW    | 主動統一升級50   | 9.94       | ❄️ 空倉          |       +1.95% |      4 |    54.72% | [P:0.47] [⚠️降級預設] RSI:49.26|MACD:-0.14|KD_Diff:12.38|D_Value:75.75
00404A.TW    | 主動聯博動能50   | 9.59       | ❄️ 空倉          |       -6.23% |      4 |    48.15% | [P:0.47] [⚠️降級預設] RSI:49.80|MACD:-0.08|KD_Diff:10.97|D_Value:77.31
00405A.TW    | 主動富邦台灣龍耀   | 8.15       | ❄️ 空倉          |      -12.61% |      2 |    40.74% | [P:0.48] [⚠️降級預設] RSI:47.95|MACD:-0.18|KD_Diff:11.22|D_Value:74.12
00406A.TW    | 主動中信台灣收益   | 9.40       | ❄️ 空倉          |       -5.17% |      2 |    50.00% | [P:0.47] [⚠️降級預設] RSI:49.12|MACD:-0.11|KD_Diff:12.83|D_Value:75.13
00407A.TW    | 主動凱基台灣     | 9.55       | ❄️ 空倉          |       +0.43% |      2 |    42.86% | [P:0.42] [⚠️降級預設] RSI:54.37|MACD:-0.01|KD_Diff:10.85|D_Value:79.44
0050.TW      | 元大台灣50     | 104.60     | 🟢 持股           |      +42.62% |     39 |    48.78% | [P:0.58] Vol_Ratio:0.77|BIAS_20:2.94|MA_Slope:0.01|BB_Upper:3.93
0052.TW      | 富邦科技       | 61.05      | 🟢 持股           |      +19.45% |     21 |    51.01% | [P:0.58] MACD:-0.11|D_Value:77.74|Vol_Ratio:0.58|BB_Upper:4.46
0053.TW      | 元大電子       | 237.45     | ❄️ 空倉          |      +37.00% |     22 |    48.75% | [P:0.44] [⚠️降級預設] RSI:52.47|MACD:-0.18|KD_Diff:10.73|D_Value:78.82
0056.TW      | 元大高股息      | 52.30      | 🚀 買進           |      +14.48% |     30 |    51.34% | [P:0.54] KD_Diff:11.43|Vol_Ratio:0.68|BB_Upper:2.62|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 25.00      | ❄️ 空倉          |      +12.02% |     12 |    51.76% | [P:0.50] [⚠️降級預設] RSI:46.95|MACD:-0.01|KD_Diff:7.81|D_Value:67.92
006201.TWO   | 元大富櫃50     | 43.80      | ❄️ 空倉          |      +71.26% |     46 |    50.12% | [P:0.48] Vol_Ratio:0.88|MA_Slope:-0.09|BB_Upper:7.55|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 189.65     | ❄️ 空倉          |      +21.60% |     48 |    51.06% | [P:0.42] KD_Diff:8.84|D_Value:76.59|Vol_Ratio:1.14|MA_Bull:0.00
006205.TW    | 富邦上証       | 41.84      | ❄️ 空倉          |       +4.15% |     14 |    51.92% | [P:0.47] [⚠️降級預設] RSI:53.01|MACD:0.16|KD_Diff:7.40|D_Value:66.84
006208.TW    | 富邦台50      | 238.90     | 🟢 持股           |      +47.86% |     21 |    50.18% | [P:0.59] MACD:-0.67|D_Value:78.86|Vol_Ratio:0.69|BIAS_20:2.74
00631L.TW    | 元大台灣50正2   | 34.87      | 🟢 持股           |      +10.59% |     19 |    50.14% | [P:0.63] KD_Diff:12.32|BIAS_20:4.57|MA_Slope:-0.15|BB_Upper:8.81
00632R.TW    | 元大台灣50反1   | 10.16      | ❄️ 空倉          |       +3.77% |     12 |    57.07% | [P:0.35] MACD:-0.03|D_Value:19.73|BIAS_20:-3.86|MA_Slope:-0.09
00633L.TW    | 富邦上証正2     | 50.35      | 🟢 持股           |       -0.75% |     25 |    49.33% | [P:0.53] MACD:-0.16|KD_Diff:8.21|MA_Slope:0.09|BB_Upper:3.73
00634R.TW    | 富邦上証反1     | 3.07       | ❄️ 空倉          |      -10.97% |     22 |    52.64% | [P:0.33] KD_Diff:-7.96|D_Value:29.66|Vol_Ratio:2.63|MA_Slope:-0.10
00635U.TW    | 期元大S&P黃金   | 45.64      | 🟢 持股           |      +34.24% |     31 |    51.77% | [P:0.57] MACD:0.39|D_Value:73.89|Vol_Ratio:1.37|MA_Bull:10.00
00637L.TW    | 元大滬深300正2  | 20.94      | 🟢 持股           |       +0.77% |     23 |    49.94% | [P:0.52] MACD:-0.06|KD_Diff:8.52|BIAS_20:1.42|BB_Upper:3.94
00638R.TW    | 元大滬深300反1  | 6.57       | ❄️ 空倉          |       -3.54% |      8 |    53.08% | [P:0.41] RSI:50.65|MACD:-0.00|KD_Diff:-11.79|D_Value:27.21
00639.TW     | 富邦深100     | 17.25      | ❄️ 空倉          |       +6.46% |     14 |    50.04% | [P:0.48] [⚠️降級預設] RSI:47.36|MACD:-0.19|KD_Diff:12.56|D_Value:68.18
00640L.TW    | 富邦日本正2     | 109.90     | 🟢 持股           |       +1.46% |     35 |    50.17% | [P:0.62] RSI:57.04|D_Value:78.01|Vol_Ratio:0.69|BIAS_20:5.27
00641R.TW    | 富邦日本反1     | 3.69       | ❄️ 空倉          |       +2.21% |     32 |    56.26% | [P:0.37] RSI:42.31|KD_Diff:-10.97|BIAS_20:-2.19|MA_Slope:-0.08
00642U.TW    | 期元大S&P石油   | 27.19      | ❄️ 空倉          |     +126.47% |     48 |    52.85% | [P:0.40] RSI:46.78|D_Value:30.31|Vol_Ratio:0.84|MA_Slope:0.23
