gm,symbol,prev_year,prev_rev_yoy,rev_yoy,prev_eps,est_price,eps_yoy,pe,om,date,advice,price,prev_eps_yoy,status,eps,name,expansion
N/A,4973.TWO,2025,-3.19,869.35,2.11,130.95000000000002,24500.0,18.728522336769757,N/A,2026-03,⚪ 中性觀察,163.5,16.48,🚀 利潤擴張,7.46,廣穎,23630.65
56.66%,3669.TW,2025,-3.05,98.33,1.13,25.199999999999996,6900.0,23.333333787440477,7.42%,2026-03,⚠️ 追價風險,39.2000007629,-44.61,🏰 高護城河,0.7,圓展,6801.67
N/A,6209.TW,2025,50.65,1231.2,0.92,34.8,7900.0,30.43103382504311,N/A,2026-03,⚠️ 追價風險,70.5999984741,222.67,🚀 利潤擴張,0.81,今國光,6668.8
62.07%,3054.TW,2025,26.61,2528.26,1.96,60.45,7150.0,12.059552971240693,-188.65%,2026-03,✅ 穩健價值,48.5999984741,590.0,🏰 高護城河,1.41,立萬利,4621.74
N/A,1810.TW,2025,-6.18,273.9,0.05,55.95,4133.33,6.715817489839142,N/A,2026-03,💎 強力關注,25.0499992371,-73.68,🚀 利潤擴張,3.64,和成,3859.43
2.38%,1301.TW,2025,-12.31,1606.45,-1.58,-48.45,5000.0,0.0,-5.76%,2026-03,⚪ 數據不足,57.5,-731.58,🔄 轉虧為盈,0.51,台塑,3393.55
27.32%,4924.TWO,2025,3.99,474.41,0.38,12.3,3400.0,12.17073114902439,0.43%,2026-03,✅ 穩健價值,9.9799995422,660.0,🚀 利潤擴張,0.35,欣厚-KY,2925.59
N/A,8042.TWO,2025,9.79,564.36,0.89,48.599999999999994,3200.0,35.95679012345679,N/A,2026-03,⚠️ 追價風險,116.5,48.33,🚀 利潤擴張,2.17,金山電,2635.64
82.96%,2855.TW,2025,3.92,405.72,3.0,96.44999999999999,2960.0,7.363918891772939,34.40%,2026-03,💎 強力關注,47.3499984741,0.0,🏰 高護城河,1.43,統一證,2554.2799999999997
31.80%,3105.TWO,2025,-4.69,667.05,4.0,88.05,3050.0,65.92844974446338,13.87%,2026-03,⚠️ 追價風險,387.0,120.99,🚀 利潤擴張,1.26,穩懋,2382.95
27.15%,1419.TW,2025,12.31,395.99,4.11,274.05000000000007,2733.33,3.552271566825396,10.89%,2026-03,💎 強力關注,64.9000015259,41.38,🚀 利潤擴張,9.37,新紡,2337.34
15.86%,2486.TW,2025,10.09,726.37,0.22,9.150000000000002,2900.0,379.50819672131144,1.35%,2026-03,⚠️ 追價風險,231.5,175.0,🚀 利潤擴張,0.29,一詮,2173.63
24.41%,2380.TW,2025,13.61,205.99,0.72,34.800000000000004,1900.0,8.318965188405171,0.24%,2026-03,💎 強力關注,19.2999992371,110.31,🚀 利潤擴張,0.4,虹光,1694.01
11.81%,3016.TW,2025,-5.25,1769.87,0.07,2.849999999999999,3400.0,547.3684210526318,4.89%,2026-03,⚠️ 追價風險,104.0,-92.39,🚀 利潤擴張,0.35,嘉晶,1630.13
9.25%,1303.TW,2025,0.12,1383.79,0.57,27.900000000000006,2900.0,101.61290322580643,2.06%,2026-03,⚠️ 追價風險,189.0,35.71,🚀 利潤擴張,1.8,南亞,1516.21
8.40%,2399.TW,2025,-14.09,1031.36,0.15,18.599999999999998,2366.67,35.80645284346775,-12.67%,2026-03,⚠️ 追價風險,44.4000015259,275.0,🚀 利潤擴張,1.48,映泰,1335.3100000000002
14.61%,4711.TWO,2025,-4.5,974.97,0.15,7.65,2200.0,32.450978896274506,2.47%,2026-03,⚠️ 追價風險,16.5499992371,50.0,🚀 利潤擴張,0.23,永純,1225.03
41.46%,1718.TW,2025,-0.24,142.36,0.09,6.15,1300.0,26.829268292682926,18.72%,2026-03,⚠️ 追價風險,11.0,250.0,🚀 利潤擴張,0.17,中纖,1157.6399999999999
69.49%,3219.TWO,2025,49.68,120.91,1.52,67.5,1275.0,16.177778455955558,-15.39%,2026-03,⚪ 中性觀察,72.8000030518,406.67,🏰 高護城河,0.48,倚強科,1154.09
N/A,5291.TWO,2025,9.81,536.39,0.31,11.1,1600.0,75.54054260256757,N/A,2026-03,⚠️ 追價風險,55.9000015259,-17.95,🚀 利潤擴張,0.17,邑昇,1063.6100000000001
68.55%,3025.TW,2025,4.27,117.67,3.45,78.44999999999999,1100.0,10.89866156787763,43.45%,2026-03,💎 強力關注,57.0,-6.25,🏰 高護城河,0.6,星通,982.33
N/A,4967.TW,2025,2.46,1792.89,13.06,669.75,2600.0,6.282194848824188,N/A,2026-03,💎 強力關注,280.5,110.31,🚀 利潤擴張,27.0,十銓,807.1099999999999
24.10%,2359.TW,2025,21.27,280.55,1.23,17.699999999999996,1014.29,133.05084745762716,2.82%,2026-03,⚠️ 追價風險,157.0,46.43,🚀 利潤擴張,0.78,所羅門,733.74
-78.82%,1762.TW,2025,-40.26,496.76,-4.39,-85.05,1211.11,0.0,-143.69%,2026-03,⚪ 數據不足,35.0999984741,-566.18,🔄 轉虧為盈,1.64,中化生,714.3499999999999
32.33%,3006.TW,2025,8.08,2018.02,0.87,36.29999999999999,2666.67,114.66942148760333,20.25%,2026-03,⚠️ 追價風險,277.5,-51.41,🚀 利潤擴張,7.22,晶豪科,648.6500000000001
17.62%,2464.TW,2025,-10.95,510.23,-0.84,-26.55,1100.0,0.0,-3.37%,2026-03,⚪ 數據不足,196.0,-266.0,🔄 轉虧為盈,0.24,盟立,589.77
61.62%,2451.TW,2025,69.84,1484.6,12.98,586.95,2067.82,7.71786353181702,55.59%,2026-03,💎 強力關注,302.0,140.33,🏰 高護城河,18.93,創見,583.2200000000003
-40.24%,3521.TWO,2025,58.31,224.53,-0.07,29.400000000000006,806.67,6.454081438010203,-147.39%,2026-03,💎 強力關注,12.6499996185,89.09,🔄 轉虧為盈,2.12,台鋼建設,582.14
20.96%,2101.TW,2025,-44.61,1184.49,1.01,30.6,1763.64,16.78921568627451,4.39%,2026-03,⚪ 中性觀察,34.25,-68.84,🚀 利潤擴張,1.86,南港,579.1500000000001
14.87%,4510.TWO,2025,-2.21,543.13,-1.02,-36.6,1100.0,0.0,-1.97%,2026-03,⚪ 數據不足,45.7000007629,-197.14,🔄 轉虧為盈,0.2,高鋒,556.87
28.61%,3285.TWO,2025,-19.66,688.27,0.7,15.75,1200.0,36.33333478657143,8.69%,2026-03,⚠️ 追價風險,38.1500015259,-40.68,🚀 利潤擴張,0.26,微端,511.73
N/A,6902.TW,2025,20.92,43.25,1.58,52.05,530.77,37.46397694524496,N/A,2026-03,⚠️ 追價風險,130.0,222.58,🚀 利潤擴張,1.64,GOGOLOOK,487.52
N/A,6241.TWO,2025,5.06,335.75,-0.16,-7.499999999999999,820.0,0.0,N/A,2026-03,⚪ 數據不足,14.3000001907,74.6,🔄 轉虧為盈,0.46,鑫永洋,484.25
N/A,8440.TWO,2025,-6.1,727.58,0.31,8.850000000000001,1200.0,33.644068443220334,N/A,2026-03,⚠️ 追價風險,19.8500003815,-42.59,🚀 利潤擴張,0.22,綠電,472.41999999999996
30.54%,4590.TW,2025,-41.11,-25.82,2.72,0.0,418.92,0.0,-0.34%,2026-03,⚪ 數據不足,90.5999984741,-1.45,🧐 疑業外收益,1.21,富田-創,444.74
36.04%,2302.TW,2025,11.66,187.7,0.49,17.400000000000002,600.0,38.96551789905172,11.05%,2026-03,⚠️ 追價風險,45.2000007629,-34.67,🚀 利潤擴張,0.25,麗正,412.3
41.86%,2344.TW,2025,9.55,646.87,0.88,40.8,1037.5,65.07352941176471,15.37%,2026-03,⚠️ 追價風險,177.0,576.92,🚀 利潤擴張,2.25,華邦電,390.63
N/A,6908.TW,2025,28.36,6.45,1.44,0.0,387.5,0.0,N/A,2026-03,⚪ 數據不足,33.25,5.88,🚀 利潤擴張,0.41,宏�砦C戲-創,381.05
N/A,6716.TWO,2025,-15.3,359.78,2.19,81.60000000000001,715.79,21.59926470588235,N/A,2026-03,⚪ 中性觀察,117.5,-49.65,🚀 利潤擴張,1.59,應廣,356.01
N/A,5210.TWO,2025,9.95,37.41,0.73,19.499999999999996,380.0,21.80769260115385,N/A,2026-03,⚪ 中性觀察,28.3500003815,207.35,🚀 利潤擴張,0.24,寶碩,342.59000000000003
N/A,5228.TWO,2025,25.85,750.53,-0.2,-8.4,1090.0,0.0,N/A,2026-03,⚪ 數據不足,43.2999992371,90.52,🔄 轉虧為盈,0.99,鈺鎧,339.47
N/A,2754.TWO,2025,5.96,179.43,2.35,92.55,517.65,11.183144246353322,N/A,2026-03,💎 強力關注,69.0,1.73,🚀 利潤擴張,1.42,亞洲藏壽司,338.21999999999997
42.07%,4556.TWO,2025,-3.75,237.41,0.92,26.4,550.0,51.64772813971591,14.30%,2026-03,⚠️ 追價風險,90.9000015259,170.59,🚀 利潤擴張,0.13,旭然,312.59000000000003
30.11%,3071.TWO,2025,-5.82,343.32,0.57,25.95,650.0,14.566474429421966,7.94%,2026-03,✅ 穩健價值,25.2000007629,-29.63,🚀 利潤擴張,0.15,協禧,306.68
N/A,8299.TWO,2025,23.29,849.86,41.98,2097.2999999999997,1143.3,16.306680017164926,N/A,2026-03,⚪ 中性觀察,2280.0,3.78,🚀 利潤擴張,68.8,群聯,293.43999999999994
N/A,6615.TWO,2025,-14.91,270.3,-0.43,-2.2499999999999996,546.67,0.0,N/A,2026-03,⚪ 數據不足,34.0,-150.59,🔄 轉虧為盈,0.67,慧智,276.36999999999995
N/A,6282.TW,2025,0.1,371.03,0.18,-9.150000000000002,640.0,0.0,N/A,2026-03,⚪ 數據不足,48.1500015259,550.0,🚀 利潤擴張,0.27,康舒,268.97
N/A,8489.TWO,2025,5.03,186.87,-0.76,-20.1,445.45,0.0,N/A,2026-03,⚪ 數據不足,22.75,55.83,🔄 轉虧為盈,0.38,三貝德,258.58
18.73%,4916.TW,2025,0.89,473.51,1.77,120.3,701.79,12.655860349127183,8.07%,2026-03,✅ 穩健價值,101.5,8050.0,🚀 利潤擴張,4.49,事欣科,228.27999999999997
N/A,4432.TWO,2025,-3.15,292.4,0.88,44.1,518.75,5.5782311627551024,N/A,2026-03,💎 強力關注,16.3999996185,-66.67,🚀 利潤擴張,2.97,銘旺實,226.35000000000002
35.38%,4702.TWO,2025,-61.59,132.31,0.88,14.700000000000001,350.0,9.836735044183673,-88.29%,2026-03,💎 強力關注,9.6400003433,51.72,🚀 利潤擴張,0.45,中美實,217.69
N/A,8478.TW,2025,5.83,297.67,13.25,493.65000000000003,512.9,4.436341537526587,N/A,2026-03,💎 強力關注,146.0,33.97,🚀 利潤擴張,3.8,東哥遊艇,215.22999999999996
13.61%,1609.TW,2025,3.39,713.51,1.65,76.65,925.0,7.387475538160469,8.70%,2026-03,💎 強力關注,37.75,-21.15,🚀 利潤擴張,0.66,大亞,211.49
19.34%,3717.TW,2025,3.55,26.54,0.08,0.0,213.33,0.0,7.12%,2026-03,⚪ 數據不足,22.7000007629,-80.0,🚀 利潤擴張,0.47,聯嘉投控,186.79000000000002
N/A,8084.TWO,2025,-10.9,80.73,-1.82,-43.199999999999996,266.67,0.0,N/A,2026-03,⚪ 數據不足,52.0,-280.2,🔄 轉虧為盈,0.33,巨虹,185.94
30.40%,3290.TWO,2025,18.23,542.69,2.02,94.05,728.13,9.122807139218502,14.85%,2026-03,💎 強力關注,57.2000007629,25.64,🚀 利潤擴張,2.65,東浦,185.43999999999994
N/A,5460.TWO,2025,-15.68,385.95,-0.17,-7.95,550.0,0.0,N/A,2026-03,⚪ 數據不足,16.1499996185,-177.27,🔄 轉虧為盈,0.09,同協,164.05
N/A,4582.TWO,2025,32.98,116.02,1.54,0.0,276.67,0.0,N/A,2026-03,⚪ 數據不足,0.0,1640.0,🚀 利潤擴張,0.53,未知,160.65000000000003
N/A,4582.TW,2025,32.98,116.02,1.54,0.0,276.67,0.0,N/A,2026-03,⚪ 數據不足,25.25,1640.0,🚀 利潤擴張,0.53,聚恆-創,160.65000000000003
10.78%,2426.TW,2025,-2.43,542.01,-0.25,-6.6,700.0,0.0,-2.91%,2026-03,⚪ 數據不足,68.5999984741,-219.05,🔄 轉虧為盈,0.06,鼎元,157.99
56.31%,2417.TW,2025,2.69,108.24,-0.19,-25.049999999999997,264.29,0.0,8.42%,2026-03,⚪ 數據不足,45.4500007629,54.55,🔄 轉虧為盈,0.28,圓剛,156.05
N/A,9934.TW,2025,-4.25,214.33,-0.29,1.050000000000001,366.67,162.85713740714272,N/A,2026-03,⚠️ 追價風險,11.3999996185,-125.22,🔄 轉虧為盈,0.28,成霖,152.34
N/A,2732.TWO,2025,7.13,180.76,1.09,32.250000000000014,323.08,29.3953491920465,N/A,2026-03,⚠️ 追價風險,63.2000007629,-77.02,🚀 利潤擴張,1.1,六角,142.32
N/A,6569.TWO,2025,5.8,307.94,2.88,96.15,442.11,14.61778423528861,N/A,2026-03,✅ 穩健價值,93.6999969482,-38.68,🚀 利潤擴張,1.03,醫揚,134.17000000000002
N/A,6166.TW,2025,17.09,273.28,2.35,85.05,406.45,24.16225749559083,N/A,2026-03,⚠️ 追價風險,137.0,921.74,🚀 利潤擴張,1.57,凌華,133.17000000000002
54.76%,3081.TWO,2025,82.29,515.18,4.66,183.0,645.65,218.4426229508197,41.27%,2026-03,⚠️ 追價風險,2665.0,884.75,🏰 高護城河,3.44,聯亞,130.47000000000003
N/A,3356.TW,2025,-14.96,113.17,6.21,172.05,228.49,5.4838711007759375,N/A,2026-03,💎 強力關注,62.9000015259,-20.59,🚀 利潤擴張,2.21,奇偶,115.32000000000001
N/A,6735.TWO,2025,-4.81,268.59,0.33,-7.200000000000001,383.33,0.0,N/A,2026-03,⚪ 數據不足,65.6999969482,-84.51,🚀 利潤擴張,0.29,美達科技,114.74000000000001
102.69%,2601.TW,2025,-7.78,-21.56,-1.63,-33.6,87.5,0.0,-12.62%,2026-03,⚪ 數據不足,6.1799998283,-365.71,🏰 高護城河,-0.02,益航,109.06
N/A,7730.TW,2025,-5.33,161.56,1.73,50.699999999999996,270.0,51.77514792899409,N/A,2026-03,⚠️ 追價風險,175.0,-45.51,🚀 利潤擴張,0.37,暉盛-創,108.44
N/A,2911.TW,2025,-16.81,67.27,2.15,-40.05,163.46,0.0,N/A,2026-03,⚪ 數據不足,7.0999999046,152.83,🚀 利潤擴張,0.66,麗嬰房,96.19000000000001
87.57%,3083.TWO,2025,-7.4,57.36,0.43,13.05,150.0,27.701149863793102,12.73%,2026-03,⚠️ 追價風險,24.1000003815,-46.91,🏰 高護城河,0.3,網龍,92.64
N/A,6931.TW,2025,14.16,990.52,1.39,44.550000000000004,1080.0,14.663299406430976,N/A,2026-03,✅ 穩健價值,43.5499992371,104.41,🚀 利潤擴張,0.49,青松健康,89.48000000000002
16.92%,1599.TWO,2025,-18.58,486.21,-0.84,-24.299999999999994,575.0,0.0,-21.33%,2026-03,⚪ 數據不足,23.75,-169.49,🔄 轉虧為盈,0.28,宏佳騰,88.79000000000002
28.91%,4147.TWO,2025,0.19,81.97,-0.61,-18.3,166.67,0.0,-58.34%,2026-03,⚪ 數據不足,65.1999969482,17.57,🔄 轉虧為盈,0.06,中裕,84.69999999999999
