股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
BCM.VN,未知,🔥 訊號出現,45500.0,72.41,⚪ 一般監控,0.00%,40.00%,1.75%,-4.12%,5,43624.14,0.4,0.0175
GMD.VN,未知,🔥 訊號出現,78500.0,74.31,🔴 空頭陷阱,46.67%,46.67%,-1.11%,-2.69%,15,76392.15,0.4667,-0.0111
VHC.VN,未知,🔥 訊號出現,54100.0,51.04,🔴 空頭陷阱,33.33%,33.33%,-0.68%,-3.11%,9,52419.71,0.3333,-0.0068
BID.VN,未知,無,38850.0,68.39,🟢 黃金標的,54.55%,63.64%,5.91%,-2.26%,11,0.0,0.6364,0.0591
LPB.VN,未知,無,53800.0,56.6,⚪ 一般監控,50.00%,62.50%,2.07%,-1.94%,8,0.0,0.625,0.0207
PLX.VN,未知,無,35600.0,63.19,⚪ 一般監控,72.73%,54.55%,8.74%,-4.52%,11,0.0,0.5455,0.0874
FRT.VN,未知,無,146900.0,91.16,⚪ 一般監控,44.44%,44.44%,0.65%,-2.69%,9,0.0,0.4444,0.0065
VIC.VN,未知,無,207900.0,44.47,⚪ 一般監控,57.14%,42.86%,2.38%,-4.65%,7,0.0,0.4286,0.0238
VNM.VN,未知,無,61600.0,62.39,⚪ 一般監控,28.57%,42.86%,0.43%,-3.59%,7,0.0,0.4286,0.0043
VCB.VN,未知,無,59500.0,75.0,⚪ 一般監控,66.67%,33.33%,2.80%,-1.85%,12,0.0,0.3333,0.028
VID.VN,未知,無,4410.0,41.55,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
FUEVFVND.VN,未知,無,33650.0,76.09,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
VPB.VN,未知,無,25350.0,54.17,🔴 空頭陷阱,0.00%,50.00%,-2.67%,-4.17%,2,0.0,0.5,-0.0267
SSI.VN,未知,無,25000.0,68.97,🔴 空頭陷阱,25.00%,50.00%,-2.79%,-5.32%,4,0.0,0.5,-0.0279
HDB.VN,未知,無,26700.0,58.95,🔴 空頭陷阱,42.86%,42.86%,-1.21%,-1.73%,7,0.0,0.4286,-0.0121
FPT.VN,未知,無,69200.0,70.06,🔴 空頭陷阱,20.00%,40.00%,-0.16%,-3.47%,5,0.0,0.4,-0.0016
E1VFVN30.VN,未知,無,34540.0,71.04,🔴 空頭陷阱,66.67%,33.33%,-1.42%,-1.34%,3,0.0,0.3333,-0.0142
HPG.VN,未知,無,21700.0,60.47,🔴 空頭陷阱,33.33%,33.33%,-0.29%,-1.88%,3,0.0,0.3333,-0.0029
HVN.VN,未知,無,23850.0,71.54,🔴 空頭陷阱,75.00%,25.00%,-3.72%,-3.82%,4,0.0,0.25,-0.0372
VHM.VN,未知,無,71800.0,66.43,🔴 空頭陷阱,20.00%,20.00%,-1.41%,-5.24%,5,0.0,0.2,-0.0141
GEE.VN,未知,無,71500.0,56.92,🔴 空頭陷阱,50.00%,16.67%,-5.81%,-7.55%,12,0.0,0.1667,-0.0581
MBB.VN,未知,無,20150.0,62.1,🔴 空頭陷阱,0.00%,0.00%,-4.20%,-4.00%,1,0.0,0.0,-0.042
MWG.VN,未知,無,73600.0,66.69,🔴 空頭陷阱,33.33%,0.00%,-6.17%,-3.39%,3,0.0,0.0,-0.0617
VJC.VN,未知,無,124900.0,42.14,🔴 空頭陷阱,50.00%,0.00%,-3.02%,-4.94%,2,0.0,0.0,-0.0302
