prev_rev_yoy,eps_yoy,rev_yoy,gm,prev_eps_yoy,pe,expansion,prev_eps,prev_year,status,price,name,advice,symbol,date,est_price,eps,om
-3.19,24500.0,869.35,N/A,16.48,17.58304696449026,23630.65,2.11,2025,🚀 利潤擴張,153.5,廣穎,⚪ 中性觀察,4973.TWO,2026-03,130.95000000000002,7.46,N/A
-3.05,6900.0,98.33,56.66%,-44.61,22.708334241607147,6801.67,1.13,2025,🏰 高護城河,38.1500015259,圓展,⚠️ 追價風險,3669.TW,2026-03,25.199999999999996,0.7,7.42%
50.65,7900.0,1231.2,N/A,222.67,30.64655106642242,6668.8,0.92,2025,🚀 利潤擴張,71.0999984741,今國光,⚠️ 追價風險,6209.TW,2026-03,34.8,0.81,N/A
26.61,7150.0,2528.26,62.07%,590.0,12.456575871687344,4621.74,1.96,2025,🏰 高護城河,50.2000007629,立萬利,✅ 穩健價值,3054.TW,2026-03,60.45,1.41,-188.65%
-6.18,4133.33,273.9,N/A,-73.68,7.024128890857909,3859.43,0.05,2025,🚀 利潤擴張,26.2000007629,和成,💎 強力關注,1810.TW,2026-03,55.95,3.64,N/A
-12.31,5000.0,1606.45,2.38%,-731.58,0.0,3393.55,-1.58,2025,🔄 轉虧為盈,59.0999984741,台塑,⚪ 數據不足,1301.TW,2026-03,-48.45,0.51,-5.76%
3.99,3400.0,474.41,27.32%,660.0,11.865853100243902,2925.59,0.38,2025,🚀 利潤擴張,9.7299995422,欣厚-KY,💎 強力關注,4924.TWO,2026-03,12.3,0.35,0.43%
9.79,3200.0,564.36,N/A,48.33,33.48765432098766,2635.64,0.89,2025,🚀 利潤擴張,108.5,金山電,⚠️ 追價風險,8042.TWO,2026-03,48.599999999999994,2.17,N/A
3.92,2960.0,405.72,82.96%,0.0,7.247278145272162,2554.2799999999997,3.0,2025,🏰 高護城河,46.5999984741,統一證,💎 強力關注,2855.TW,2026-03,96.44999999999999,1.43,34.40%
-4.69,3050.0,667.05,31.80%,120.99,67.80238500851789,2382.95,4.0,2025,🚀 利潤擴張,398.0,穩懋,⚠️ 追價風險,3105.TWO,2026-03,88.05,1.26,13.87%
12.31,2733.33,395.99,27.15%,41.38,3.5084837697920084,2337.34,4.11,2025,🚀 利潤擴張,64.0999984741,新紡,💎 強力關注,1419.TW,2026-03,274.05000000000007,9.37,10.89%
10.09,2900.0,726.37,15.86%,175.0,390.16393442622945,2173.63,0.22,2025,🚀 利潤擴張,238.0,一詮,⚠️ 追價風險,2486.TW,2026-03,9.150000000000002,0.29,1.35%
13.61,1900.0,205.99,24.41%,110.31,8.44827602650862,1694.01,0.72,2025,🚀 利潤擴張,19.6000003815,虹光,💎 強力關注,2380.TW,2026-03,34.800000000000004,0.4,0.24%
-5.25,3400.0,1769.87,11.81%,-92.39,560.5263157894739,1630.13,0.07,2025,🚀 利潤擴張,106.5,嘉晶,⚠️ 追價風險,3016.TW,2026-03,2.849999999999999,0.35,4.89%
