name,om,advice,prev_year,rev_yoy,symbol,est_price,date,expansion,prev_rev_yoy,prev_eps_yoy,eps_yoy,price,gm,prev_eps,status,eps,pe
廣穎,N/A,⚪ 中性觀察,2025,869.35,4973.TWO,130.95000000000002,2026-03,23630.65,-3.19,16.48,24500.0,148.5,N/A,2.11,🚀 利潤擴張,7.46,17.010309278350515
圓展,7.42%,⚪ 中性觀察,2025,98.33,3669.TW,25.199999999999996,2026-03,6801.67,-3.05,-44.61,6900.0,36.5499992371,56.66%,1.13,🏰 高護城河,0.7,21.755951926845245
今國光,N/A,⚠️ 追價風險,2025,1231.2,6209.TW,34.8,2026-03,6668.8,50.65,222.67,7900.0,67.6999969482,N/A,0.92,🚀 利潤擴張,0.81,29.181033167327588
立萬利,-188.65%,✅ 穩健價值,2025,2528.26,3054.TW,60.45,2026-03,4621.74,26.61,590.0,7150.0,53.7000007629,62.07%,1.96,🏰 高護城河,1.41,13.325062224044663
和成,N/A,💎 強力關注,2025,273.9,1810.TW,55.95,2026-03,3859.43,-6.18,-73.68,4133.33,26.8500003815,N/A,0.05,🚀 利潤擴張,3.64,7.198391523190348
台塑,-5.76%,⚪ 數據不足,2025,1606.45,1301.TW,-48.45,2026-03,3393.55,-12.31,-731.58,5000.0,58.9000015259,2.38%,-1.58,🔄 轉虧為盈,0.51,0.0
欣厚-KY,0.43%,✅ 穩健價值,2025,474.41,4924.TWO,12.3,2026-03,2925.59,3.99,660.0,3400.0,9.970000267,27.32%,0.38,🚀 利潤擴張,0.35,12.158536910975608
金山電,N/A,⚠️ 追價風險,2025,564.36,8042.TWO,48.599999999999994,2026-03,2635.64,9.79,48.33,3200.0,101.5,N/A,0.89,🚀 利潤擴張,2.17,31.32716049382716
統一證,34.40%,💎 強力關注,2025,405.72,2855.TW,96.44999999999999,2026-03,2554.2799999999997,3.92,0.0,2960.0,46.8499984741,82.96%,3.0,🏰 高護城河,1.43,7.286158394105755
穩懋,13.87%,⚠️ 追價風險,2025,667.05,3105.TWO,88.05,2026-03,2382.95,-4.69,120.99,3050.0,374.5,31.80%,4.0,🚀 利潤擴張,1.26,63.79897785349233
新紡,10.89%,💎 強力關注,2025,395.99,1419.TW,274.05000000000007,2026-03,2337.34,12.31,41.38,2733.33,63.5,27.15%,4.11,🚀 利潤擴張,9.37,3.475643130815544
一詮,1.35%,⚠️ 追價風險,2025,726.37,2486.TW,9.150000000000002,2026-03,2173.63,10.09,175.0,2900.0,235.0,15.86%,0.22,🚀 利潤擴張,0.29,385.2459016393442
虹光,0.24%,💎 強力關注,2025,205.99,2380.TW,34.800000000000004,2026-03,1694.01,13.61,110.31,1900.0,20.25,24.41%,0.72,🚀 利潤擴張,0.4,8.728448275862068
嘉晶,4.89%,⚠️ 追價風險,2025,1769.87,3016.TW,2.849999999999999,2026-03,1630.13,-5.25,-92.39,3400.0,105.0,11.81%,0.07,🚀 利潤擴張,0.35,552.6315789473686
南亞,2.06%,⚠️ 追價風險,2025,1383.79,1303.TW,27.900000000000006,2026-03,1516.21,0.12,35.71,2900.0,200.0,9.25%,0.57,🚀 利潤擴張,1.8,107.52688172043008
映泰,-12.67%,⚠️ 追價風險,2025,1031.36,2399.TW,18.599999999999998,2026-03,1335.3100000000002,-14.09,275.0,2366.67,45.1500015259,8.40%,0.15,🚀 利潤擴張,1.48,36.41129155314517
永純,2.47%,⚠️ 追價風險,2025,974.97,4711.TWO,7.65,2026-03,1225.03,-4.5,50.0,2200.0,16.9500007629,14.61%,0.15,🚀 利潤擴張,0.23,33.23529561352941
中纖,18.72%,⚠️ 追價風險,2025,142.36,1718.TW,6.15,2026-03,1157.6399999999999,-0.24,250.0,1300.0,10.5,41.46%,0.09,🚀 利潤擴張,0.17,25.609756097560975
倚強科,-15.39%,✅ 穩健價值,2025,120.91,3219.TWO,67.5,2026-03,1154.09,49.68,406.67,1275.0,70.8000030518,69.49%,1.52,🏰 高護城河,0.48,15.733334011511111
邑昇,N/A,⚠️ 追價風險,2025,536.39,5291.TWO,11.1,2026-03,1063.6100000000001,9.81,-17.95,1600.0,55.9000015259,N/A,0.31,🚀 利潤擴張,0.17,75.54054260256757
星通,43.45%,💎 強力關注,2025,117.67,3025.TW,78.44999999999999,2026-03,982.33,4.27,-6.25,1100.0,56.4000015259,68.55%,3.45,🏰 高護城河,0.6,10.783939106290632
十銓,N/A,💎 強力關注,2025,1792.89,4967.TW,669.75,2026-03,807.1099999999999,2.46,110.31,2600.0,252.0,N/A,13.06,🚀 利潤擴張,27.0,5.643896976483763
所羅門,2.82%,⚠️ 追價風險,2025,280.55,2359.TW,17.699999999999996,2026-03,733.74,21.27,46.43,1014.29,177.5,24.10%,1.23,🚀 利潤擴張,0.78,150.42372881355936
中化生,-143.69%,⚪ 數據不足,2025,496.76,1762.TW,-85.05,2026-03,714.3499999999999,-40.26,-566.18,1211.11,34.6500015259,-78.82%,-4.39,🔄 轉虧為盈,1.64,0.0
晶豪科,20.25%,⚠️ 追價風險,2025,2018.02,3006.TW,36.29999999999999,2026-03,648.6500000000001,8.08,-51.41,2666.67,248.0,32.33%,0.87,🚀 利潤擴張,7.22,102.47933884297522
盟立,-3.37%,⚪ 數據不足,2025,510.23,2464.TW,-26.55,2026-03,589.77,-10.95,-266.0,1100.0,178.0,17.62%,-0.84,🔄 轉虧為盈,0.24,0.0
創見,55.59%,💎 強力關注,2025,1484.6,2451.TW,586.95,2026-03,583.2200000000003,69.84,140.33,2067.82,280.0,61.62%,12.98,🏰 高護城河,18.93,7.155635062611807
台鋼建設,-147.39%,💎 強力關注,2025,224.53,3521.TWO,29.400000000000006,2026-03,582.14,58.31,89.09,806.67,12.3000001907,-40.24%,-0.07,🔄 轉虧為盈,2.12,6.27551030137755
