====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260819 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 14.51      | ❄️ 空倉          |      +18.80% |     18 |    51.39% | [P:0.48] RSI:83.00|MACD:0.26|KD_Diff:-7.94|BIAS_20:5.96
00401A.TW    | 主動摩根台灣鑫收   | 13.26      | ❄️ 空倉          |       +8.67% |     10 |    56.34% | [P:0.45] RSI:76.14|MACD:0.13|KD_Diff:-18.47|BIAS_20:1.78
00402A.TW    | 主動安聯美國科技   | 9.64       | ❄️ 空倉          |       +0.30% |      2 |    48.48% | [P:0.49] [⚠️降級預設] RSI:69.27|MACD:0.04|KD_Diff:-18.86|D_Value:71.11
00403A.TW    | 主動統一升級50   | 9.97       | ❄️ 空倉          |       +1.95% |      4 |    52.54% | [P:0.44] [⚠️降級預設] RSI:77.37|MACD:0.05|KD_Diff:-12.53|D_Value:80.17
00404A.TW    | 主動聯博動能50   | 9.41       | ❄️ 空倉          |       -6.23% |      4 |    51.52% | [P:0.48] [⚠️降級預設] RSI:75.42|MACD:-0.00|KD_Diff:-17.86|D_Value:66.26
00405A.TW    | 主動富邦台灣龍耀   | 8.47       | ❄️ 空倉          |      -12.61% |      2 |    39.39% | [P:0.39] [⚠️降級預設] RSI:80.76|MACD:0.06|KD_Diff:-7.88|D_Value:83.80
00406A.TW    | 主動中信台灣收益   | 9.50       | ❄️ 空倉          |       -5.17% |      2 |    46.43% | [P:0.43] [⚠️降級預設] RSI:81.51|MACD:0.07|KD_Diff:-12.74|D_Value:81.50
00407A.TW    | 主動凱基台灣     | 9.51       | ❄️ 空倉          |       +0.43% |      2 |    45.00% | [P:0.43] [⚠️降級預設] RSI:79.65|MACD:0.16|KD_Diff:-13.30|D_Value:80.99
00408A.TW    | 00408A.TW  | 10.33      | ❄️ 空倉          |       +0.00% |      0 |    33.33% | [P:0.44] [⚠️降級預設] RSI:76.04|MACD:0.17|KD_Diff:-12.10|D_Value:82.83
0050.TW      | 元大台灣50     | 103.10     | 🟢 持股           |      +42.62% |     39 |    48.78% | [P:0.55] Vol_Ratio:1.32|BIAS_20:0.66|MA_Slope:-0.04|BB_Upper:6.60
0052.TW      | 富邦科技       | 60.15      | 🟢 持股           |      +19.45% |     21 |    50.97% | [P:0.58] MACD:0.28|D_Value:69.50|Vol_Ratio:0.68|BB_Upper:6.78
0053.TW      | 元大電子       | 234.65     | ❄️ 空倉          |      +37.00% |     22 |    48.78% | [P:0.46] [⚠️降級預設] RSI:75.25|MACD:2.06|KD_Diff:-15.84|D_Value:76.18
0056.TW      | 元大高股息      | 52.00      | 💥 賣出           |      +14.48% |     31 |    51.33% | [P:0.43] KD_Diff:-13.88|Vol_Ratio:0.84|BB_Upper:5.62|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.45      | ❄️ 空倉          |      +12.02% |     12 |    51.75% | [P:0.49] [⚠️降級預設] RSI:53.33|MACD:-0.03|KD_Diff:-16.11|D_Value:57.01
006201.TWO   | 元大富櫃50     | 42.18      | ❄️ 空倉          |      +61.40% |     48 |    50.05% | [P:0.46] Vol_Ratio:0.79|MA_Slope:-0.17|BB_Upper:13.46|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 188.10     | ❄️ 空倉          |      +21.64% |     50 |    51.02% | [P:0.46] KD_Diff:-17.17|D_Value:68.37|Vol_Ratio:2.63|MA_Bull:0.00
006205.TW    | 富邦上証       | 40.50      | 🚀 買進           |       +3.62% |     16 |    51.92% | [P:0.53] [⚠️降級預設] RSI:47.81|MACD:-0.00|KD_Diff:-15.36|D_Value:44.93
006208.TW    | 富邦台50      | 236.75     | 🟢 持股           |      +47.86% |     21 |    50.18% | [P:0.56] MACD:1.25|D_Value:76.31|Vol_Ratio:1.22|BIAS_20:0.95
00631L.TW    | 元大台灣50正2   | 33.96      | 💥 賣出           |      +10.59% |     19 |    50.14% | [P:0.48] KD_Diff:-17.80|BIAS_20:1.15|MA_Slope:-0.12|BB_Upper:11.86
00632R.TW    | 元大台灣50反1   | 10.26      | ❄️ 空倉          |       +3.77% |     12 |    57.06% | [P:0.39] MACD:-0.11|D_Value:22.15|BIAS_20:-1.74|MA_Slope:-0.06
00633L.TW    | 富邦上証正2     | 48.40      | ❄️ 空倉          |       +1.60% |     26 |    49.33% | [P:0.43] MACD:-0.07|KD_Diff:-15.92|MA_Slope:-0.27|BB_Upper:7.13
00634R.TW    | 富邦上証反1     | 3.11       | ❄️ 空倉          |      -10.97% |     22 |    52.64% | [P:0.27] KD_Diff:18.07|D_Value:35.19|Vol_Ratio:1.98|MA_Slope:0.08
00635U.TW    | 期元大S&P黃金   | 44.97      | ❄️ 空倉          |      +36.67% |     32 |    51.80% | [P:0.45] MACD:0.68|D_Value:77.91|Vol_Ratio:0.48|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 20.01      | ❄️ 空倉          |       +3.70% |     24 |    49.98% | [P:0.43] MACD:-0.05|KD_Diff:-16.22|BIAS_20:-3.24|BB_Upper:7.65
00638R.TW    | 元大滬深300反1  | 6.69       | ❄️ 空倉          |       -3.54% |      8 |    53.04% | [P:0.40] RSI:44.44|MACD:-0.01|KD_Diff:18.90|D_Value:27.08
00639.TW     | 富邦深100     | 16.67      | ❄️ 空倉          |       +6.46% |     14 |    50.07% | [P:0.48] [⚠️降級預設] RSI:53.72|MACD:-0.12|KD_Diff:-16.92|D_Value:68.32
00640L.TW    | 富邦日本正2     | 104.00     | 🟢 持股           |      +10.39% |     37 |    50.21% | [P:0.63] RSI:55.02|D_Value:76.48|Vol_Ratio:3.31|BIAS_20:-2.33
00641R.TW    | 富邦日本反1     | 3.77       | 🚀 買進           |       +2.87% |     34 |    56.28% | [P:0.51] RSI:44.23|KD_Diff:19.44|BIAS_20:0.95|MA_Slope:0.00
00642U.TW    | 期元大S&P石油   | 28.13      | 🚀 買進           |     +128.12% |     50 |    52.85% | [P:0.53] RSI:51.74|D_Value:75.57|Vol_Ratio:1.31|MA_Slope:0.01
00643.TW     | 群益深証中小     | 18.48      | ❄️ 空倉          |       +4.81% |      8 |    49.52% | [P:0.48] [⚠️降級預設] RSI:55.24|MACD:-0.10|KD_Diff:-19.29|D_Value:66.71
00645.TW     | 富邦日本       | 56.70      | ❄️ 空倉          |       +7.01% |     16 |    49.67% | [P:0.47] [⚠️降級預設] RSI:55.56|MACD:0.47|KD_Diff:-20.99|D_Value:75.53
00646.TW     | 元大S&P500   | 77.10      | ❄️ 空倉          |      +17.17% |     42 |    49.86% | [P:0.50] KD_Diff:-22.47|D_Value:51.02|BIAS_20:-0.20|MA_Bull:0.00
