rev_yoy,date,name,pe,prev_year,price,prev_eps_yoy,expansion,prev_eps,eps_yoy,prev_rev_yoy,status,est_price,advice,symbol,om,eps,gm
869.35,2026-03,廣穎,17.411225658648338,2025,152.0,16.48,23630.65,2.11,24500.0,-3.19,🚀 利潤擴張,130.95000000000002,⚪ 中性觀察,4973.TWO,N/A,7.46,N/A
98.33,2026-03,圓展,22.529760996488097,2025,37.8499984741,-44.61,6801.67,1.13,6900.0,-3.05,🏰 高護城河,25.199999999999996,⚠️ 追價風險,3669.TW,7.42%,0.7,56.66%
1231.2,2026-03,今國光,29.74137931034483,2025,69.0,222.67,6668.8,0.92,7900.0,50.65,🚀 利潤擴張,34.8,⚠️ 追價風險,6209.TW,N/A,0.81,N/A
2528.26,2026-03,立萬利,13.101736783399504,2025,52.7999992371,590.0,4621.74,1.96,7150.0,26.61,🏰 高護城河,60.45,✅ 穩健價值,3054.TW,-188.65%,1.41,62.07%
273.9,2026-03,和成,6.9839140045844506,2025,26.0499992371,-73.68,3859.43,0.05,4133.33,-6.18,🚀 利潤擴張,55.95,💎 強力關注,1810.TW,N/A,3.64,N/A
1606.45,2026-03,台塑,0.0,2025,57.7999992371,-731.58,3393.55,-1.58,5000.0,-12.31,🔄 轉虧為盈,-48.45,⚪ 數據不足,1301.TW,-5.76%,0.51,2.38%
474.41,2026-03,欣厚-KY,11.902439303536584,2025,9.7600002289,660.0,2925.59,0.38,3400.0,3.99,🚀 利潤擴張,12.3,💎 強力關注,4924.TWO,0.43%,0.35,27.32%
564.36,2026-03,金山電,31.172839506172842,2025,101.0,48.33,2635.64,0.89,3200.0,9.79,🚀 利潤擴張,48.599999999999994,⚠️ 追價風險,8042.TWO,N/A,2.17,N/A
405.72,2026-03,統一證,7.255054669657855,2025,46.6500015259,0.0,2554.2799999999997,3.0,2960.0,3.92,🏰 高護城河,96.44999999999999,💎 強力關注,2855.TW,34.40%,1.43,82.96%
667.05,2026-03,穩懋,64.5655877342419,2025,379.0,120.99,2382.95,4.0,3050.0,-4.69,🚀 利潤擴張,88.05,⚠️ 追價風險,3105.TWO,13.87%,1.26,31.80%
