====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260821 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 14.46      | 🚀 買進           |      +18.80% |     18 |    51.35% | [P:0.52] RSI:71.36|MACD:0.26|KD_Diff:-11.10|BIAS_20:4.92
00401A.TW    | 主動摩根台灣鑫收   | 13.34      | ❄️ 空倉          |       +8.67% |     10 |    56.16% | [P:0.42] RSI:63.76|MACD:0.11|KD_Diff:-15.59|BIAS_20:2.17
00402A.TW    | 主動安聯美國科技   | 9.59       | 🚀 買進           |       +0.30% |      2 |    51.43% | [P:0.50] [⚠️降級預設] RSI:53.73|MACD:0.01|KD_Diff:-22.18|D_Value:48.83
00403A.TW    | 主動統一升級50   | 9.92       | ❄️ 空倉          |       +1.95% |      4 |    52.46% | [P:0.50] [⚠️降級預設] RSI:63.32|MACD:0.04|KD_Diff:-18.99|D_Value:62.86
00404A.TW    | 主動聯博動能50   | 9.43       | ❄️ 空倉          |       -6.23% |      4 |    51.43% | [P:0.50] [⚠️降級預設] RSI:57.69|MACD:-0.02|KD_Diff:-14.74|D_Value:50.39
00405A.TW    | 主動富邦台灣龍耀   | 8.34       | ❄️ 空倉          |      -12.61% |      2 |    40.00% | [P:0.48] [⚠️降級預設] RSI:65.04|MACD:0.07|KD_Diff:-11.96|D_Value:74.25
00406A.TW    | 主動中信台灣收益   | 9.43       | ❄️ 空倉          |       -5.17% |      2 |    46.67% | [P:0.49] [⚠️降級預設] RSI:66.85|MACD:0.07|KD_Diff:-17.91|D_Value:65.45
00407A.TW    | 主動凱基台灣     | 9.41       | ❄️ 空倉          |       +0.43% |      2 |    45.45% | [P:0.50] [⚠️降級預設] RSI:66.03|MACD:0.13|KD_Diff:-21.81|D_Value:61.33
00408A.TW    | 00408A.TW  | 10.23      | ❄️ 空倉          |       +0.00% |      0 |    36.36% | [P:0.50] [⚠️降級預設] RSI:62.35|MACD:0.14|KD_Diff:-22.49|D_Value:62.99
0050.TW      | 元大台灣50     | 104.65     | 🟢 持股           |      +42.62% |     39 |    48.81% | [P:0.58] Vol_Ratio:0.71|BIAS_20:2.03|MA_Slope:0.14|BB_Upper:5.21
0052.TW      | 富邦科技       | 60.85      | 🟢 持股           |      +19.45% |     21 |    51.00% | [P:0.53] MACD:0.24|D_Value:53.82|Vol_Ratio:0.74|BB_Upper:5.64
