date,eps,advice,prev_year,prev_eps,symbol,status,name,expansion,est_price,prev_rev_yoy,gm,price,prev_eps_yoy,pe,rev_yoy,om,eps_yoy
2026-03,7.46,⚪ 中性觀察,2025,2.11,4973.TWO,🚀 利潤擴張,廣穎,23630.65,130.95000000000002,-3.19,N/A,154.0,16.48,17.640320733104236,869.35,N/A,24500.0
2026-03,0.7,⚪ 中性觀察,2025,1.13,3669.TW,🏰 高護城河,圓展,6801.67,25.199999999999996,-3.05,56.66%,35.4000015259,-44.61,21.071429479702385,98.33,7.42%,6900.0
2026-03,0.81,⚠️ 追價風險,2025,0.92,6209.TW,🚀 利潤擴張,今國光,6668.8,34.8,50.65,N/A,79.5,222.67,34.26724137931035,1231.2,N/A,7900.0
2026-03,1.41,✅ 穩健價值,2025,1.96,3054.TW,🏰 高護城河,立萬利,4621.74,60.45,26.61,62.07%,57.9000015259,590.0,14.367246036203474,2528.26,-188.65%,7150.0
2026-03,3.64,💎 強力關注,2025,0.05,1810.TW,🚀 利潤擴張,和成,3859.43,55.95,-6.18,N/A,24.8999996185,-73.68,6.675603114879356,273.9,N/A,4133.33
2026-03,0.51,⚪ 數據不足,2025,-1.58,1301.TW,🔄 轉虧為盈,台塑,3393.55,-48.45,-12.31,2.38%,66.1999969482,-731.58,0.0,1606.45,-5.76%,5000.0
2026-03,0.35,✅ 穩健價值,2025,0.38,4924.TWO,🚀 利潤擴張,欣厚-KY,2925.59,12.3,3.99,27.32%,10.0,660.0,12.19512195121951,474.41,0.43%,3400.0
2026-03,2.17,⚠️ 追價風險,2025,0.89,8042.TWO,🚀 利潤擴張,金山電,2635.64,48.599999999999994,9.79,N/A,105.0,48.33,32.40740740740741,564.36,N/A,3200.0
2026-03,1.43,💎 強力關注,2025,3.0,2855.TW,🏰 高護城河,統一證,2554.2799999999997,96.44999999999999,3.92,82.96%,49.5499992371,0.0,7.706065200171074,405.72,34.40%,2960.0
2026-03,1.26,⚠️ 追價風險,2025,4.0,3105.TWO,🚀 利潤擴張,穩懋,2382.95,88.05,-4.69,31.80%,447.5,120.99,76.2350936967632,667.05,13.87%,3050.0
2026-03,9.37,💎 強力關注,2025,4.11,1419.TW,🚀 利潤擴張,新紡,2337.34,274.05000000000007,12.31,27.15%,65.6999969482,41.38,3.59605894626163,395.99,10.89%,2733.33
2026-03,0.29,⚠️ 追價風險,2025,0.22,2486.TW,🚀 利潤擴張,一詮,2173.63,9.150000000000002,10.09,15.86%,263.0,175.0,431.14754098360646,726.37,1.35%,2900.0
2026-03,0.4,💎 強力關注,2025,0.72,2380.TW,🚀 利潤擴張,虹光,1694.01,34.800000000000004,13.61,24.41%,19.0499992371,110.31,8.211206567715516,205.99,0.24%,1900.0
2026-03,0.35,⚠️ 追價風險,2025,0.07,3016.TW,🚀 利潤擴張,嘉晶,1630.13,2.849999999999999,-5.25,11.81%,103.0,-92.39,542.1052631578949,1769.87,4.89%,3400.0
2026-03,1.8,⚠️ 追價風險,2025,0.57,1303.TW,🚀 利潤擴張,南亞,1516.21,27.900000000000006,0.12,9.25%,242.5,35.71,130.37634408602148,1383.79,2.06%,2900.0
2026-03,1.48,⚠️ 追價風險,2025,0.15,2399.TW,🚀 利潤擴張,映泰,1335.3100000000002,18.599999999999998,-14.09,8.40%,45.5999984741,275.0,36.77419231782259,1031.36,-12.67%,2366.67
2026-03,0.23,⚠️ 追價風險,2025,0.15,4711.TWO,🚀 利潤擴張,永純,1225.03,7.65,-4.5,14.61%,16.8999996185,50.0,33.13725415392157,974.97,2.47%,2200.0
2026-03,0.17,⚠️ 追價風險,2025,0.09,1718.TW,🚀 利潤擴張,中纖,1157.6399999999999,6.15,-0.24,41.46%,10.8999996185,250.0,26.585364923170733,142.36,18.72%,1300.0
2026-03,0.48,⚪ 中性觀察,2025,1.52,3219.TWO,🏰 高護城河,倚強科,1154.09,67.5,49.68,69.49%,91.0,406.67,20.22222222222222,120.91,-15.39%,1275.0
2026-03,0.17,⚠️ 追價風險,2025,0.31,5291.TWO,🚀 利潤擴張,邑昇,1063.6100000000001,11.1,9.81,N/A,69.5,-17.95,93.91891891891892,536.39,N/A,1600.0
2026-03,0.6,💎 強力關注,2025,3.45,3025.TW,🏰 高護城河,星通,982.33,78.44999999999999,4.27,68.55%,52.5999984741,-6.25,10.057361084913959,117.67,43.45%,1100.0
2026-03,27.0,💎 強力關注,2025,13.06,4967.TW,🚀 利潤擴張,十銓,807.1099999999999,669.75,2.46,N/A,276.0,110.31,6.1814109742441214,1792.89,N/A,2600.0
2026-03,0.78,⚠️ 追價風險,2025,1.23,2359.TW,🚀 利潤擴張,所羅門,733.74,17.699999999999996,21.27,24.10%,144.5,46.43,122.4576271186441,280.55,2.82%,1014.29
2026-03,1.64,⚪ 數據不足,2025,-4.39,1762.TW,🔄 轉虧為盈,中化生,714.3499999999999,-85.05,-40.26,-78.82%,35.9000015259,-566.18,0.0,496.76,-143.69%,1211.11
2026-03,7.22,⚠️ 追價風險,2025,0.87,3006.TW,🚀 利潤擴張,晶豪科,648.6500000000001,36.29999999999999,8.08,32.33%,292.5,-51.41,120.86776859504135,2018.02,20.25%,2666.67
2026-03,0.24,⚪ 數據不足,2025,-0.84,2464.TW,🔄 轉虧為盈,盟立,589.77,-26.55,-10.95,17.62%,180.0,-266.0,0.0,510.23,-3.37%,1100.0
2026-03,18.93,💎 強力關注,2025,12.98,2451.TW,🏰 高護城河,創見,583.2200000000003,586.95,69.84,61.62%,294.5,140.33,7.526194735497061,1484.6,55.59%,2067.82
2026-03,2.12,💎 強力關注,2025,-0.07,3521.TWO,🔄 轉虧為盈,台鋼建設,582.14,29.400000000000006,58.31,-40.24%,12.1000003815,89.09,6.173469582397957,224.53,-147.39%,806.67
