id,name,price,signal,pnl,count,win_rate,reason
8358.TWO,金居,526.0,💎 持股,209.15,12,50.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
4958.TW,臻鼎-KY,535.0,🟡 預警 (🚀 動能初現),127.35,7,42.86,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:4.5%)
2059.TW,川湖,14150.0,☁️ 觀望,123.42,9,66.67,[P:0.95/50.0] [📈 穩定] 等待機會
6239.TW,力成,284.0,💎 持股,115.93,7,71.43,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3017.TW,奇鋐,3410.0,🚀 持股,114.64,10,50.0,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
2368.TW,金像電,1225.0,💎 持股,109.21,9,66.67,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
5274.TWO,信驊,17120.0,🟡 預警 (🚀 動能初現),98.69,9,44.44,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:5.6%)
2404.TW,漢唐,1100.0,☁️ 觀望,94.69,9,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2303.TW,聯電,132.5,💎 持股,59.68,10,70.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6282.TW,康舒,44.9000015259,☁️ 觀望,53.85,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2454.TW,聯發科,4315.0,🟡 預警 (⚡ 糾結噴發),53.52,11,18.18,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
3481.TW,群創,49.2999992371,🟡 預警 (⚡ 糾結噴發),38.12,9,55.56,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
3661.TW,世芯-KY,4275.0,☁️ 觀望,34.13,6,50.0,[P:0.95/50.0] [🚀 極強] 等待機會
3006.TW,晶豪科,278.5,🚀 持股,27.91,10,50.0,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
1802.TW,台玻,61.2999992371,💎 持股,27.54,11,45.45,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
5443.TWO,均豪,111.5,☁️ 觀望,27.19,6,50.0,[P:0.95/50.0] [📈 穩定] 等待機會
2317.TW,鴻海,256.0,🟡 預警 (⚡ 糾結噴發),21.88,8,37.5,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
1519.TW,華城,761.0,💎 持股,20.0,8,50.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6166.TW,凌華,117.5,☁️ 觀望,19.94,7,28.57,[P:0.95/8.0] [📉 轉弱] 等待機會
2312.TW,金寶,33.0499992371,🟡 預警 (⚡ 糾結噴發),18.58,7,57.14,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
5607.TW,遠雄港,51.7000007629,☁️ 觀望,18.41,7,42.86,[P:0.95/8.0] [📈 穩定] 等待機會
2301.TW,光寶科,300.5,💎 持股,9.42,10,40.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3211.TWO,順達,406.0,☁️ 觀望,2.88,6,33.33,[P:0.95/50.0] [🚀 極強] 等待機會
3357.TWO,臺慶科,215.5,☁️ 觀望,0.91,8,37.5,[P:0.95/8.0] [📈 穩定] 等待機會
1504.TW,東元,73.5,💎 持股,-2.25,9,44.44,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3324.TWO,雙鴻,1375.0,💎 持股,-6.62,10,40.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2382.TW,廣達,342.0,💎 持股,-6.92,10,40.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
1503.TW,士電,208.5,💎 持股,-12.23,9,33.33,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
2457.TW,飛宏,22.7000007629,☁️ 觀望,-12.91,7,57.14,[P:0.95/8.0] [📉 轉弱] 等待機會
3231.TW,緯創,182.0,☁️ 觀望,-19.92,10,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
1513.TW,中興電,166.0,💎 持股,-30.38,9,11.11,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2417.TW,圓剛,43.5,❄️ 賣出,-34.35,7,14.29,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢轉弱(強制)
6669.TW,緯穎,7800.0,💎 持股,-36.61,8,37.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6781.TW,AES-KY,1155.0,🟡 預警 (⚡ 糾結噴發),-36.87,6,16.67,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
6117.TW,迎廣,64.0999984741,🟡 預警 (⚡ 糾結噴發),-37.61,6,16.67,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
3013.TW,晟銘電,92.4000015259,💎 持股,-38.77,7,14.29,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
1514.TW,亞力,103.5,💎 持股,-45.31,10,20.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
