eps,prev_year,om,status,symbol,date,expansion,gm,advice,prev_rev_yoy,prev_eps_yoy,est_price,rev_yoy,prev_eps,name,pe,eps_yoy,price
7.46,2025,N/A,🚀 利潤擴張,4973.TWO,2026-03,23630.65,N/A,⚪ 中性觀察,-3.19,16.48,130.95000000000002,869.35,2.11,廣穎,17.353951890034363,24500.0,151.5
0.7,2025,7.42%,🏰 高護城河,3669.TW,2026-03,6801.67,56.66%,⚪ 中性觀察,-3.05,-44.61,25.199999999999996,98.33,1.13,圓展,21.19047528220238,6900.0,35.5999984741
0.81,2025,N/A,🚀 利潤擴張,6209.TW,2026-03,6668.8,N/A,⚠️ 追價風險,50.65,222.67,34.8,1231.2,0.92,今國光,36.336208211982765,7900.0,84.3000030518
1.41,2025,-188.65%,🏰 高護城河,3054.TW,2026-03,4621.74,62.07%,✅ 穩健價值,26.61,590.0,60.45,2528.26,1.96,立萬利,13.945409618585606,7150.0,56.2000007629
3.64,2025,N/A,🚀 利潤擴張,1810.TW,2026-03,3859.43,N/A,💎 強力關注,-6.18,-73.68,55.95,273.9,0.05,和成,6.60857898619303,4133.33,24.6499996185
0.51,2025,-5.76%,🔄 轉虧為盈,1301.TW,2026-03,3393.55,2.38%,⚪ 數據不足,-12.31,-731.58,-48.45,1606.45,-1.58,台塑,0.0,5000.0,66.8000030518
0.35,2025,0.43%,🚀 利潤擴張,4924.TWO,2026-03,2925.59,27.32%,✅ 穩健價值,3.99,660.0,12.3,474.41,0.38,欣厚-KY,12.097561068658534,3400.0,9.9200000763
2.17,2025,N/A,🚀 利潤擴張,8042.TWO,2026-03,2635.64,N/A,⚠️ 追價風險,9.79,48.33,48.599999999999994,564.36,0.89,金山電,34.25925925925926,3200.0,111.0
1.43,2025,34.40%,🏰 高護城河,2855.TW,2026-03,2554.2799999999997,82.96%,💎 強力關注,3.92,0.0,96.44999999999999,405.72,3.0,統一證,7.713841131275272,2960.0,49.5999984741
1.26,2025,13.87%,🚀 利潤擴張,3105.TWO,2026-03,2382.95,31.80%,⚠️ 追價風險,-4.69,120.99,88.05,667.05,4.0,穩懋,79.98296422487223,3050.0,469.5
9.37,2025,10.89%,🚀 利潤擴張,1419.TW,2026-03,2337.34,27.15%,💎 強力關注,12.31,41.38,274.05000000000007,395.99,4.11,新紡,3.6672140120415975,2733.33,67.0
0.29,2025,1.35%,🚀 利潤擴張,2486.TW,2026-03,2173.63,15.86%,⚠️ 追價風險,10.09,175.0,9.150000000000002,726.37,0.22,一詮,472.13114754098353,2900.0,288.0
0.4,2025,0.24%,🚀 利潤擴張,2380.TW,2026-03,1694.01,24.41%,💎 強力關注,13.61,110.31,34.800000000000004,205.99,0.72,虹光,7.887930705646551,1900.0,18.2999992371
0.35,2025,4.89%,🚀 利潤擴張,3016.TW,2026-03,1630.13,11.81%,⚠️ 追價風險,-5.25,-92.39,2.849999999999999,1769.87,0.07,嘉晶,526.3157894736844,3400.0,100.0
1.8,2025,2.06%,🚀 利潤擴張,1303.TW,2026-03,1516.21,9.25%,⚠️ 追價風險,0.12,35.71,27.900000000000006,1383.79,0.57,南亞,127.68817204301072,2900.0,237.5
1.48,2025,-12.67%,🚀 利潤擴張,2399.TW,2026-03,1335.3100000000002,8.40%,⚠️ 追價風險,-14.09,275.0,18.599999999999998,1031.36,0.15,映泰,37.1774181242742,2366.67,46.0999984741
0.23,2025,2.47%,🚀 利潤擴張,4711.TWO,2026-03,1225.03,14.61%,⚠️ 追價風險,-4.5,50.0,7.65,974.97,0.15,永純,32.74509953509804,2200.0,16.7000007629
0.17,2025,18.72%,🚀 利潤擴張,1718.TW,2026-03,1157.6399999999999,41.46%,⚠️ 追價風險,-0.24,250.0,6.15,142.36,0.09,中纖,26.3414638797561,1300.0,10.8000001907
0.48,2025,-15.39%,🏰 高護城河,3219.TWO,2026-03,1154.09,69.49%,⚪ 中性觀察,49.68,406.67,67.5,120.91,1.52,倚強科,20.088889227977777,1275.0,90.4000015259
0.17,2025,N/A,🚀 利潤擴張,5291.TWO,2026-03,1063.6100000000001,N/A,⚠️ 追價風險,9.81,-17.95,11.1,536.39,0.31,邑昇,95.54053641648647,1600.0,70.6999969482
0.6,2025,43.45%,🏰 高護城河,3025.TW,2026-03,982.33,68.55%,💎 強力關注,4.27,-6.25,78.44999999999999,117.67,3.45,星通,10.095602148585087,1100.0,52.7999992371
27.0,2025,N/A,🚀 利潤擴張,4967.TW,2026-03,807.1099999999999,N/A,💎 強力關注,2.46,110.31,669.75,1792.89,13.06,十銓,6.226203807390817,2600.0,278.0
0.78,2025,2.82%,🚀 利潤擴張,2359.TW,2026-03,733.74,24.10%,⚠️ 追價風險,21.27,46.43,17.699999999999996,280.55,1.23,所羅門,122.4576271186441,1014.29,144.5
1.64,2025,-143.69%,🔄 轉虧為盈,1762.TW,2026-03,714.3499999999999,-78.82%,⚪ 數據不足,-40.26,-566.18,-85.05,496.76,-4.39,中化生,0.0,1211.11,36.2000007629
7.22,2025,20.25%,🚀 利潤擴張,3006.TW,2026-03,648.6500000000001,32.33%,⚠️ 追價風險,8.08,-51.41,36.29999999999999,2018.02,0.87,晶豪科,116.32231404958681,2666.67,281.5
0.24,2025,-3.37%,🔄 轉虧為盈,2464.TW,2026-03,589.77,17.62%,⚪ 數據不足,-10.95,-266.0,-26.55,510.23,-0.84,盟立,0.0,1100.0,202.0
18.93,2025,55.59%,🏰 高護城河,2451.TW,2026-03,583.2200000000003,61.62%,💎 強力關注,69.84,140.33,586.95,1484.6,12.98,創見,7.577306414515716,2067.82,296.5
2.12,2025,-147.39%,🔄 轉虧為盈,3521.TWO,2026-03,582.14,-40.24%,💎 強力關注,58.31,89.09,29.400000000000006,224.53,-0.07,台鋼建設,6.249999999999999,806.67,12.25
1.86,2025,4.39%,🚀 利潤擴張,2101.TW,2026-03,579.1500000000001,20.96%,✅ 穩健價值,-44.61,-68.84,30.6,1184.49,1.01,南港,15.514705695343137,1763.64,31.6499996185
0.2,2025,-1.97%,🔄 轉虧為盈,4510.TWO,2026-03,556.87,14.87%,⚪ 數據不足,-2.21,-197.14,-36.6,543.13,-1.02,高鋒,0.0,1100.0,45.7999992371
0.26,2025,8.69%,🚀 利潤擴張,3285.TWO,2026-03,511.73,28.61%,⚠️ 追價風險,-19.66,-40.68,15.75,688.27,0.7,微端,40.095236641999996,1200.0,42.0999984741
