股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,52.00,101,64.28,36.61,---,3.53%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7806,精華生醫,60.90,0,80.50,57.60,---,---,均線糾擺,無,無,MA 乖離率僅 0.57%,均線糾擺
6831,邁科,609.00,788,956.00,157.83,---,0.74%,進入盤整,無,無,ADX 為 17.39 (低於 20),進入盤整
00696,富邦美債20年,27.92,5813,30.21,27.54,---,0.94%,均線糾擺,無,無,MA 乖離率僅 0.22%,均線糾擺
6153,嘉聯益,18.00,2527,24.45,13.50,---,---,貼軌運行,無,無,股價於高位貼軌 (18.00 > 1.5σ)，動能強勁,貼軌運行
8261,富鼎,177.00,1897,346.94,83.30,---,4.05%,均線糾擺,無,無,MA 乖離率僅 0.56%,均線糾擺
6205,詮欣,68.30,1017,98.20,37.00,---,3.47%,貼軌運行,無,無,股價於高位貼軌 (68.30 > 1.5σ)，動能強勁,貼軌運行
7595,世基生醫,7.35,1,13.60,6.09,---,---,均線糾擺,無,無,MA 乖離率僅 0.56%,均線糾擺
3479,安勤,124.00,456,156.50,83.70,---,5.22%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1789,神隆,19.00,401,28.25,16.75,---,2.02%,均線糾擺,無,無,MA 乖離率僅 0.33%,均線糾擺
3171,炎洲流通,63.00,42,79.40,45.00,---,7.01%,均線糾擺,無,無,MA 乖離率僅 0.48%,均線糾擺
4721,美琪瑪,73.30,255,101.00,61.20,---,3.35%,均線糾擺,無,無,MA 乖離率僅 0.24%,均線糾擺
911608,明輝-DR,2.72,7,3.51,2.53,---,1.89%,均線糾擺,無,無,MA 乖離率僅 0.41%,均線糾擺
6924,榮惠-KY創,113.50,4,193.50,47.80,---,7.45%,均線糾擺,無,無,MA 乖離率僅 0.10%,均線糾擺
3044,健鼎,502.00,2512,573.00,290.00,---,4.08%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,10.35,326,16.80,10.25,---,---,進入盤整,無,無,ADX 為 15.86 (低於 20),進入盤整
00876,元大全球5G,84.50,63,107.70,38.61,---,---,均線糾擺,無,無,MA 乖離率僅 1.01%,均線糾擺
00676,富邦臺灣加權反1,5.48,5610,11.10,5.32,---,---,均線糾擺,無,無,MA 乖離率僅 0.80%,均線糾擺
4961,天鈺,169.50,1069,180.50,135.00,---,5.89%,均線糾擺,無,無,MA 乖離率僅 0.46%,均線糾擺
2012,春雨,14.60,38,17.94,14.15,---,5.31%,均線糾擺,無,無,MA 乖離率僅 0.63%,均線糾擺
8114,振樺電,198.50,246,274.50,164.00,---,2.62%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,43.75,7,66.90,24.50,---,---,進入盤整,無,無,ADX 為 16.05 (低於 20),進入盤整
8028,昇陽半導體,245.50,2558,356.50,138.50,---,1.49%,均線糾擺,無,無,MA 乖離率僅 1.26%,均線糾擺
6972,博瑞達應材,23.50,0,31.40,22.70,---,---,均線糾擺,無,無,MA 乖離率僅 0.98%,均線糾擺
6443,元晶,25.10,3422,52.30,11.95,---,1.64%,均線糾擺,無,無,MA 乖離率僅 0.74%,均線糾擺
00990,主動元大AI新經濟,9.96,713,10.11,9.93,---,---,均線糾擺,無,無,MA 乖離率僅 0.27%,均線糾擺
00987,野村10+澳洲公債,9.92,5985,10.15,9.92,---,---,資料不足,無,無,缺少 MA5/10/20 指標數據,資料不足
2748,雲品,38.85,50,47.70,37.76,---,4.02%,均線糾擺,無,無,MA 乖離率僅 0.28%,均線糾擺
6525,捷敏-KY,137.00,1081,221.00,71.40,---,5.85%,均線糾擺,無,無,MA 乖離率僅 0.50%,均線糾擺
006205,富邦上証,40.52,137,42.30,34.91,---,---,均線糾擺,無,無,MA 乖離率僅 0.42%,均線糾擺
6877,鏵友益,113.50,38,186.00,80.00,---,0.1%,進入盤整,無,無,ADX 為 15.74 (低於 20),進入盤整
4582,聚恆-創,23.60,102,43.20,17.05,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2758,路易莎咖啡,68.60,2,100.38,64.70,---,---,均線糾擺,無,無,MA 乖離率僅 1.19%,均線糾擺
1802,台玻,60.80,33323,76.60,25.65,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7642,昶瑞機電,77.00,9,127.50,63.20,---,4.08%,均線糾擺,無,無,MA 乖離率僅 0.40%,均線糾擺
9938,百和,41.60,759,60.40,41.20,---,5.67%,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
4442,竣邦-KY,50.60,6,72.60,46.10,---,5.25%,均線糾擺,無,無,MA 乖離率僅 0.59%,均線糾擺
00635,期元大S&P黃金,44.59,6978,60.55,36.27,---,---,均線糾擺,無,無,MA 乖離率僅 0.81%,均線糾擺
2408,南亞科,518.00,52726,543.00,45.35,---,0.32%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2539,櫻花建,34.95,846,54.62,33.13,---,0.83%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2504,國產,31.40,750,39.65,30.30,---,6.39%,均線糾擺,無,無,MA 乖離率僅 0.59%,均線糾擺
5546,永固-KY,14.70,15,27.90,13.35,---,6.57%,進入盤整,無,無,ADX 為 19.44 (低於 20),進入盤整
3086,華義*,31.15,344,43.50,13.35,---,0.17%,強勢突破 (軌外),無,無,股價衝破布林上軌 (31.02)，進入噴發段,強勢突破 (軌外)
2395,研華,692.00,3177,711.00,273.50,📅 預告 (20260914),2.49%,均線糾擺,無,無,MA 乖離率僅 0.74%,均線糾擺
3050,鈺德,11.70,363,15.30,10.65,---,3.5%,均線糾擺,無,無,MA 乖離率僅 0.75%,均線糾擺
00984,大華優利美A債15,15.65,377,16.82,15.59,---,0.48%,均線糾擺,無,無,MA 乖離率僅 0.24%,均線糾擺
6591,動力-KY,42.60,40,98.76,42.30,---,3.5%,均線糾擺,無,無,MA 乖離率僅 1.03%,均線糾擺
6176,瑞儀,92.30,1749,139.27,82.30,---,7.07%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6811,宏�硌穈T,224.50,33,263.00,182.50,---,3.86%,均線糾擺,無,無,MA 乖離率僅 0.55%,均線糾擺
4544,春日,14.30,23,17.95,13.10,---,---,均線糾擺,無,無,MA 乖離率僅 0.62%,均線糾擺
9949,琉園,24.05,9,36.70,15.58,---,8.09%,均線糾擺,無,無,MA 乖離率僅 0.72%,均線糾擺
4510,高鋒,45.80,1785,54.30,33.00,---,4.14%,均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
6194,育富,29.75,18,39.65,29.20,---,5.78%,均線糾擺,無,無,MA 乖離率僅 0.17%,均線糾擺
6124,業強,26.55,15,37.95,23.30,---,---,均線糾擺,無,無,MA 乖離率僅 0.23%,均線糾擺
00757,統一FANG+,138.25,679,142.25,101.15,---,---,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
2101,南港,31.65,1236,45.45,29.75,---,1.99%,均線糾擺,無,無,MA 乖離率僅 1.45%,均線糾擺
00945,凱基美國非投等債,14.41,2396,14.72,13.56,---,0.6%,均線糾擺,無,無,MA 乖離率僅 0.34%,均線糾擺
4556,旭然,70.00,132,132.50,22.45,---,1.17%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1612,宏泰,34.65,313,40.65,29.60,---,5.79%,均線糾擺,無,無,MA 乖離率僅 0.97%,均線糾擺
6624,萬年清,40.55,7,72.50,31.85,---,1.56%,均線糾擺,無,無,MA 乖離率僅 0.53%,均線糾擺
3081,聯亞,3395.00,3351,3530.00,389.00,📅 預告 (20260903),0.14%,進入盤整,無,無,ADX 為 19.11 (低於 20),進入盤整
9925,新保,40.00,371,40.60,38.16,---,---,均線糾擺,無,無,MA 乖離率僅 0.18%,均線糾擺
8446,華研,85.20,36,93.77,83.00,---,8.07%,均線糾擺,無,無,MA 乖離率僅 0.09%,均線糾擺
00685,群益臺灣加權正2,11.89,260654,329.55,9.16,---,---,均線糾擺,無,無,MA 乖離率僅 1.47%,均線糾擺
6446,藥華藥,1305.00,3635,1585.00,442.00,---,0.22%,均線糾擺,無,無,MA 乖離率僅 0.80%,均線糾擺
009813,貝萊德標普卓越50,11.17,787,11.56,9.64,---,---,均線糾擺,無,無,MA 乖離率僅 0.51%,均線糾擺
6485,點序,61.20,209,124.50,50.50,---,0.96%,均線糾擺,無,無,MA 乖離率僅 0.76%,均線糾擺
6294,智基,29.00,21,54.96,26.30,---,5.98%,均線糾擺,無,無,MA 乖離率僅 0.84%,均線糾擺
5403,中菲,93.30,34,118.35,84.50,---,5.04%,均線糾擺,無,無,MA 乖離率僅 0.33%,均線糾擺
6775,穎台科技,44.00,3320,72.30,20.40,---,---,強勢突破 (軌外),連3日大漲,無,股價衝破布林上軌 (39.77)，進入噴發段,強勢突破 (軌外)
00981,平衡凱基雙核收息,10.29,3117,10.58,9.91,---,0.67%,均線糾擺,無,無,MA 乖離率僅 0.34%,均線糾擺
5455,昇益,30.10,1,32.00,22.55,---,---,均線糾擺,無,無,MA 乖離率僅 1.03%,均線糾擺
2374,佳能,70.10,4631,94.96,59.60,---,0.56%,均線糾擺,無,無,MA 乖離率僅 0.37%,均線糾擺
6113,亞矽,23.40,136,29.85,18.45,---,1.65%,均線糾擺,無,無,MA 乖離率僅 0.83%,均線糾擺
6912,益鈞環科*,12.10,154,20.40,11.65,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6804,明係,18.40,68,21.25,15.00,---,---,均線糾擺,無,無,MA 乖離率僅 0.99%,均線糾擺
1443,立益物流,23.80,33,29.85,21.20,---,---,均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
6556,勝品,61.00,8,73.78,58.20,---,---,均線糾擺,無,無,MA 乖離率僅 0.35%,均線糾擺
6771,平和環保-創,41.70,40,50.44,37.85,---,---,均線糾擺,無,無,MA 乖離率僅 1.11%,均線糾擺
2025,千興,12.85,171,15.30,9.01,---,---,均線糾擺,無,無,MA 乖離率僅 0.77%,均線糾擺
6141,柏承,54.80,4637,58.90,10.25,---,---,進入盤整,無,連1日大跌,ADX 為 18.82 (低於 20),進入盤整
5243,乙盛-KY,91.80,678,135.00,68.50,---,1.95%,均線糾擺,無,無,MA 乖離率僅 0.95%,均線糾擺
4771,望隼,214.50,131,215.00,170.00,---,3.09%,貼軌運行,無,無,股價於高位貼軌 (214.50 > 1.5σ)，動能強勁,貼軌運行
2303,聯電,126.00,135729,178.50,40.50,---,6.06%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3372,典範,14.95,266,25.65,12.95,---,---,均線糾擺,無,無,MA 乖離率僅 1.03%,均線糾擺
4968,立積,93.70,311,166.50,87.60,---,0.76%,均線糾擺,無,無,MA 乖離率僅 0.60%,均線糾擺
6158,禾昌,17.50,219,24.50,16.45,---,3.32%,強勢突破 (軌外),無,無,股價衝破布林上軌 (17.11)，進入噴發段,強勢突破 (軌外)
8454,富邦媒,243.00,395,439.50,170.00,---,4.28%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
5603,陸海,14.10,63,20.50,13.93,---,4.6%,均線糾擺,無,無,MA 乖離率僅 0.56%,均線糾擺
8433,弘帆,55.20,2,59.15,46.57,---,7.64%,均線糾擺,無,無,MA 乖離率僅 0.33%,均線糾擺
00991,主動復華未來50,17.93,52621,21.33,9.66,---,---,均線糾擺,無,無,MA 乖離率僅 0.68%,均線糾擺
1540,喬福,19.65,117,28.00,18.80,---,5.35%,均線糾擺,無,無,MA 乖離率僅 0.33%,均線糾擺
2417,圓剛,43.60,452,56.90,33.40,---,0.55%,均線糾擺,無,無,MA 乖離率僅 0.25%,均線糾擺
2402,毅嘉,59.30,4776,77.70,45.40,---,4.8%,進入盤整,無,無,ADX 為 12.76 (低於 20),進入盤整
2351,順德,229.00,5418,240.00,73.20,📅 預告 (20260909),3.17%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2420,新巨,54.70,199,65.30,47.60,---,5.95%,均線糾擺,無,無,MA 乖離率僅 0.95%,均線糾擺
6189,豐藝,48.50,229,56.60,42.50,---,5.06%,均線糾擺,無,無,MA 乖離率僅 0.29%,均線糾擺
7893,睿信,151.00,16,249.00,140.00,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
911622,泰聚亨-DR,3.60,5,4.67,3.51,---,---,均線糾擺,無,無,MA 乖離率僅 0.56%,均線糾擺
8222,寶一,38.25,328,58.60,33.75,---,1.46%,均線糾擺,無,無,MA 乖離率僅 0.13%,均線糾擺
7743,金利食安,21.20,7,28.65,18.50,---,---,均線糾擺,無,無,MA 乖離率僅 0.48%,均線糾擺
3499,環天科,12.40,34,21.35,12.40,---,---,均線糾擺,無,無,MA 乖離率僅 0.79%,均線糾擺
6223,旺矽,5290.00,1009,7354.87,1180.00,📅 預告 (20260903),1.5%,進入盤整,無,無,ADX 為 19.22 (低於 20),進入盤整
6261,久元,80.00,578,133.50,58.00,---,---,均線糾擺,無,無,MA 乖離率僅 0.72%,均線糾擺
7583,國際海洋,24.80,13,81.00,24.80,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3287,廣寰科,37.60,180,38.50,27.00,---,4.12%,進入盤整,無,無,ADX 為 11.58 (低於 20),進入盤整
6658,聯策,183.00,1343,257.00,46.40,---,1.31%,貼軌運行,無,無,股價於高位貼軌 (183.00 > 1.5σ)，動能強勁,貼軌運行
1232,大統益,156.50,90,168.50,136.16,---,---,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
2732,六角,65.30,73,76.75,60.35,---,---,貼軌運行,無,無,股價於高位貼軌 (65.30 > 1.5σ)，動能強勁,貼軌運行
2497,怡利電,45.40,113,66.80,40.35,---,4.88%,均線糾擺,無,無,MA 乖離率僅 0.82%,均線糾擺
2059,川湖,13865.00,437,14459.00,2907.80,---,1.1%,進入盤整,無,無,ADX 為 5.06 (低於 20),進入盤整
7773,富禾生醫,33.50,91,47.00,21.00,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3434,哲固,29.75,30,41.77,27.90,---,1.03%,均線糾擺,無,無,MA 乖離率僅 0.49%,均線糾擺
6913,鴻呈,153.00,735,166.00,105.00,---,1.49%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
00749,凱基新興債10+,30.70,120,32.43,29.61,---,1.31%,均線糾擺,無,無,MA 乖離率僅 0.26%,均線糾擺
3030,德律,288.50,1124,419.50,142.50,---,3.79%,均線糾擺,無,無,MA 乖離率僅 0.61%,均線糾擺
1786,科妍,46.15,291,110.50,46.15,---,3.41%,離開盤整 (向下),無,無,跌破布林下軌 (46.77),離開盤整 (向下)
6677,瑩碩生技,16.85,19,29.05,15.60,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
9802,鈺齊-KY,72.10,567,112.32,69.30,---,---,均線糾擺,無,無,MA 乖離率僅 0.14%,均線糾擺
3219,倚強科,90.40,1214,109.50,51.00,---,0.58%,貼軌運行,無,無,股價於高位貼軌 (90.40 > 1.5σ)，動能強勁,貼軌運行
00918,大華優利高填息30,35.48,103380,35.48,21.28,---,3.92%,強勢突破 (軌外),無,無,股價衝破布林上軌 (35.12)，進入噴發段,強勢突破 (軌外)
7848,騏億鑫,349.00,17,529.00,279.50,---,---,均線糾擺,無,無,MA 乖離率僅 0.24%,均線糾擺
4951,精拓科,79.40,136,140.00,63.70,---,4.65%,均線糾擺,無,無,MA 乖離率僅 0.42%,均線糾擺
3022,威強電,90.40,852,113.00,56.20,---,5.62%,進入盤整,無,無,ADX 為 17.27 (低於 20),進入盤整
4537,旭東,149.50,274,200.00,32.06,---,---,強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (147.17)，進入噴發段,強勢突破 (軌外)
5906,台南-KY,38.00,1,55.80,35.15,---,1.58%,均線糾擺,無,無,MA 乖離率僅 0.54%,均線糾擺
4167,松瑞藥,19.35,470,21.85,16.70,---,2.15%,均線糾擺,無,無,MA 乖離率僅 1.19%,均線糾擺
00641,富邦日本反1,3.68,2557,5.22,3.61,---,---,均線糾擺,無,無,MA 乖離率僅 0.47%,均線糾擺
7842,天能綠電,98.90,33,191.29,75.80,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00912,中信臺灣智慧50,34.90,650,35.82,18.14,---,2.72%,均線糾擺,無,無,MA 乖離率僅 0.75%,均線糾擺
2743,山富,58.80,47,96.20,55.70,---,1.75%,均線糾擺,無,無,MA 乖離率僅 1.02%,均線糾擺
7686,Unknown,485.00,397,520.00,485.00,---,---,資料不足,無,無,缺少 MA5/10/20 指標數據,資料不足
