price,expansion,gm,eps,prev_eps,prev_eps_yoy,symbol,advice,pe,date,om,status,prev_year,est_price,eps_yoy,rev_yoy,name,prev_rev_yoy
149.5,23630.65,N/A,7.46,2.11,16.48,4973.TWO,⚪ 中性觀察,17.124856815578465,2026-03,N/A,🚀 利潤擴張,2025,130.95000000000002,24500.0,869.35,廣穎,-3.19
35.0999984741,6801.67,56.66%,0.7,1.13,-44.61,3669.TW,⚪ 中性觀察,20.892856234583334,2026-03,7.42%,🏰 高護城河,2025,25.199999999999996,6900.0,98.33,圓展,-3.05
81.5,6668.8,N/A,0.81,0.92,222.67,6209.TW,⚠️ 追價風險,35.12931034482759,2026-03,N/A,🚀 利潤擴張,2025,34.8,7900.0,1231.2,今國光,50.65
55.2000007629,4621.74,62.07%,1.41,1.96,590.0,3054.TW,✅ 穩健價值,13.69727066076923,2026-03,-188.65%,🏰 高護城河,2025,60.45,7150.0,2528.26,立萬利,26.61
24.25,3859.43,N/A,3.64,0.05,-73.68,1810.TW,💎 強力關注,6.501340482573727,2026-03,N/A,🚀 利潤擴張,2025,55.95,4133.33,273.9,和成,-6.18
66.0,3393.55,2.38%,0.51,-1.58,-731.58,1301.TW,⚪ 數據不足,0.0,2026-03,-5.76%,🔄 轉虧為盈,2025,-48.45,5000.0,1606.45,台塑,-12.31
11.9499998093,2925.59,27.32%,0.35,0.38,660.0,4924.TWO,✅ 穩健價值,14.57317049914634,2026-03,0.43%,🚀 利潤擴張,2025,12.3,3400.0,474.41,欣厚-KY,3.99
110.5,2635.64,N/A,2.17,0.89,48.33,8042.TWO,⚠️ 追價風險,34.104938271604944,2026-03,N/A,🚀 利潤擴張,2025,48.599999999999994,3200.0,564.36,金山電,9.79
50.7000007629,2554.2799999999997,82.96%,1.43,3.0,0.0,2855.TW,💎 強力關注,7.884914582099533,2026-03,34.40%,🏰 高護城河,2025,96.44999999999999,2960.0,405.72,統一證,3.92
449.5,2382.95,31.80%,1.26,4.0,120.99,3105.TWO,⚠️ 追價風險,76.57580919931857,2026-03,13.87%,🚀 利潤擴張,2025,88.05,3050.0,667.05,穩懋,-4.69
