====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260904 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 15.17      | 🚀 買進           |      +21.35% |     20 |    52.38% | [P:0.52] RSI:52.05|MACD:0.32|KD_Diff:1.39|BIAS_20:3.18
00401A.TW    | 主動摩根台灣鑫收   | 14.13      | ❄️ 空倉          |      +13.11% |     14 |    55.42% | [P:0.41] RSI:60.39|MACD:0.24|KD_Diff:6.04|BIAS_20:3.83
00402A.TW    | 主動安聯美國科技   | 9.51       | 🟢 持股           |       +0.30% |      3 |    46.67% | [P:0.61] [⚠️降級預設] RSI:30.00|MACD:-0.07|KD_Diff:2.31|D_Value:27.26
00403A.TW    | 主動統一升級50   | 10.26      | ❄️ 空倉          |       +5.84% |      6 |    54.93% | [P:0.49] [⚠️降級預設] RSI:46.67|MACD:0.09|KD_Diff:0.17|D_Value:67.35
00404A.TW    | 主動聯博動能50   | 9.86       | ❄️ 空倉          |       -3.89% |      6 |    53.33% | [P:0.39] [⚠️降級預設] RSI:59.50|MACD:0.07|KD_Diff:6.78|D_Value:74.84
00405A.TW    | 主動富邦台灣龍耀   | 8.68       | ❄️ 空倉          |      -12.61% |      2 |    40.00% | [P:0.49] [⚠️降級預設] RSI:47.12|MACD:0.12|KD_Diff:-1.87|D_Value:72.26
00406A.TW    | 主動中信台灣收益   | 9.57       | ❄️ 空倉          |       -3.89% |      4 |    47.50% | [P:0.48] [⚠️降級預設] RSI:42.90|MACD:0.07|KD_Diff:-0.54|D_Value:59.77
00407A.TW    | 主動凱基台灣     | 9.73       | ❄️ 空倉          |       +6.17% |      4 |    56.25% | [P:0.49] [⚠️降級預設] RSI:45.71|MACD:0.13|KD_Diff:-0.70|D_Value:66.94
00408A.TW    | 00408A.TW  | 10.53      | ❄️ 空倉          |       +2.54% |      2 |    47.62% | [P:0.49] [⚠️降級預設] RSI:44.87|MACD:0.11|KD_Diff:3.17|D_Value:69.05
0050.TW      | 元大台灣50     | 107.90     | 🚀 買進           |      +41.94% |     42 |    48.75% | [P:0.52] Vol_Ratio:0.71|BIAS_20:2.14|MA_Slope:0.24|BB_Upper:0.55
0052.TW      | 富邦科技       | 62.70      | 🟢 持股           |      +28.61% |     25 |    51.03% | [P:0.53] MACD:0.54|D_Value:69.87|Vol_Ratio:0.82|BB_Upper:0.68
0053.TW      | 元大電子       | 243.65     | ❄️ 空倉          |      +40.48% |     24 |    48.76% | [P:0.50] [⚠️降級預設] RSI:51.78|MACD:2.50|KD_Diff:0.93|D_Value:69.35
0055.TW      | 元大MSCI金融   | 49.00      | ❄️ 空倉          |      +18.00% |     30 |    51.19% | [P:0.24] [⚠️降級預設] RSI:82.77|MACD:1.24|KD_Diff:5.35|D_Value:88.71
0056.TW      | 元大高股息      | 55.40      | 🟢 持股           |      +13.65% |     33 |    51.33% | [P:0.53] KD_Diff:4.36|Vol_Ratio:0.69|BB_Upper:0.08|MA_Bull:10.00
0061.TW      | 元大寶滬深      | 24.36      | 🟢 持股           |      +12.02% |     13 |    51.78% | [P:0.52] [⚠️降級預設] RSI:36.44|MACD:-0.16|KD_Diff:4.94|D_Value:42.73
006201.TWO   | 元大富櫃50     | 44.18      | 💥 賣出           |      +66.72% |     53 |    50.15% | [P:0.48] Vol_Ratio:1.16|MA_Slope:0.18|BB_Upper:4.19|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 195.80     | 🚀 買進           |      +25.77% |     56 |    50.95% | [P:0.56] KD_Diff:3.42|D_Value:73.24|Vol_Ratio:1.36|MA_Bull:10.00
006205.TW    | 富邦上証       | 40.78      | 🚀 買進           |       +3.67% |     18 |    51.91% | [P:0.50] [⚠️降級預設] RSI:42.99|MACD:-0.13|KD_Diff:10.43|D_Value:60.69
006208.TW    | 富邦台50      | 247.25     | 🟢 持股           |      +47.83% |     23 |    50.12% | [P:0.60] MACD:2.39|D_Value:74.89|Vol_Ratio:0.84|BIAS_20:2.14
00631L.TW    | 元大台灣50正2   | 36.64      | 🚀 買進           |      +10.46% |     24 |    50.07% | [P:0.53] KD_Diff:2.10|BIAS_20:3.41|MA_Slope:0.42|BB_Upper:1.52
00632R.TW    | 元大台灣50反1   | 9.81       | ❄️ 空倉          |       +3.77% |     12 |    57.10% | [P:0.43] MACD:-0.14|D_Value:25.81|BIAS_20:-2.24|MA_Slope:-0.27
00633L.TW    | 富邦上証正2     | 48.87      | ❄️ 空倉          |       +0.14% |     28 |    49.30% | [P:0.49] MACD:-0.41|KD_Diff:5.44|MA_Slope:-0.19|BB_Upper:4.95
00634R.TW    | 富邦上証反1     | 3.11       | ❄️ 空倉          |      -12.23% |     26 |    52.59% | [P:0.40] KD_Diff:-5.57|D_Value:59.10|Vol_Ratio:0.10|MA_Slope:0.10
00635U.TW    | 期元大S&P黃金   | 46.21      | ❄️ 空倉          |      +35.35% |     36 |    51.79% | [P:0.46] MACD:0.58|D_Value:44.13|Vol_Ratio:0.57|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 20.12      | 🚀 買進           |       +1.25% |     26 |    49.98% | [P:0.54] MACD:-0.22|KD_Diff:5.85|BIAS_20:-0.88|BB_Upper:5.87
00638R.TW    | 元大滬深300反1  | 6.64       | ❄️ 空倉          |       -4.13% |     10 |    53.03% | [P:0.42] RSI:58.02|MACD:0.01|KD_Diff:-1.56|D_Value:52.28
00639.TW     | 富邦深100     | 16.10      | 🟢 持股           |       +6.46% |     15 |    50.00% | [P:0.72] [⚠️降級預設] RSI:23.21|MACD:-0.29|KD_Diff:-3.44|D_Value:15.70
00640L.TW    | 富邦日本正2     | 108.50     | ❄️ 空倉          |       -2.09% |     40 |    50.13% | [P:0.40] RSI:41.13|D_Value:55.33|Vol_Ratio:0.84|BIAS_20:-0.77
00641R.TW    | 富邦日本反1     | 3.67       | ❄️ 空倉          |       +1.77% |     36 |    56.40% | [P:0.43] RSI:55.26|KD_Diff:10.62|BIAS_20:-0.01|MA_Slope:-0.08
00642U.TW    | 期元大S&P石油   | 30.27      | 🟢 持股           |     +133.47% |     57 |    52.84% | [P:0.58] RSI:71.80|D_Value:75.33|Vol_Ratio:1.08|MA_Slope:0.80
00643.TW     | 群益深証中小     | 18.14      | 🟢 持股           |       +4.81% |      9 |    49.44% | [P:0.70] [⚠️降級預設] RSI:26.88|MACD:-0.24|KD_Diff:-6.63|D_Value:29.58
00645.TW     | 富邦日本       | 58.00      | ❄️ 空倉          |       +7.95% |     18 |    49.60% | [P:0.46] [⚠️降級預設] RSI:42.74|MACD:0.28|KD_Diff:-9.23|D_Value:56.40
00646.TW     | 元大S&P500   | 77.55      | 🟢 持股           |      +17.17% |     43 |    49.79% | [P:0.57] KD_Diff:18.82|D_Value:31.99|BIAS_20:0.21|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 3.88       | ❄️ 空倉          |       -2.30% |     14 |    57.82% | [P:0.44] MACD:-0.02|D_Value:56.05|BIAS_20:-0.79|MA_Slope:-0.04
00650L.TW    | 復華香港正2     | 17.48      | ❄️ 空倉          |       +0.05% |     40 |    49.69% | [P:0.43] RSI:53.14|MACD:0.03|MA_Slope:0.00|MA_Bull:0.00
00651R.TW    | 復華香港反1     | 5.11       | ❄️ 空倉          |       +9.98% |     20 |    52.96% | [P:0.43] RSI:46.55|D_Value:57.63|BIAS_20:-0.97|MA_Slope:-0.06
00653L.TW    | 富邦印度正2     | 45.88      | 💥 賣出           |       +9.14% |     47 |    48.99% | [P:0.31] RSI:38.10|KD_Diff:-1.80|Vol_Ratio:0.27|BB_Upper:5.94
00654R.TW    | 富邦印度反1     | 6.76       | ❄️ 空倉          |       +7.26% |     32 |    53.07% | [P:0.46] RSI:61.22|D_Value:66.70|BIAS_20:0.93|MA_Slope:0.13
00655L.TW    | 國泰中國A50正2  | 34.00      | 🟢 持股           |      +19.43% |     53 |    51.01% | [P:0.60] RSI:40.41|Vol_Ratio:0.53|MA_Slope:-0.22|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.84       | ❄️ 空倉          |       +2.00% |     14 |    53.81% | [P:0.46] RSI:58.62|D_Value:60.38|MA_Slope:0.05|BB_Upper:1.78
00657K.TW    | 國泰日經225+U  | 24.23      | 🟢 持股           |      +37.53% |     49 |    50.50% | [P:0.61] RSI:32.14|KD_Diff:-2.06|BIAS_20:-1.61|MA_Bull:0.00
00660.TW     | 元大歐洲50     | 46.67      | 🟢 持股           |      +20.02% |     41 |    52.57% | [P:0.54] RSI:28.81|MACD:0.02|D_Value:48.77|MA_Bull:0.00
00662.TW     | 富邦NASDAQ   | 120.55     | 💥 賣出           |      +13.97% |     47 |    50.38% | [P:0.44] RSI:36.32|KD_Diff:16.01|MA_Slope:-0.05|MA_Bull:0.00
00663L.TW    | 國泰臺灣加權正2   | 106.25     | 🟢 持股           |     +100.10% |     39 |    49.31% | [P:0.61] RSI:53.83|D_Value:71.58|Vol_Ratio:0.73|MA_Slope:0.47
00664R.TW    | 國泰臺灣加權反1   | 1.59       | ❄️ 空倉          |       +0.00% |      2 |    59.19% | [P:0.43] RSI:44.00|MACD:-0.02|D_Value:26.05|Vol_Ratio:0.53
00665L.TW    | 富邦�琤肭磪囓�2  | 9.63       | ❄️ 空倉          |       +3.82% |     34 |    53.38% | [P:0.39] RSI:54.40|MACD:0.03|Vol_Ratio:1.40|MA_Slope:0.00
00666R.TW    | 富邦�琤肭磪齯�1  | 8.94       | 🚀 買進           |       +6.37% |     20 |    53.46% | [P:0.50] RSI:45.79|D_Value:59.74|MA_Slope:-0.04|BB_Upper:2.53
