日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-09-11,2317,鴻海,251.0,241.21,2000,19580,4.06%
2026-09-11,4142,國光生,17.5,25.32,1000,-7820,-30.88%
2026-09-11,0050,元大台灣50,109.65,46.6,16000,1008800,135.30%
2026-09-11,0056,元大高股息,55.75,36.43,4000,77280,53.03%
2026-09-11,00635U,期元大S&P黃金,45.69,55.25,3000,-28680,-17.30%
2026-09-11,00738U,期元大道瓊白銀,52.8,66.26,1000,-13460,-20.31%
2026-09-11,00929,復華台灣科技優息,28.89,19.73,8000,73280,46.43%
2026-09-11,009816,凱基台灣TOP50,16.12,11.01,63000,321930,46.41%
2026-09-11,00990A,主動元大AI新經濟,15.12,11.48,5000,18200,31.71%
2026-09-11,2009,第一銅,40.25,50.56,4000,-41240,-20.39%
2026-09-11,2337,旺宏,122.5,95.28,2000,54440,28.57%
2026-09-11,2409,友達,31.2,16.21,2000,29980,92.47%
2026-09-11,3481,群創,49.35,25.1,4000,97000,96.61%
2026-09-11,3105,穩懋,461.5,556.47,300,-28491,-17.07%
2026-09-11,4966,譜瑞-KY,540.0,1921.64,1000,-1381640,-71.90%
2026-09-11,2327,國巨*,572.0,1030.0,1,-458,-44.47%
2026-09-11,00403A,主動統一升級50,10.24,10.68,26000,-11440,-4.12%
2026-09-11,00981A,主動統一台股增長,29.73,27.48,2000,4500,8.19%
2026-09-11,2330,台積電,2450.0,225.55,10,22244,986.23%
2026-09-11,6789,采鈺,469.5,593.5,400,-49600,-20.89%
2026-09-11,6849,奇鼎科技,190.5,266.4,280,-21252,-28.49%
2026-09-11,7853,政美應用,319.0,409.29,280,-25281,-22.06%
2026-09-11,3576,聯合再生,16.65,18.15,5000,-7500,-8.26%
2026-09-11,1721,三晃,23.35,27.88,3000,-13600,-16.26%
2026-09-11,8215,明基材,25.05,31.6,200,-1310,-20.73%
2026-09-11,00405A,主動富邦台灣龍耀,8.71,9.34,11000,-6930,-6.75%
2026-09-11,5498,凱崴,52.6,69.61,188,-3198,-24.44%
2026-09-11,1301,台塑,65.6,50.5,100,1510,29.90%
2026-09-11,6498,久禾光,70.2,67.3,12,35,4.31%
2026-09-11,009821,野村稀土關鍵資源,15.02,17.3,12000,-27360,-13.18%
