eps,prev_eps_yoy,prev_rev_yoy,name,symbol,pe,price,expansion,est_price,eps_yoy,rev_yoy,om,advice,prev_eps,gm,date,status,prev_year
7.46,16.48,-3.19,廣穎,4973.TWO,15.807560137457044,138.0,23630.65,130.95000000000002,24500.0,869.35,N/A,✅ 穩健價值,2.11,N/A,2026-03,🚀 利潤擴張,2025
0.7,-44.61,-3.05,圓展,3669.TW,19.255951472678575,32.3499984741,6801.67,25.199999999999996,6900.0,98.33,7.42%,⚪ 中性觀察,1.13,56.66%,2026-03,🏰 高護城河,2025
0.81,222.67,50.65,今國光,6209.TW,32.974137931034484,76.5,6668.8,34.8,7900.0,1231.2,N/A,⚠️ 追價風險,0.92,N/A,2026-03,🚀 利潤擴張,2025
1.41,590.0,26.61,立萬利,3054.TW,13.846153656848635,55.7999992371,4621.74,60.45,7150.0,2528.26,-188.65%,✅ 穩健價值,1.96,62.07%,2026-03,🏰 高護城河,2025
3.64,-73.68,-6.18,和成,1810.TW,6.380696846407506,23.7999992371,3859.43,55.95,4133.33,273.9,N/A,💎 強力關注,0.05,N/A,2026-03,🚀 利潤擴張,2025
0.51,-731.58,-12.31,台塑,1301.TW,0.0,62.9000015259,3393.55,-48.45,5000.0,1606.45,-5.76%,⚪ 數據不足,-1.58,2.38%,2026-03,🔄 轉虧為盈,2025
0.35,660.0,3.99,欣厚-KY,4924.TWO,15.000000232560975,12.3000001907,2925.59,12.3,3400.0,474.41,0.43%,✅ 穩健價值,0.38,27.32%,2026-03,🚀 利潤擴張,2025
2.17,48.33,9.79,金山電,8042.TWO,34.25925925925926,111.0,2635.64,48.599999999999994,3200.0,564.36,N/A,⚠️ 追價風險,0.89,N/A,2026-03,🚀 利潤擴張,2025
1.43,0.0,3.92,統一證,2855.TW,8.227060890497668,52.9000015259,2554.2799999999997,96.44999999999999,2960.0,405.72,34.40%,💎 強力關注,3.0,82.96%,2026-03,🏰 高護城河,2025
1.26,120.99,-4.69,穩懋,3105.TWO,75.63884156729131,444.0,2382.95,88.05,3050.0,667.05,13.87%,⚠️ 追價風險,4.0,31.80%,2026-03,🚀 利潤擴張,2025
9.37,41.38,12.31,新紡,1419.TW,3.6398467432950183,66.5,2337.34,274.05000000000007,2733.33,395.99,10.89%,💎 強力關注,4.11,27.15%,2026-03,🚀 利潤擴張,2025
0.29,175.0,10.09,一詮,2486.TW,384.4262295081967,234.5,2173.63,9.150000000000002,2900.0,726.37,1.35%,⚠️ 追價風險,0.22,15.86%,2026-03,🚀 利潤擴張,2025
0.4,110.31,13.61,虹光,2380.TW,7.327586206896551,17.0,1694.01,34.800000000000004,1900.0,205.99,0.24%,💎 強力關注,0.72,24.41%,2026-03,🚀 利潤擴張,2025
0.35,-92.39,-5.25,嘉晶,3016.TW,592.1052631578949,112.5,1630.13,2.849999999999999,3400.0,1769.87,4.89%,⚠️ 追價風險,0.07,11.81%,2026-03,🚀 利潤擴張,2025
1.8,35.71,0.12,南亞,1303.TW,125.8064516129032,234.0,1516.21,27.900000000000006,2900.0,1383.79,2.06%,⚠️ 追價風險,0.57,9.25%,2026-03,🚀 利潤擴張,2025
1.48,275.0,-14.09,映泰,2399.TW,36.20967864991936,44.9000015259,1335.3100000000002,18.599999999999998,2366.67,1031.36,-12.67%,⚠️ 追價風險,0.15,8.40%,2026-03,🚀 利潤擴張,2025
0.23,50.0,-4.5,永純,4711.TWO,31.764707378235293,16.2000007629,1225.03,7.65,2200.0,974.97,2.47%,⚠️ 追價風險,0.15,14.61%,2026-03,🚀 利潤擴張,2025
0.17,250.0,-0.24,中纖,1718.TW,25.73170778219512,10.5500001907,1157.6399999999999,6.15,1300.0,142.36,18.72%,⚠️ 追價風險,0.09,41.46%,2026-03,🚀 利潤擴張,2025
0.48,406.67,49.68,倚強科,3219.TWO,18.911110772022223,85.0999984741,1154.09,67.5,1275.0,120.91,-15.39%,⚪ 中性觀察,1.52,69.49%,2026-03,🏰 高護城河,2025
0.17,-17.95,9.81,邑昇,5291.TWO,77.70270270270271,57.5,1063.6100000000001,11.1,1600.0,536.39,N/A,⚠️ 追價風險,0.31,N/A,2026-03,🚀 利潤擴張,2025
0.6,-6.25,4.27,星通,3025.TW,9.65583173996176,50.5,982.33,78.44999999999999,1100.0,117.67,43.45%,💎 強力關注,3.45,68.55%,2026-03,🏰 高護城河,2025
27.0,110.31,2.46,十銓,4967.TW,6.12541993281075,273.5,807.1099999999999,669.75,2600.0,1792.89,N/A,💎 強力關注,13.06,N/A,2026-03,🚀 利潤擴張,2025
0.78,46.43,21.27,所羅門,2359.TW,107.2033898305085,126.5,733.74,17.699999999999996,1014.29,280.55,2.82%,⚠️ 追價風險,1.23,24.10%,2026-03,🚀 利潤擴張,2025
1.64,-566.18,-40.26,中化生,1762.TW,0.0,33.5,714.3499999999999,-85.05,1211.11,496.76,-143.69%,⚪ 數據不足,-4.39,-78.82%,2026-03,🔄 轉虧為盈,2025
7.22,-51.41,8.08,晶豪科,3006.TW,111.77685950413226,270.5,648.6500000000001,36.29999999999999,2666.67,2018.02,20.25%,⚠️ 追價風險,0.87,32.33%,2026-03,🚀 利潤擴張,2025
0.24,-266.0,-10.95,盟立,2464.TW,0.0,175.5,589.77,-26.55,1100.0,510.23,-3.37%,⚪ 數據不足,-0.84,17.62%,2026-03,🔄 轉虧為盈,2025
18.93,140.33,69.84,創見,2451.TW,7.002300025555839,274.0,583.2200000000003,586.95,2067.82,1484.6,55.59%,💎 強力關注,12.98,61.62%,2026-03,🏰 高護城河,2025
2.12,89.09,58.31,台鋼建設,3521.TWO,6.224489698622447,12.1999998093,582.14,29.400000000000006,806.67,224.53,-147.39%,💎 強力關注,-0.07,-40.24%,2026-03,🔄 轉虧為盈,2025
1.86,-68.84,-44.61,南港,2101.TW,14.779411577696079,30.1499996185,579.1500000000001,30.6,1763.64,1184.49,4.39%,✅ 穩健價值,1.01,20.96%,2026-03,🚀 利潤擴張,2025
