id,name,price,signal,pnl,count,win_rate,reason
6849.TWO,奇鼎科技,198.0,💎 持股,145.7,7,71.43,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
4973.TWO,廣穎,138.0,☁️ 觀望,139.88,7,85.71,[P:0.95/8.0] [📉 轉弱] 等待機會
7853.TWO,政美應用,322.0,💎 持股,96.82,7,57.14,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
6770.TW,力積電,70.6999969482,💎 持股,94.12,9,55.56,[📈 標準 V3] [P:0.95/8.0] [📉 轉弱] 趨勢維持
3430.TWO,奇鈦科,100.5,☁️ 觀望,81.01,6,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
4967.TW,十銓,273.5,☁️ 觀望,79.83,7,28.57,[P:0.95/8.0] [📈 穩定] 等待機會
6407.TWO,相互,22.7999992371,☁️ 觀望,58.78,7,28.57,[P:0.95/8.0] [📈 穩定] 等待機會
00929.TW,復華台灣科技優息,28.6000003815,❄️ 賣出,30.61,9,22.22,[P:0.95/8.0] [📉 轉弱] 今日觸發 TrendDead
00990A.TW,主動元大AI新經濟,14.6000003815,☁️ 觀望,20.85,4,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
4956.TW,光鋐,33.4000015259,☁️ 觀望,15.47,7,42.86,[P:0.95/8.0] [🚀 極強] 等待機會
0052.TW,富邦科技,61.9000015259,❄️ 賣出,-29.7,7,57.14,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢轉弱(強制)
5276.TWO,達輝-KY,17.6499996185,☁️ 觀望,-47.02,9,11.11,[P:0.95/8.0] [📉 轉弱] 等待機會
