status,prev_eps_yoy,advice,prev_eps,prev_rev_yoy,eps_yoy,date,om,est_price,eps,pe,name,prev_year,gm,rev_yoy,expansion,symbol,price
🚀 利潤擴張,16.48,✅ 穩健價值,2.11,-3.19,24500.0,2026-03,N/A,130.95000000000002,7.46,15.922107674684993,廣穎,2025,N/A,869.35,23630.65,4973.TWO,139.0
🏰 高護城河,-44.61,⚪ 中性觀察,1.13,-3.05,6900.0,2026-03,7.42%,25.199999999999996,0.7,19.2857151939881,圓展,2025,56.66%,98.33,6801.67,3669.TW,32.4000015259
🚀 利潤擴張,222.67,⚠️ 追價風險,0.92,50.65,7900.0,2026-03,N/A,34.8,0.81,34.48275862068966,今國光,2025,N/A,1231.2,6668.8,6209.TW,80.0
🏰 高護城河,590.0,✅ 穩健價值,1.96,26.61,7150.0,2026-03,-188.65%,60.45,1.41,13.796525675955333,立萬利,2025,62.07%,2528.26,4621.74,3054.TW,55.5999984741
🚀 利潤擴張,-73.68,💎 強力關注,0.05,-6.18,4133.33,2026-03,N/A,55.95,3.64,6.3002680965147455,和成,2025,N/A,273.9,3859.43,1810.TW,23.5
🔄 轉虧為盈,-731.58,⚪ 數據不足,-1.58,-12.31,5000.0,2026-03,-5.76%,-48.45,0.51,0.0,台塑,2025,2.38%,1606.45,3393.55,1301.TW,62.4000015259
🚀 利潤擴張,660.0,⚪ 中性觀察,0.38,3.99,3400.0,2026-03,0.43%,12.3,0.35,17.68292682926829,欣厚-KY,2025,27.32%,474.41,2925.59,4924.TWO,14.5
🚀 利潤擴張,48.33,⚠️ 追價風險,0.89,9.79,3200.0,2026-03,N/A,48.599999999999994,2.17,35.18518518518519,金山電,2025,N/A,564.36,2635.64,8042.TWO,114.0
🏰 高護城河,0.0,💎 強力關注,3.0,3.92,2960.0,2026-03,34.40%,96.44999999999999,1.43,8.024883121944013,統一證,2025,82.96%,405.72,2554.2799999999997,2855.TW,51.5999984741
🚀 利潤擴張,120.99,⚠️ 追價風險,4.0,-4.69,3050.0,2026-03,13.87%,88.05,1.26,80.49403747870528,穩懋,2025,31.80%,667.05,2382.95,3105.TWO,472.5
🚀 利潤擴張,41.38,💎 強力關注,4.11,12.31,2733.33,2026-03,10.89%,274.05000000000007,9.37,3.5851122058018605,新紡,2025,27.15%,395.99,2337.34,1419.TW,65.5
🚀 利潤擴張,175.0,⚠️ 追價風險,0.22,10.09,2900.0,2026-03,1.35%,9.150000000000002,0.29,376.22950819672127,一詮,2025,15.86%,726.37,2173.63,2486.TW,229.5
🚀 利潤擴張,110.31,💎 強力關注,0.72,13.61,1900.0,2026-03,0.24%,34.800000000000004,0.4,7.241378981508619,虹光,2025,24.41%,205.99,1694.01,2380.TW,16.7999992371
🚀 利潤擴張,-92.39,⚠️ 追價風險,0.07,-5.25,3400.0,2026-03,4.89%,2.849999999999999,0.35,607.8947368421054,嘉晶,2025,11.81%,1769.87,1630.13,3016.TW,115.5
🚀 利潤擴張,35.71,⚠️ 追價風險,0.57,0.12,2900.0,2026-03,2.06%,27.900000000000006,1.8,120.4301075268817,南亞,2025,9.25%,1383.79,1516.21,1303.TW,224.0
🚀 利潤擴張,275.0,⚠️ 追價風險,0.15,-14.09,2366.67,2026-03,-12.67%,18.599999999999998,1.48,38.14516067508065,映泰,2025,8.40%,1031.36,1335.3100000000002,2399.TW,47.2999992371
🚀 利潤擴張,50.0,⚠️ 追價風險,0.15,-4.5,2200.0,2026-03,2.47%,7.65,0.23,32.35294117647059,永純,2025,14.61%,974.97,1225.03,4711.TWO,16.5
🚀 利潤擴張,250.0,⚠️ 追價風險,0.09,-0.24,1300.0,2026-03,18.72%,6.15,0.17,25.609756097560975,中纖,2025,41.46%,142.36,1157.6399999999999,1718.TW,10.5
🏰 高護城河,406.67,⚪ 中性觀察,1.52,49.68,1275.0,2026-03,-15.39%,67.5,0.48,18.333333333333332,倚強科,2025,69.49%,120.91,1154.09,3219.TWO,82.5
🚀 利潤擴張,-17.95,⚠️ 追價風險,0.31,9.81,1600.0,2026-03,N/A,11.1,0.17,78.64864967959458,邑昇,2025,N/A,536.39,1063.6100000000001,5291.TWO,58.2000007629
🏰 高護城河,-6.25,💎 強力關注,3.45,4.27,1100.0,2026-03,43.45%,78.44999999999999,0.6,9.674951907093691,星通,2025,68.55%,117.67,982.33,3025.TW,50.5999984741
🚀 利潤擴張,110.31,💎 強力關注,13.06,2.46,2600.0,2026-03,N/A,669.75,27.0,6.159014557670773,十銓,2025,N/A,1792.89,807.1099999999999,4967.TW,275.0
🚀 利潤擴張,46.43,⚠️ 追價風險,1.23,21.27,1014.29,2026-03,2.82%,17.699999999999996,0.78,109.74576271186443,所羅門,2025,24.10%,280.55,733.74,2359.TW,129.5
🔄 轉虧為盈,-566.18,⚪ 數據不足,-4.39,-40.26,1211.11,2026-03,-143.69%,-85.05,1.64,0.0,中化生,2025,-78.82%,496.76,714.3499999999999,1762.TW,33.6500015259
🚀 利潤擴張,-51.41,⚠️ 追價風險,0.87,8.08,2666.67,2026-03,20.25%,36.29999999999999,7.22,116.11570247933886,晶豪科,2025,32.33%,2018.02,648.6500000000001,3006.TW,281.0
🔄 轉虧為盈,-266.0,⚪ 數據不足,-0.84,-10.95,1100.0,2026-03,-3.37%,-26.55,0.24,0.0,盟立,2025,17.62%,510.23,589.77,2464.TW,183.0
🏰 高護城河,140.33,💎 強力關注,12.98,69.84,2067.82,2026-03,55.59%,586.95,18.93,7.219524661385126,創見,2025,61.62%,1484.6,583.2200000000003,2451.TW,282.5
🔄 轉虧為盈,89.09,💎 強力關注,-0.07,58.31,806.67,2026-03,-147.39%,29.400000000000006,2.12,6.147959280969387,台鋼建設,2025,-40.24%,224.53,582.14,3521.TWO,12.0500001907
🚀 利潤擴張,-68.84,✅ 穩健價值,1.01,-44.61,1763.64,2026-03,4.39%,30.6,1.86,14.632353128186274,南港,2025,20.96%,1184.49,579.1500000000001,2101.TW,29.8500003815
🔄 轉虧為盈,-197.14,⚪ 數據不足,-1.02,-2.21,1100.0,2026-03,-1.97%,-36.6,0.2,0.0,高鋒,2025,14.87%,543.13,556.87,4510.TWO,42.5
🚀 利潤擴張,-40.68,⚠️ 追價風險,0.7,-19.66,1200.0,2026-03,8.69%,15.75,0.26,37.04762050085714,微端,2025,28.61%,688.27,511.73,3285.TWO,38.9000015259
🚀 利潤擴張,222.58,⚠️ 追價風險,1.58,20.92,530.77,2026-03,N/A,52.05,1.64,36.16714697406341,GOGOLOOK,2025,N/A,43.25,487.52,6902.TW,125.5
🔄 轉虧為盈,74.6,⚪ 數據不足,-0.16,5.06,820.0,2026-03,N/A,-7.499999999999999,0.46,0.0,鑫永洋,2025,N/A,335.75,484.25,6241.TWO,15.6000003815
🚀 利潤擴張,-42.59,⚠️ 追價風險,0.31,-6.1,1200.0,2026-03,N/A,8.850000000000001,0.22,33.559320740847454,綠電,2025,N/A,727.58,472.41999999999996,8440.TWO,19.7999992371
🧐 疑業外收益,-1.45,⚪ 數據不足,2.72,-41.11,418.92,2026-03,-0.34%,0.0,1.21,0.0,富田-創,2025,30.54%,-25.82,444.74,4590.TW,88.1999969482
🚀 利潤擴張,-34.67,⚠️ 追價風險,0.49,11.66,600.0,2026-03,11.05%,17.400000000000002,0.25,38.10344893353447,麗正,2025,36.04%,187.7,412.3,2302.TW,44.2000007629
🚀 利潤擴張,576.92,⚠️ 追價風險,0.88,9.55,1037.5,2026-03,15.37%,40.8,2.25,62.13235294117648,華邦電,2025,41.86%,646.87,390.63,2344.TW,169.0
🚀 利潤擴張,5.88,⚪ 數據不足,1.44,28.36,387.5,2026-03,N/A,0.0,0.41,0.0,宏�砦C戲-創,2025,N/A,6.45,381.05,6908.TW,30.1000003815
🚀 利潤擴張,-49.65,⚪ 中性觀察,2.19,-15.3,715.79,2026-03,N/A,81.60000000000001,1.59,21.783088235294116,應廣,2025,N/A,359.78,356.01,6716.TWO,118.5
🚀 利潤擴張,207.35,⚠️ 追價風險,0.73,9.95,380.0,2026-03,N/A,19.499999999999996,0.24,22.115384615384617,寶碩,2025,N/A,37.41,342.59000000000003,5210.TWO,28.75
🔄 轉虧為盈,90.52,⚪ 數據不足,-0.2,25.85,1090.0,2026-03,N/A,-8.4,0.99,0.0,鈺鎧,2025,N/A,750.53,339.47,5228.TWO,39.3499984741
🚀 利潤擴張,1.73,💎 強力關注,2.35,5.96,517.65,2026-03,N/A,92.55,1.42,11.215558662593192,亞洲藏壽司,2025,N/A,179.43,338.21999999999997,2754.TWO,69.1999969482
🚀 利潤擴張,170.59,⚠️ 追價風險,0.92,-3.75,550.0,2026-03,14.30%,26.4,0.13,46.250000866988636,旭然,2025,42.07%,237.41,312.59000000000003,4556.TWO,81.4000015259
🚀 利潤擴張,-29.63,✅ 穩健價值,0.57,-5.82,650.0,2026-03,7.94%,25.95,0.15,13.46820765150289,協禧,2025,30.11%,343.32,306.68,3071.TWO,23.2999992371
🚀 利潤擴張,3.78,✅ 穩健價值,41.98,23.29,1143.3,2026-03,N/A,2097.2999999999997,68.8,14.196824488628238,群聯,2025,N/A,849.86,293.43999999999994,8299.TWO,1985.0
🔄 轉虧為盈,-150.59,⚪ 數據不足,-0.43,-14.91,546.67,2026-03,N/A,-2.2499999999999996,0.67,0.0,慧智,2025,N/A,270.3,276.36999999999995,6615.TWO,33.5499992371
🚀 利潤擴張,550.0,⚪ 數據不足,0.18,0.1,640.0,2026-03,N/A,-9.150000000000002,0.27,0.0,康舒,2025,N/A,371.03,268.97,6282.TW,42.6500015259
🔄 轉虧為盈,55.83,⚪ 數據不足,-0.76,5.03,445.45,2026-03,N/A,-20.1,0.38,0.0,三貝德,2025,N/A,186.87,258.58,8489.TWO,21.6499996185
🚀 利潤擴張,8050.0,💎 強力關注,1.77,0.89,701.79,2026-03,8.07%,120.3,4.49,11.70822961669576,事欣科,2025,18.73%,473.51,228.27999999999997,4916.TW,93.9000015259
🚀 利潤擴張,-66.67,💎 強力關注,0.88,-3.15,518.75,2026-03,N/A,44.1,2.97,5.323129121938776,銘旺實,2025,N/A,292.4,226.35000000000002,4432.TWO,15.6499996185
🚀 利潤擴張,51.72,💎 強力關注,0.88,-61.59,350.0,2026-03,-88.29%,14.700000000000001,0.45,9.55102005785714,中美實,2025,35.38%,132.31,217.69,4702.TWO,9.3599996567
🚀 利潤擴張,33.97,💎 強力關注,13.25,5.83,512.9,2026-03,N/A,493.65000000000003,3.8,4.314797933758736,東哥遊艇,2025,N/A,297.67,215.22999999999996,8478.TW,142.0
🚀 利潤擴張,-21.15,💎 強力關注,1.65,3.39,925.0,2026-03,8.70%,76.65,0.66,7.299412766555773,大亞,2025,13.61%,713.51,211.49,1609.TW,37.2999992371
🚀 利潤擴張,-80.0,⚪ 數據不足,0.08,3.55,213.33,2026-03,7.12%,0.0,0.47,0.0,聯嘉投控,2025,19.34%,26.54,186.79000000000002,3717.TW,21.9500007629
🔄 轉虧為盈,-280.2,⚪ 數據不足,-1.82,-10.9,266.67,2026-03,N/A,-43.199999999999996,0.33,0.0,巨虹,2025,N/A,80.73,185.94,8084.TWO,41.4500007629
🚀 利潤擴張,25.64,💎 強力關注,2.02,18.23,728.13,2026-03,14.85%,94.05,2.65,7.503987119154706,東浦,2025,30.40%,542.69,185.43999999999994,3290.TWO,47.0499992371
🔄 轉虧為盈,-177.27,⚪ 數據不足,-0.17,-15.68,550.0,2026-03,N/A,-7.95,0.09,0.0,同協,2025,N/A,385.95,164.05,5460.TWO,16.7999992371
🚀 利潤擴張,1640.0,⚪ 數據不足,1.54,32.98,276.67,2026-03,N/A,0.0,0.53,0.0,未知,2025,N/A,116.02,160.65000000000003,4582.TWO,0.0
🚀 利潤擴張,1640.0,⚪ 數據不足,1.54,32.98,276.67,2026-03,N/A,0.0,0.53,0.0,聚恆-創,2025,N/A,116.02,160.65000000000003,4582.TW,22.2999992371
🔄 轉虧為盈,-219.05,⚪ 數據不足,-0.25,-2.43,700.0,2026-03,-2.91%,-6.6,0.06,0.0,鼎元,2025,10.78%,542.01,157.99,2426.TW,99.8000030518
🔄 轉虧為盈,54.55,⚪ 數據不足,-0.19,2.69,264.29,2026-03,8.42%,-25.049999999999997,0.28,0.0,圓剛,2025,56.31%,108.24,156.05,2417.TW,38.2999992371
🔄 轉虧為盈,-125.22,⚠️ 追價風險,-0.29,-4.25,366.67,2026-03,N/A,1.050000000000001,0.28,139.7142818999999,成霖,2025,N/A,214.33,152.34,9934.TW,9.779999733
🚀 利潤擴張,-77.02,⚠️ 追價風險,1.09,7.13,323.08,2026-03,N/A,32.250000000000014,1.1,29.20930197074418,六角,2025,N/A,180.76,142.32,2732.TWO,62.7999992371
🚀 利潤擴張,-38.68,✅ 穩健價值,2.88,5.8,442.11,2026-03,N/A,96.15,1.03,14.227768634664585,醫揚,2025,N/A,307.94,134.17000000000002,6569.TWO,91.1999969482
🚀 利潤擴張,921.74,⚪ 中性觀察,2.35,17.09,406.45,2026-03,N/A,85.05,1.57,19.312169312169313,凌華,2025,N/A,273.28,133.17000000000002,6166.TW,109.5
🏰 高護城河,884.75,⚠️ 追價風險,4.66,82.29,645.65,2026-03,41.27%,183.0,3.44,229.91803278688525,聯亞,2025,54.76%,515.18,130.47000000000003,3081.TWO,2805.0
🚀 利潤擴張,-20.59,💎 強力關注,6.21,-14.96,228.49,2026-03,N/A,172.05,2.21,6.084621066931125,奇偶,2025,N/A,113.17,115.32000000000001,3356.TW,69.7906036377
🚀 利潤擴張,-84.51,⚪ 數據不足,0.33,-4.81,383.33,2026-03,N/A,-7.200000000000001,0.29,0.0,美達科技,2025,N/A,268.59,114.74000000000001,6735.TWO,61.2999992371
🏰 高護城河,-365.71,⚪ 數據不足,-1.63,-7.78,87.5,2026-03,-12.62%,-33.6,-0.02,0.0,益航,2025,102.69%,-21.56,109.06,2601.TW,6.2100000381
🚀 利潤擴張,-45.51,⚠️ 追價風險,1.73,-5.33,270.0,2026-03,N/A,50.699999999999996,0.37,50.0,暉盛-創,2025,N/A,161.56,108.44,7730.TW,169.0
🚀 利潤擴張,152.83,⚪ 數據不足,2.15,-16.81,163.46,2026-03,N/A,-40.05,0.66,0.0,麗嬰房,2025,N/A,67.27,96.19000000000001,2911.TW,6.4000000954
🏰 高護城河,-46.91,⚠️ 追價風險,0.43,-7.4,150.0,2026-03,12.73%,13.05,0.3,25.40229928908046,網龍,2025,87.57%,57.36,92.64,3083.TWO,22.1000003815
🚀 利潤擴張,104.41,✅ 穩健價值,1.39,14.16,1080.0,2026-03,N/A,44.550000000000004,0.49,13.232322975454545,青松健康,2025,N/A,990.52,89.48000000000002,6931.TW,39.2999992371
🔄 轉虧為盈,-169.49,⚪ 數據不足,-0.84,-18.58,575.0,2026-03,-21.33%,-24.299999999999994,0.28,0.0,宏佳騰,2025,16.92%,486.21,88.79000000000002,1599.TWO,22.8999996185
🔄 轉虧為盈,17.57,⚪ 數據不足,-0.61,0.19,166.67,2026-03,-58.34%,-18.3,0.06,0.0,中裕,2025,28.91%,81.97,84.69999999999999,4147.TWO,60.7999992371
🚀 利潤擴張,-51.9,💎 強力關注,2.41,-14.02,186.6,2026-03,13.17%,97.8,2.78,6.610429213819018,昭輝,2025,33.66%,102.97,83.63,1339.TW,43.0999984741
🚀 利潤擴張,78.06,✅ 穩健價值,3.02,15.32,392.86,2026-03,3.76%,81.9,0.7,12.454212454212454,偉詮電,2025,30.84%,309.82,83.04000000000002,2436.TW,68.0
🚀 利潤擴張,-50.67,⚠️ 追價風險,1.11,-8.83,178.26,2026-03,N/A,45.449999999999996,0.64,31.551154611914196,威鋒電子,2025,N/A,97.11,81.14999999999999,6756.TW,95.5999984741
🏰 高護城河,-64.44,✅ 穩健價值,1.97,2.09,136.36,2026-03,20.17%,77.99999999999999,2.34,13.846153846153848,宇峻,2025,89.44%,62.07,74.29000000000002,3546.TWO,72.0
🚀 利潤擴張,96.29,⚪ 數據不足,-1.49,22.72,99.93,2026-03,N/A,0.0,-0.15,0.0,奧義賽博-KY創,2025,N/A,26.64,73.29,7823.TW,79.4000015259
🌑 雙重衰退,-99.18,⚪ 數據不足,-2.43,19.25,-25.93,2026-03,N/A,-96.44999999999999,-0.68,0.0,昱泉,2025,N/A,-97.71,71.78,6169.TWO,11.9499998093
🚀 利潤擴張,-91.14,⚪ 數據不足,0.14,0.63,650.0,2026-03,N/A,-17.549999999999997,0.3,0.0,冠好,2025,N/A,578.38,71.62,8354.TWO,16.8500003815
🚀 利潤擴張,-5.15,⚪ 中性觀察,2.76,22.56,386.11,2026-03,0.20%,71.25,1.75,16.463157252252632,台聯電,2025,25.49%,315.9,70.21000000000004,4905.TWO,78.1999969482
🚀 利潤擴張,44.08,⚪ 數據不足,6.33,76.4,121.74,2026-03,N/A,0.0,1.02,0.0,創新服務,2025,N/A,51.84,69.89999999999999,7828.TWO,2005.0
🏰 高護城河,3.28,💎 強力關注,0.63,4.6,127.27,2026-03,38.94%,22.95,0.25,11.307189043856209,國票金,2025,90.85%,58.58,68.69,2889.TW,17.2999992371
🏰 高護城河,24.43,💎 強力關注,7.13,-4.63,107.35,2026-03,20.98%,257.1,1.41,4.480746969183198,麗豐-KY,2025,82.18%,40.15,67.19999999999999,4137.TW,76.8000030518
🔄 轉虧為盈,-31.03,⚪ 數據不足,-0.38,-28.72,175.0,2026-03,3.73%,-15.3,0.06,0.0,研勤,2025,54.59%,110.52,64.48,3632.TWO,7.0799999237
🚀 利潤擴張,-24.06,⚪ 數據不足,2.43,2.38,106.9,2026-03,N/A,0.0,0.6,0.0,和迅,2025,N/A,42.91,63.99000000000001,6986.TWO,40.5
🔄 轉虧為盈,-184.44,⚪ 數據不足,-1.28,-7.78,175.0,2026-03,-45.46%,-38.1,0.11,0.0,穎漢,2025,31.44%,111.03,63.97,4562.TW,29.3500003815
🏰 高護城河,-7120.0,⚪ 數據不足,-3.51,-29.69,62.5,2026-03,-55.72%,-122.4,-0.27,0.0,泰偉,2025,93.22%,-1.0,63.5,3064.TWO,16.8999996185
🚀 利潤擴張,17.33,💎 強力關注,2.64,12.14,235.0,2026-03,N/A,101.7,1.34,4.550147548893805,群益證,2025,N/A,171.79,63.21000000000001,6005.TW,30.8500003815
🚀 利潤擴張,152.25,⚠️ 追價風險,0.58,19.69,500.0,2026-03,N/A,10.049999999999997,0.84,44.92537370373135,車王電,2025,N/A,438.18,61.81999999999999,1533.TW,30.1000003815
🚀 利潤擴張,34.55,⚪ 中性觀察,0.74,-4.85,600.0,2026-03,7.12%,22.5,0.56,16.266666412333333,正隆,2025,20.98%,538.23,61.76999999999998,1904.TW,24.3999996185
🚀 利潤擴張,-26.32,💎 強力關注,2.52,-4.59,206.45,2026-03,N/A,113.85,1.9,9.486166007905139,日揚,2025,N/A,150.03,56.41999999999999,6208.TWO,72.0
🚀 利潤擴張,-36.9,💎 強力關注,1.19,-6.81,204.17,2026-03,N/A,72.30000000000001,1.46,4.937759177821577,強生,2025,N/A,148.33,55.839999999999975,4747.TWO,23.7999992371
🔄 轉虧為盈,49.15,⚪ 數據不足,-0.6,2.65,244.44,2026-03,N/A,-18.45,0.13,0.0,九暘,2025,N/A,189.01,55.43000000000001,8040.TWO,78.1999969482
🚀 利潤擴張,905.92,💎 強力關注,12.33,-6.28,239.47,2026-03,-106.23%,273.29999999999995,2.62,1.6877058177826565,晟德,2025,41.95%,185.42,54.05000000000001,4123.TWO,30.75
🌑 雙重衰退,-48.08,⚪ 數據不足,-3.92,-29.22,-2.96,2026-03,N/A,0.0,-1.43,0.0,心誠鎂,2025,N/A,-55.48,52.519999999999996,6934.TW,73.3000030518
🚀 利潤擴張,66.34,💎 強力關注,6.82,6.51,147.37,2026-03,N/A,252.6,3.29,7.1258907363420425,霈方,2025,N/A,95.63,51.74000000000001,6574.TWO,120.0
🚀 利潤擴張,38.44,⚪ 數據不足,13.04,182.72,139.49,2026-03,N/A,0.0,7.68,0.0,永擎,2025,N/A,91.93,47.56,7711.TW,0.0
🚀 利潤擴張,-36.17,⚪ 中性觀察,1.5,23.54,406.06,2026-03,N/A,31.8,1.01,16.50943396226415,廣寰科,2025,N/A,359.48,46.579999999999984,3287.TWO,35.0
🚀 利潤擴張,544.54,💎 強力關注,5.29,-17.0,112.5,2026-03,N/A,146.54999999999998,0.03,2.4616171174104404,琉園,2025,N/A,66.65,45.849999999999994,9949.TWO,24.0499992371
🚀 利潤擴張,31.64,💎 強力關注,4.85,108.17,55.17,2026-03,N/A,172.35,0.46,11.66231505657093,漢達,2025,N/A,15.93,39.24,6620.TWO,134.0
🚀 利潤擴張,-93.75,⚪ 數據不足,0.12,-40.0,300.0,2026-03,-8.17%,-30.6,0.08,0.0,威盛,2025,20.64%,264.14,35.860000000000014,2388.TW,71.3000030518
🏰 高護城河,-5.7,💎 強力關注,2.15,1.24,190.24,2026-03,14.95%,81.9,1.19,10.421245700714286,禾瑞亞,2025,50.66%,156.04,34.20000000000002,3556.TWO,56.9000015259
🚀 利潤擴張,91.67,⚪ 數據不足,2.99,19.28,42.62,2026-03,N/A,0.0,0.87,0.0,神數,2025,N/A,10.24,32.379999999999995,7821.TW,38.5999984741
🚀 利潤擴張,-17.2,⚪ 數據不足,7.56,15.19,34.92,2025-12,30.89%,0.0,11.94,0.0,未知,2025,35.24%,6.33,28.590000000000003,2072.TWO,0.0
🧐 疑業外收益,-13.21,⚪ 數據不足,-1.89,-5.58,23.4,2026-03,N/A,-70.05,-0.36,0.0,向榮生技,2025,N/A,-3.86,27.259999999999998,6794.TW,75.0999984741
🔄 轉虧為盈,-197.83,⚪ 數據不足,-0.45,2.23,450.0,2026-03,1.90%,-28.950000000000003,0.11,0.0,南緯,2025,23.39%,422.96,27.04000000000002,1467.TW,7.9699997902
🚀 利潤擴張,-27.83,⚪ 數據不足,3.24,3.08,42.86,2026-03,N/A,0.0,1.62,0.0,頌勝科技,2025,N/A,16.63,26.23,7768.TW,260.0
🚀 利潤擴張,-27.83,⚪ 數據不足,3.24,3.08,42.86,2026-03,N/A,0.0,1.62,0.0,未知,2025,N/A,16.63,26.23,7768.TWO,0.0
🚀 利潤擴張,11.37,⚪ 數據不足,13.61,20.5,38.11,2026-03,16.93%,0.0,4.33,0.0,大東電,2025,21.29%,12.42,25.689999999999998,1623.TW,0.0
🏰 高護城河,-1.08,💎 強力關注,2.74,6.4,83.05,2026-03,33.03%,105.6,1.08,9.857954762201704,元大金,2025,80.00%,62.36,20.689999999999998,2885.TW,69.4000015259
🚀 利潤擴張,-66.0,✅ 穩健價值,0.85,0.36,45.45,2026-03,N/A,33.45,0.32,13.834080888565023,中連,2025,N/A,25.49,19.960000000000004,5604.TWO,30.8500003815
🚀 利潤擴張,-11.63,💎 強力關注,0.76,0.56,470.83,2026-03,N/A,24.599999999999998,0.89,10.365853658536587,宏遠證,2025,N/A,451.29,19.539999999999964,6015.TWO,17.0
🚀 利潤擴張,-134.86,⚪ 數據不足,-0.61,-8.35,45.71,2026-03,N/A,-30.900000000000002,-0.19,0.0,力新,2025,N/A,26.81,18.900000000000002,5202.TWO,13.9499998093
🏰 高護城河,13.1,💎 強力關注,1.9,4.06,41.03,2026-03,45.93%,70.8,0.55,10.03177933773305,華南金,2025,97.25%,22.97,18.060000000000002,2880.TW,47.3499984741
🚀 利潤擴張,35.0,⚠️ 追價風險,0.81,13.9,234.78,2026-03,8.13%,9.75,0.31,147.538463886,博磊,2025,31.93%,216.8,17.97999999999999,3581.TWO,95.9000015259
🏰 高護城河,28.3,💎 強力關注,0.68,14.52,33.33,2026-03,32.37%,25.200000000000003,0.2,7.291666666666666,高雄銀,2025,89.95%,16.1,17.229999999999997,2836.TW,12.25
🚀 利潤擴張,107.11,⚠️ 追價風險,0.15,25.43,331.43,2026-03,N/A,11.999999999999998,1.67,535.0,環宇-KY,2025,N/A,316.27,15.160000000000025,4991.TWO,428.0
🧐 疑業外收益,14.12,⚪ 數據不足,2.91,10.14,10.53,2026-03,N/A,0.0,0.42,0.0,精誠金融,2025,N/A,-1.82,12.35,7819.TWO,34.3499984741
🏰 高護城河,-10.99,💎 強力關注,1.74,-12.26,34.04,2026-03,39.14%,57.14999999999999,0.69,10.275590951679792,凱基金,2025,78.38%,22.04,12.0,2883.TW,39.1500015259
🚀 利潤擴張,-14.12,⚪ 數據不足,-2.92,-0.97,52.29,2026-03,N/A,-109.2,-0.53,0.0,華安,2025,N/A,41.94,10.350000000000001,6657.TW,33.8499984741
🏰 高護城河,4.19,⚠️ 追價風險,25.6,6.74,29.13,2026-03,60.64%,947.7,7.98,42.73504273504273,力旺,2025,100.00%,19.99,9.14,3529.TWO,2700.0
🔄 轉虧為盈,-53.57,⚪ 數據不足,-0.43,-8.31,283.33,2026-03,-4.59%,-14.25,0.23,0.0,宏亞,2025,24.77%,274.7,8.629999999999995,1236.TW,25.5499992371
🔄 轉虧為盈,-827.91,⚪ 數據不足,-3.35,-15.19,153.49,2026-03,-13.99%,-89.10000000000001,0.25,0.0,岱宇,2025,27.77%,145.6,7.890000000000015,1598.TW,20.1499996185
🚀 利潤擴張,24.93,✅ 穩健價值,4.66,15.86,56.0,2026-03,N/A,136.05,0.39,7.166482910694597,全景軟體,2025,N/A,48.18,7.82,8272.TWO,65.0
🏰 高護城河,-7.32,⚠️ 追價風險,0.38,-2.15,37.5,2026-03,20.24%,13.5,0.11,25.444444020555554,欣欣,2025,84.77%,30.02,7.48,2901.TW,22.8999996185
