eps,om,prev_eps,prev_eps_yoy,gm,prev_year,symbol,name,date,rev_yoy,eps_yoy,prev_rev_yoy,est_price,price,status,expansion,pe,advice
7.46,N/A,2.11,16.48,N/A,2025,4973.TWO,廣穎,2026-03,869.35,24500.0,-3.19,130.95000000000002,138.0,🚀 利潤擴張,23630.65,15.807560137457044,✅ 穩健價值
0.7,7.42%,1.13,-44.61,56.66%,2025,3669.TW,圓展,2026-03,98.33,6900.0,-3.05,25.199999999999996,32.5499992371,🏰 高護城河,6801.67,19.374999545892862,⚪ 中性觀察
0.81,N/A,0.92,222.67,N/A,2025,6209.TW,今國光,2026-03,1231.2,7900.0,50.65,34.8,78.0,🚀 利潤擴張,6668.8,33.62068965517241,⚠️ 追價風險
1.41,-188.65%,1.96,590.0,62.07%,2025,3054.TW,立萬利,2026-03,2528.26,7150.0,26.61,60.45,57.0999984741,🏰 高護城河,4621.74,14.1687341126799,✅ 穩健價值
3.64,N/A,0.05,-73.68,N/A,2025,1810.TW,和成,2026-03,273.9,4133.33,-6.18,55.95,23.7000007629,🚀 利潤擴張,3859.43,6.353887603994639,💎 強力關注
0.51,-5.76%,-1.58,-731.58,2.38%,2025,1301.TW,台塑,2026-03,1606.45,5000.0,-12.31,-48.45,64.5999984741,🔄 轉虧為盈,3393.55,0.0,⚪ 數據不足
0.35,0.43%,0.38,660.0,27.32%,2025,4924.TWO,欣厚-KY,2026-03,474.41,3400.0,3.99,12.3,14.25,🚀 利潤擴張,2925.59,17.378048780487802,⚪ 中性觀察
2.17,N/A,0.89,48.33,N/A,2025,8042.TWO,金山電,2026-03,564.36,3200.0,9.79,48.599999999999994,110.5,🚀 利潤擴張,2635.64,34.104938271604944,⚠️ 追價風險
1.43,34.40%,3.0,0.0,82.96%,2025,2855.TW,統一證,2026-03,405.72,2960.0,3.92,96.44999999999999,52.5,🏰 高護城河,2554.2799999999997,8.164852255054432,💎 強力關注
1.26,13.87%,4.0,120.99,31.80%,2025,3105.TWO,穩懋,2026-03,667.05,3050.0,-4.69,88.05,471.0,🚀 利潤擴張,2382.95,80.23850085178876,⚠️ 追價風險
9.37,10.89%,4.11,41.38,27.15%,2025,1419.TW,新紡,2026-03,395.99,2733.33,12.31,274.05000000000007,66.1999969482,🚀 利潤擴張,2337.34,3.6234262150082093,💎 強力關注
0.29,1.35%,0.22,175.0,15.86%,2025,2486.TW,一詮,2026-03,726.37,2900.0,10.09,9.150000000000002,229.0,🚀 利潤擴張,2173.63,375.4098360655737,⚠️ 追價風險
0.4,0.24%,0.72,110.31,24.41%,2025,2380.TW,虹光,2026-03,205.99,1900.0,13.61,34.800000000000004,16.5,🚀 利潤擴張,1694.01,7.11206896551724,💎 強力關注
0.35,4.89%,0.07,-92.39,11.81%,2025,3016.TW,嘉晶,2026-03,1769.87,3400.0,-5.25,2.849999999999999,115.5,🚀 利潤擴張,1630.13,607.8947368421054,⚠️ 追價風險
1.8,2.06%,0.57,35.71,9.25%,2025,1303.TW,南亞,2026-03,1383.79,2900.0,0.12,27.900000000000006,236.0,🚀 利潤擴張,1516.21,126.8817204301075,⚠️ 追價風險
1.48,-12.67%,0.15,275.0,8.40%,2025,2399.TW,映泰,2026-03,1031.36,2366.67,-14.09,18.599999999999998,49.0,🚀 利潤擴張,1335.3100000000002,39.51612903225807,⚠️ 追價風險
0.23,2.47%,0.15,50.0,14.61%,2025,4711.TWO,永純,2026-03,974.97,2200.0,-4.5,7.65,16.5,🚀 利潤擴張,1225.03,32.35294117647059,⚠️ 追價風險
0.17,18.72%,0.09,250.0,41.46%,2025,1718.TW,中纖,2026-03,142.36,1300.0,-0.24,6.15,10.8999996185,🚀 利潤擴張,1157.6399999999999,26.585364923170733,⚠️ 追價風險
0.48,-15.39%,1.52,406.67,69.49%,2025,3219.TWO,倚強科,2026-03,120.91,1275.0,49.68,67.5,81.6999969482,🏰 高護城河,1154.09,18.155554877377778,⚪ 中性觀察
0.17,N/A,0.31,-17.95,N/A,2025,5291.TWO,邑昇,2026-03,536.39,1600.0,9.81,11.1,58.2000007629,🚀 利潤擴張,1063.6100000000001,78.64864967959458,⚠️ 追價風險
0.6,43.45%,3.45,-6.25,68.55%,2025,3025.TW,星通,2026-03,117.67,1100.0,4.27,78.44999999999999,51.2000007629,🏰 高護城河,982.33,9.789675098068834,💎 強力關注
27.0,N/A,13.06,110.31,N/A,2025,4967.TW,十銓,2026-03,1792.89,2600.0,2.46,669.75,271.0,🚀 利潤擴張,807.1099999999999,6.06942889137738,💎 強力關注
0.78,2.82%,1.23,46.43,24.10%,2025,2359.TW,所羅門,2026-03,280.55,1014.29,21.27,17.699999999999996,131.0,🚀 利潤擴張,733.74,111.0169491525424,⚠️ 追價風險
1.64,-143.69%,-4.39,-566.18,-78.82%,2025,1762.TW,中化生,2026-03,496.76,1211.11,-40.26,-85.05,33.7999992371,🔄 轉虧為盈,714.3499999999999,0.0,⚪ 數據不足
7.22,20.25%,0.87,-51.41,32.33%,2025,3006.TW,晶豪科,2026-03,2018.02,2666.67,8.08,36.29999999999999,278.5,🚀 利潤擴張,648.6500000000001,115.0826446280992,⚠️ 追價風險
0.24,-3.37%,-0.84,-266.0,17.62%,2025,2464.TW,盟立,2026-03,510.23,1100.0,-10.95,-26.55,179.5,🔄 轉虧為盈,589.77,0.0,⚪ 數據不足
18.93,55.59%,12.98,140.33,61.62%,2025,2451.TW,創見,2026-03,1484.6,2067.82,69.84,586.95,277.0,🏰 高護城河,583.2200000000003,7.078967544083823,💎 強力關注
2.12,-147.39%,-0.07,89.09,-40.24%,2025,3521.TWO,台鋼建設,2026-03,224.53,806.67,58.31,29.400000000000006,12.0,🔄 轉虧為盈,582.14,6.1224489795918355,💎 強力關注
1.86,4.39%,1.01,-68.84,20.96%,2025,2101.TW,南港,2026-03,1184.49,1763.64,-44.61,30.6,30.3500003815,🚀 利潤擴張,579.1500000000001,14.87745116740196,✅ 穩健價值
0.2,-1.97%,-1.02,-197.14,14.87%,2025,4510.TWO,高鋒,2026-03,543.13,1100.0,-2.21,-36.6,44.0499992371,🔄 轉虧為盈,556.87,0.0,⚪ 數據不足
0.26,8.69%,0.7,-40.68,28.61%,2025,3285.TWO,微端,2026-03,688.27,1200.0,-19.66,15.75,39.3499984741,🚀 利潤擴張,511.73,37.476189022952376,⚠️ 追價風險
1.64,N/A,1.58,222.58,N/A,2025,6902.TW,GOGOLOOK,2026-03,43.25,530.77,20.92,52.05,128.5,🚀 利潤擴張,487.52,37.03170028818444,⚠️ 追價風險
0.46,N/A,-0.16,74.6,N/A,2025,6241.TWO,鑫永洋,2026-03,335.75,820.0,5.06,-7.499999999999999,15.75,🔄 轉虧為盈,484.25,0.0,⚪ 數據不足
0.22,N/A,0.31,-42.59,N/A,2025,8440.TWO,綠電,2026-03,727.58,1200.0,-6.1,8.850000000000001,19.8999996185,🚀 利潤擴張,472.41999999999996,33.72881291271186,⚠️ 追價風險
1.21,-0.34%,2.72,-1.45,30.54%,2025,4590.TW,富田-創,2026-03,-25.82,418.92,-41.11,0.0,89.3000030518,🧐 疑業外收益,444.74,0.0,⚪ 數據不足
0.25,11.05%,0.49,-34.67,36.04%,2025,2302.TW,麗正,2026-03,187.7,600.0,11.66,17.400000000000002,44.2000007629,🚀 利潤擴張,412.3,38.10344893353447,⚠️ 追價風險
2.25,15.37%,0.88,576.92,41.86%,2025,2344.TW,華邦電,2026-03,646.87,1037.5,9.55,40.8,170.0,🚀 利潤擴張,390.63,62.50000000000001,⚠️ 追價風險
0.41,N/A,1.44,5.88,N/A,2025,6908.TW,宏�砦C戲-創,2026-03,6.45,387.5,28.36,0.0,30.2000007629,🚀 利潤擴張,381.05,0.0,⚪ 數據不足
1.59,N/A,2.19,-49.65,N/A,2025,6716.TWO,應廣,2026-03,359.78,715.79,-15.3,81.60000000000001,117.0,🚀 利潤擴張,356.01,21.507352941176467,⚪ 中性觀察
0.24,N/A,0.73,207.35,N/A,2025,5210.TWO,寶碩,2026-03,37.41,380.0,9.95,19.499999999999996,29.0499992371,🚀 利潤擴張,342.59000000000003,22.346153259307695,⚠️ 追價風險
0.99,N/A,-0.2,90.52,N/A,2025,5228.TWO,鈺鎧,2026-03,750.53,1090.0,25.85,-8.4,39.0499992371,🔄 轉虧為盈,339.47,0.0,⚪ 數據不足
1.42,N/A,2.35,1.73,N/A,2025,2754.TWO,亞洲藏壽司,2026-03,179.43,517.65,5.96,92.55,69.5,🚀 利潤擴張,338.21999999999997,11.264181523500811,💎 強力關注
0.13,14.30%,0.92,170.59,42.07%,2025,4556.TWO,旭然,2026-03,237.41,550.0,-3.75,26.4,82.8000030518,🚀 利潤擴張,312.59000000000003,47.04545627943182,⚠️ 追價風險
0.15,7.94%,0.57,-29.63,30.11%,2025,3071.TWO,協禧,2026-03,343.32,650.0,-5.82,25.95,23.3999996185,🚀 利潤擴張,306.68,13.526011340173412,✅ 穩健價值
68.8,N/A,41.98,3.78,N/A,2025,8299.TWO,群聯,2026-03,849.86,1143.3,23.29,2097.2999999999997,1970.0,🚀 利潤擴張,293.43999999999994,14.089543699041625,✅ 穩健價值
0.67,N/A,-0.43,-150.59,N/A,2025,6615.TWO,慧智,2026-03,270.3,546.67,-14.91,-2.2499999999999996,33.5,🔄 轉虧為盈,276.36999999999995,0.0,⚪ 數據不足
0.27,N/A,0.18,550.0,N/A,2025,6282.TW,康舒,2026-03,371.03,640.0,0.1,-9.150000000000002,42.75,🚀 利潤擴張,268.97,0.0,⚪ 數據不足
0.38,N/A,-0.76,55.83,N/A,2025,8489.TWO,三貝德,2026-03,186.87,445.45,5.03,-20.1,21.5499992371,🔄 轉虧為盈,258.58,0.0,⚪ 數據不足
4.49,8.07%,1.77,8050.0,18.73%,2025,4916.TW,事欣科,2026-03,473.51,701.79,0.89,120.3,103.0,🚀 利潤擴張,228.27999999999997,12.842892768079802,✅ 穩健價值
2.97,N/A,0.88,-66.67,N/A,2025,4432.TWO,銘旺實,2026-03,292.4,518.75,-3.15,44.1,15.6000003815,🚀 利潤擴張,226.35000000000002,5.306122578741497,💎 強力關注
0.45,-88.29%,0.88,51.72,35.38%,2025,4702.TWO,中美實,2026-03,132.31,350.0,-61.59,14.700000000000001,9.3400001526,🚀 利潤擴張,217.69,9.530612400612243,💎 強力關注
3.8,N/A,13.25,33.97,N/A,2025,8478.TW,東哥遊艇,2026-03,297.67,512.9,5.83,493.65000000000003,143.5,🚀 利潤擴張,215.22999999999996,4.36037678517168,💎 強力關注
0.66,8.70%,1.65,-21.15,13.61%,2025,1609.TW,大亞,2026-03,713.51,925.0,3.39,76.65,37.6500015259,🚀 利潤擴張,211.49,7.367906365146771,💎 強力關注
0.47,7.12%,0.08,-80.0,19.34%,2025,3717.TW,聯嘉投控,2026-03,26.54,213.33,3.55,0.0,22.8999996185,🚀 利潤擴張,186.79000000000002,0.0,⚪ 數據不足
0.33,N/A,-1.82,-280.2,N/A,2025,8084.TWO,巨虹,2026-03,80.73,266.67,-10.9,-43.199999999999996,41.6500015259,🔄 轉虧為盈,185.94,0.0,⚪ 數據不足
2.65,14.85%,2.02,25.64,30.40%,2025,3290.TWO,東浦,2026-03,542.69,728.13,18.23,94.05,46.75,🚀 利潤擴張,185.43999999999994,7.4561403508771935,💎 強力關注
0.09,N/A,-0.17,-177.27,N/A,2025,5460.TWO,同協,2026-03,385.95,550.0,-15.68,-7.95,17.6000003815,🔄 轉虧為盈,164.05,0.0,⚪ 數據不足
0.53,N/A,1.54,1640.0,N/A,2025,4582.TWO,未知,2026-03,116.02,276.67,32.98,0.0,0.0,🚀 利潤擴張,160.65000000000003,0.0,⚪ 數據不足
0.53,N/A,1.54,1640.0,N/A,2025,4582.TW,聚恆-創,2026-03,116.02,276.67,32.98,0.0,22.2999992371,🚀 利潤擴張,160.65000000000003,0.0,⚪ 數據不足
0.06,-2.91%,-0.25,-219.05,10.78%,2025,2426.TW,鼎元,2026-03,542.01,700.0,-2.43,-6.6,96.0,🔄 轉虧為盈,157.99,0.0,⚪ 數據不足
0.28,8.42%,-0.19,54.55,56.31%,2025,2417.TW,圓剛,2026-03,108.24,264.29,2.69,-25.049999999999997,38.9500007629,🔄 轉虧為盈,156.05,0.0,⚪ 數據不足
0.28,N/A,-0.29,-125.22,N/A,2025,9934.TW,成霖,2026-03,214.33,366.67,-4.25,1.050000000000001,9.8699998856,🔄 轉虧為盈,152.34,140.99999836571416,⚠️ 追價風險
1.1,N/A,1.09,-77.02,N/A,2025,2732.TWO,六角,2026-03,180.76,323.08,7.13,32.250000000000014,62.7999992371,🚀 利潤擴張,142.32,29.20930197074418,⚠️ 追價風險
1.03,N/A,2.88,-38.68,N/A,2025,6569.TWO,醫揚,2026-03,307.94,442.11,5.8,96.15,90.3000030518,🚀 利潤擴張,134.17000000000002,14.087363970639625,✅ 穩健價值
1.57,N/A,2.35,921.74,N/A,2025,6166.TW,凌華,2026-03,273.28,406.45,17.09,85.05,112.0,🚀 利潤擴張,133.17000000000002,19.753086419753085,⚪ 中性觀察
3.44,41.27%,4.66,884.75,54.76%,2025,3081.TWO,聯亞,2026-03,515.18,645.65,82.29,183.0,2720.0,🏰 高護城河,130.47000000000003,222.95081967213116,⚠️ 追價風險
2.21,N/A,6.21,-20.59,N/A,2025,3356.TW,奇偶,2026-03,113.17,228.49,-14.96,172.05,69.7906036377,🚀 利潤擴張,115.32000000000001,6.084621066931125,💎 強力關注
0.29,N/A,0.33,-84.51,N/A,2025,6735.TWO,美達科技,2026-03,268.59,383.33,-4.81,-7.200000000000001,60.5,🚀 利潤擴張,114.74000000000001,0.0,⚪ 數據不足
