====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260917 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 14.57      | ❄️ 空倉          |      +22.52% |     22 |    53.76% | [P:0.41] RSI:41.49|MACD:0.10|KD_Diff:-9.03|BIAS_20:-1.62
00401A.TW    | 主動摩根台灣鑫收   | 13.95      | 🟢 持股           |      +13.11% |     15 |    57.61% | [P:0.52] RSI:54.89|MACD:0.16|KD_Diff:-10.10|BIAS_20:0.68
00402A.TW    | 主動安聯美國科技   | 9.52       | 🟢 持股           |       -1.02% |      5 |    51.85% | [P:0.50] [⚠️降級預設] RSI:44.29|MACD:-0.05|KD_Diff:3.81|D_Value:47.19
00403A.TW    | 主動統一升級50   | 10.01      | 🟢 持股           |       +5.84% |      7 |    56.25% | [P:0.62] [⚠️降級預設] RSI:40.44|MACD:0.01|KD_Diff:-11.34|D_Value:34.80
00404A.TW    | 主動聯博動能50   | 9.52       | 🟢 持股           |       -3.89% |      7 |    55.56% | [P:0.57] [⚠️降級預設] RSI:45.09|MACD:-0.01|KD_Diff:-11.96|D_Value:35.81
00405A.TW    | 主動富邦台灣龍耀   | 8.43       | 🟢 持股           |      -12.61% |      3 |    44.44% | [P:0.62] [⚠️降級預設] RSI:39.39|MACD:0.02|KD_Diff:-9.14|D_Value:33.15
00406A.TW    | 主動中信台灣收益   | 9.31       | 🟢 持股           |       -3.89% |      5 |    48.98% | [P:0.64] [⚠️降級預設] RSI:38.74|MACD:-0.02|KD_Diff:-9.48|D_Value:28.36
00407A.TW    | 主動凱基台灣     | 9.35       | 🟢 持股           |       +5.52% |      7 |    51.22% | [P:0.67] [⚠️降級預設] RSI:35.56|MACD:-0.01|KD_Diff:-8.30|D_Value:26.11
00408A.TW    | 00408A.TW  | 10.15      | 🟢 持股           |       +2.54% |      3 |    46.67% | [P:0.68] [⚠️降級預設] RSI:33.33|MACD:-0.02|KD_Diff:-6.60|D_Value:23.59
00410A.TW    | 00410A.TW  | 11.65      | 🟢 持股           |       +0.00% |      1 |    57.14% | [P:0.57] [⚠️降級預設] RSI:40.78|MACD:0.17|KD_Diff:-4.09|D_Value:28.69
0050.TW      | 元大台灣50     | 108.05     | ❄️ 空倉          |      +42.01% |     46 |    48.74% | [P:0.50] Vol_Ratio:0.71|BIAS_20:0.91|MA_Slope:0.20|BB_Upper:2.33
0052.TW      | 富邦科技       | 62.70      | ❄️ 空倉          |      +28.35% |     26 |    50.98% | [P:0.42] MACD:0.41|D_Value:40.16|Vol_Ratio:0.98|BB_Upper:2.33
0053.TW      | 元大電子       | 241.95     | 🟢 持股           |      +40.48% |     25 |    48.81% | [P:0.53] [⚠️降級預設] RSI:48.19|MACD:1.16|KD_Diff:-7.76|D_Value:32.60
0055.TW      | 元大MSCI金融   | 50.85      | ❄️ 空倉          |      +18.00% |     30 |    51.13% | [P:0.29] [⚠️降級預設] RSI:82.10|MACD:1.72|KD_Diff:0.93|D_Value:85.16
0056.TW      | 元大高股息      | 56.30      | ❄️ 空倉          |      +18.35% |     34 |    51.24% | [P:0.41] KD_Diff:1.43|Vol_Ratio:1.22|BB_Upper:1.47|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 23.88      | 🟢 持股           |      +12.02% |     13 |    51.69% | [P:0.58] [⚠️降級預設] RSI:36.00|MACD:-0.21|KD_Diff:0.80|D_Value:28.52
006201.TWO   | 元大富櫃50     | 44.34      | 🚀 買進           |      +66.76% |     58 |    50.13% | [P:0.57] Vol_Ratio:1.89|MA_Slope:0.14|BB_Upper:3.77|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 195.80     | 💥 賣出           |      +25.36% |     59 |    50.93% | [P:0.46] KD_Diff:-9.28|D_Value:47.22|Vol_Ratio:0.94|MA_Bull:0.00
006205.TW    | 富邦上証       | 39.83      | 🟢 持股           |       +2.16% |     21 |    51.85% | [P:0.61] [⚠️降級預設] RSI:34.87|MACD:-0.30|KD_Diff:-1.03|D_Value:23.59
006208.TW    | 富邦台50      | 247.40     | ❄️ 空倉          |      +47.53% |     24 |    50.07% | [P:0.42] MACD:1.87|D_Value:42.93|Vol_Ratio:0.80|BIAS_20:0.91
00631L.TW    | 元大台灣50正2   | 36.41      | 🟢 持股           |      +10.13% |     27 |    50.05% | [P:0.50] KD_Diff:-6.28|BIAS_20:0.98|MA_Slope:0.30|BB_Upper:4.66
00632R.TW    | 元大台灣50反1   | 9.84       | ❄️ 空倉          |       +3.77% |     12 |    57.06% | [P:0.40] MACD:-0.09|D_Value:55.81|BIAS_20:-0.73|MA_Slope:-0.19
00633L.TW    | 富邦上証正2     | 46.53      | ❄️ 空倉          |       -0.49% |     30 |    49.39% | [P:0.48] MACD:-0.72|KD_Diff:-2.11|MA_Slope:-0.18|BB_Upper:6.72
00634R.TW    | 富邦上証反1     | 3.19       | 🟢 持股           |      -10.66% |     29 |    52.60% | [P:0.58] KD_Diff:2.94|D_Value:78.29|Vol_Ratio:0.88|MA_Slope:0.11
00635U.TW    | 期元大S&P黃金   | 44.29      | 🟢 持股           |      +35.09% |     39 |    51.80% | [P:0.53] MACD:-0.13|D_Value:24.21|Vol_Ratio:1.17|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 19.25      | ❄️ 空倉          |       -0.43% |     28 |    50.00% | [P:0.45] MACD:-0.32|KD_Diff:-0.62|BIAS_20:-2.58|BB_Upper:6.18
00638R.TW    | 元大滬深300反1  | 6.80       | ❄️ 空倉          |       -4.13% |     10 |    53.00% | [P:0.37] RSI:69.81|MACD:0.03|KD_Diff:4.05|D_Value:70.17
00639.TW     | 富邦深100     | 15.91      | 🟢 持股           |       +6.46% |     15 |    49.91% | [P:0.60] [⚠️降級預設] RSI:25.41|MACD:-0.30|KD_Diff:7.09|D_Value:19.17
00640L.TW    | 富邦日本正2     | 106.65     | ❄️ 空倉          |       -0.76% |     42 |    50.19% | [P:0.43] RSI:37.92|D_Value:29.33|Vol_Ratio:0.81|BIAS_20:-0.73
00641R.TW    | 富邦日本反1     | 3.68       | ❄️ 空倉          |       +2.65% |     38 |    56.44% | [P:0.40] RSI:58.82|KD_Diff:-7.88|BIAS_20:-0.07|MA_Slope:-0.05
00642U.TW    | 期元大S&P石油   | 33.44      | 🟢 持股           |     +156.83% |     59 |    52.92% | [P:0.69] RSI:87.84|D_Value:91.24|Vol_Ratio:0.64|MA_Slope:0.89
00643.TW     | 群益深証中小     | 18.00      | 🟢 持股           |       +4.81% |      9 |    49.39% | [P:0.55] [⚠️降級預設] RSI:28.23|MACD:-0.26|KD_Diff:10.31|D_Value:29.47
00645.TW     | 富邦日本       | 57.55      | 🟢 持股           |       +7.95% |     19 |    49.58% | [P:0.51] [⚠️降級預設] RSI:40.00|MACD:-0.06|KD_Diff:7.50|D_Value:33.50
00646.TW     | 元大S&P500   | 76.30      | 🟢 持股           |      +17.32% |     45 |    49.81% | [P:0.51] KD_Diff:5.58|D_Value:30.19|BIAS_20:-0.32|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 3.96       | 🟢 持股           |       -2.30% |     15 |    57.74% | [P:0.57] MACD:0.00|D_Value:79.89|BIAS_20:0.75|MA_Slope:0.08
00650L.TW    | 復華香港正2     | 15.96      | 🟢 持股           |       +0.05% |     41 |    49.63% | [P:0.70] RSI:29.41|MACD:-0.25|MA_Slope:-0.50|MA_Bull:0.00
00651R.TW    | 復華香港反1     | 5.33       | ❄️ 空倉          |       +9.98% |     20 |    52.89% | [P:0.37] RSI:70.59|D_Value:77.22|BIAS_20:2.57|MA_Slope:0.22
00653L.TW    | 富邦印度正2     | 43.02      | ❄️ 空倉          |       +7.46% |     52 |    49.01% | [P:0.28] RSI:15.17|KD_Diff:0.40|Vol_Ratio:0.26|BB_Upper:12.56
00654R.TW    | 富邦印度反1     | 6.98       | ❄️ 空倉          |       +7.26% |     32 |    52.96% | [P:0.39] RSI:73.44|D_Value:87.48|BIAS_20:2.53|MA_Slope:0.22
00655L.TW    | 國泰中國A50正2  | 32.47      | 🟢 持股           |      +19.43% |     53 |    50.90% | [P:0.64] RSI:36.45|Vol_Ratio:0.24|MA_Slope:-0.15|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.98       | ❄️ 空倉          |       +2.00% |     14 |    53.73% | [P:0.40] RSI:69.23|D_Value:72.43|MA_Slope:0.08|BB_Upper:-0.01
00657K.TW    | 國泰日經225+U  | 23.90      | 🟢 持股           |      +42.46% |     51 |    50.73% | [P:0.59] RSI:38.40|KD_Diff:-9.14|BIAS_20:-1.66|MA_Bull:0.00
00660.TW     | 元大歐洲50     | 45.83      | 🟢 持股           |      +20.26% |     43 |    52.62% | [P:0.63] RSI:37.41|MACD:-0.22|D_Value:25.85|MA_Bull:0.00
00662.TW     | 富邦NASDAQ   | 119.20     | 💥 賣出           |      +15.00% |     49 |    50.48% | [P:0.46] RSI:44.37|KD_Diff:-0.48|MA_Slope:-0.08|MA_Bull:0.00
00663L.TW    | 國泰臺灣加權正2   | 104.80     | ❄️ 空倉          |     +101.43% |     42 |    49.33% | [P:0.48] RSI:50.16|D_Value:41.61|Vol_Ratio:1.03|MA_Slope:0.31
00664R.TW    | 國泰臺灣加權反1   | 1.59       | ❄️ 空倉          |       +0.00% |      2 |    59.21% | [P:0.46] RSI:47.62|MACD:-0.01|D_Value:60.10|Vol_Ratio:1.34
00665L.TW    | 富邦�琤肭磪囓�2  | 8.77       | ❄️ 空倉          |       +3.82% |     34 |    53.51% | [P:0.42] RSI:27.33|MACD:-0.14|Vol_Ratio:1.63|MA_Slope:-0.52
00666R.TW    | 富邦�琤肭磪齯�1  | 9.36       | ❄️ 空倉          |       +7.99% |     22 |    53.38% | [P:0.38] RSI:73.49|D_Value:80.43|MA_Slope:0.25|BB_Upper:0.03
00669R.TW    | 國泰美國道瓊反1   | 5.34       | ❄️ 空倉          |       -6.32% |     18 |    56.10% | [P:0.32] RSI:79.41|KD_Diff:7.85|MA_Slope:0.15|BB_Upper:-0.29
00670L.TW    | 富邦NASDAQ正2 | 194.15     | ❄️ 空倉          |      +34.96% |     24 |    49.96% | [P:0.42] RSI:37.66|MACD:-1.42|KD_Diff:-8.41|MA_Slope:-0.18
00671R.TW    | 富邦NASDAQ反1 | 2.46       | ❄️ 空倉          |      -11.27% |     16 |    52.55% | [P:0.49] RSI:57.14|D_Value:66.50|BIAS_20:0.53|MA_Slope:0.06
00673R.TW    | 期元大S&P原油反1 | 10.15      | 🟢 持股           |      -53.44% |     41 |    50.62% | [P:0.50] KD_Diff:2.66|Vol_Ratio:0.65|MA_Slope:-0.96|MA_Bull:0.00
00674R.TW    | 期元大S&P黃金反1 | 28.53      | ❄️ 空倉          |     +363.86% |     16 |    53.99% | [P:0.30] RSI:69.17|KD_Diff:9.15|D_Value:74.28|Vol_Ratio:1.12
00675L.TW    | 富邦臺灣加權正2   | 317.70     | ❄️ 空倉          |      +89.50% |     40 |    50.23% | [P:0.48] RSI:50.15|D_Value:41.53|Vol_Ratio:1.03|MA_Slope:0.31
00676R.TW    | 富邦臺灣加權反1   | 5.44       | ❄️ 空倉          |      -14.16% |     20 |    57.45% | [P:0.41] MACD:-0.05|KD_Diff:5.74|Vol_Ratio:1.14|MA_Bull:0.00
00678.TW     | 群益那斯達克生技   | 42.38      | 🟢 持股           |      +25.75% |     53 |    51.99% | [P:0.66] RSI:34.20|D_Value:21.46|MA_Slope:-0.32|MA_Bull:0.00
00679B.TWO   | 元大美債20年    | 25.52      | ❄️ 空倉          |       +2.88% |     18 |    51.03% | [P:0.40] MACD:-0.23|KD_Diff:11.37|BIAS_20:-0.55|MA_Bull:0.00
