advice,price,pe,date,expansion,om,symbol,name,rev_yoy,est_price,prev_eps,prev_rev_yoy,gm,prev_year,status,eps_yoy,prev_eps_yoy,eps
✅ 穩健價值,138.5,15.864833906071018,2026-03,23630.65,N/A,4973.TWO,廣穎,869.35,130.95000000000002,2.11,-3.19,N/A,2025,🚀 利潤擴張,24500.0,16.48,7.46
⚪ 中性觀察,32.6500015259,19.434524717797622,2026-03,6801.67,7.42%,3669.TW,圓展,98.33,25.199999999999996,1.13,-3.05,56.66%,2025,🏰 高護城河,6900.0,-44.61,0.7
⚠️ 追價風險,79.0999984741,34.094826928491386,2026-03,6668.8,N/A,6209.TW,今國光,1231.2,34.8,0.92,50.65,N/A,2025,🚀 利潤擴張,7900.0,222.67,0.81
✅ 穩健價值,58.2999992371,14.466501051389578,2026-03,4621.74,-188.65%,3054.TW,立萬利,2528.26,60.45,1.96,26.61,62.07%,2025,🏰 高護城河,7150.0,590.0,1.41
💎 強力關注,23.8999996185,6.407506600134049,2026-03,3859.43,N/A,1810.TW,和成,273.9,55.95,0.05,-6.18,N/A,2025,🚀 利潤擴張,4133.33,-73.68,3.64
⚪ 數據不足,65.1999969482,0.0,2026-03,3393.55,-5.76%,1301.TW,台塑,1606.45,-48.45,-1.58,-12.31,2.38%,2025,🔄 轉虧為盈,5000.0,-731.58,0.51
⚪ 中性觀察,17.0499992371,20.79268199646341,2026-03,2925.59,0.43%,4924.TWO,欣厚-KY,474.41,12.3,0.38,3.99,27.32%,2025,🚀 利潤擴張,3400.0,660.0,0.35
⚠️ 追價風險,113.5,35.03086419753087,2026-03,2635.64,N/A,8042.TWO,金山電,564.36,48.599999999999994,0.89,9.79,N/A,2025,🚀 利潤擴張,3200.0,48.33,2.17
💎 強力關注,57.2999992371,8.911352914012443,2026-03,2554.2799999999997,34.40%,2855.TW,統一證,405.72,96.44999999999999,3.0,3.92,82.96%,2025,🏰 高護城河,2960.0,0.0,1.43
⚠️ 追價風險,490.5,83.56047700170357,2026-03,2382.95,13.87%,3105.TWO,穩懋,667.05,88.05,4.0,-4.69,31.80%,2025,🚀 利潤擴張,3050.0,120.99,1.26
💎 強力關注,66.0999984741,3.617952844778325,2026-03,2337.34,10.89%,1419.TW,新紡,395.99,274.05000000000007,4.11,12.31,27.15%,2025,🚀 利潤擴張,2733.33,41.38,9.37
⚠️ 追價風險,234.5,384.4262295081967,2026-03,2173.63,1.35%,2486.TW,一詮,726.37,9.150000000000002,0.22,10.09,15.86%,2025,🚀 利潤擴張,2900.0,175.0,0.29
💎 強力關注,16.5,7.11206896551724,2026-03,1694.01,0.24%,2380.TW,虹光,205.99,34.800000000000004,0.72,13.61,24.41%,2025,🚀 利潤擴張,1900.0,110.31,0.4
⚠️ 追價風險,120.5,634.2105263157897,2026-03,1630.13,4.89%,3016.TW,嘉晶,1769.87,2.849999999999999,0.07,-5.25,11.81%,2025,🚀 利潤擴張,3400.0,-92.39,0.35
⚠️ 追價風險,239.5,128.76344086021504,2026-03,1516.21,2.06%,1303.TW,南亞,1383.79,27.900000000000006,0.57,0.12,9.25%,2025,🚀 利潤擴張,2900.0,35.71,1.8
⚠️ 追價風險,49.4500007629,39.87903287330646,2026-03,1335.3100000000002,-12.67%,2399.TW,映泰,1031.36,18.599999999999998,0.15,-14.09,8.40%,2025,🚀 利潤擴張,2366.67,275.0,1.48
⚠️ 追價風險,16.5,32.35294117647059,2026-03,1225.03,2.47%,4711.TWO,永純,974.97,7.65,0.15,-4.5,14.61%,2025,🚀 利潤擴張,2200.0,50.0,0.23
⚠️ 追價風險,10.75,26.21951219512195,2026-03,1157.6399999999999,18.72%,1718.TW,中纖,142.36,6.15,0.09,-0.24,41.46%,2025,🚀 利潤擴張,1300.0,250.0,0.17
⚪ 中性觀察,98.6999969482,21.933332655155553,2026-03,1154.09,-15.39%,3219.TWO,倚強科,120.91,67.5,1.52,49.68,69.49%,2025,🏰 高護城河,1275.0,406.67,0.48
⚠️ 追價風險,58.4000015259,78.91892098094596,2026-03,1063.6100000000001,N/A,5291.TWO,邑昇,536.39,11.1,0.31,9.81,N/A,2025,🚀 利潤擴張,1600.0,-17.95,0.17
💎 強力關注,52.2000007629,9.980879686978968,2026-03,982.33,43.45%,3025.TW,星通,117.67,78.44999999999999,3.45,4.27,68.55%,2025,🏰 高護城河,1100.0,-6.25,0.6
💎 強力關注,276.5,6.192609182530795,2026-03,807.1099999999999,N/A,4967.TW,十銓,1792.89,669.75,13.06,2.46,N/A,2025,🚀 利潤擴張,2600.0,110.31,27.0
⚠️ 追價風險,132.0,111.86440677966104,2026-03,733.74,2.82%,2359.TW,所羅門,280.55,17.699999999999996,1.23,21.27,24.10%,2025,🚀 利潤擴張,1014.29,46.43,0.78
⚪ 數據不足,33.9000015259,0.0,2026-03,714.3499999999999,-143.69%,1762.TW,中化生,496.76,-85.05,-4.39,-40.26,-78.82%,2025,🔄 轉虧為盈,1211.11,-566.18,1.64
⚠️ 追價風險,285.0,117.76859504132234,2026-03,648.6500000000001,20.25%,3006.TW,晶豪科,2018.02,36.29999999999999,0.87,8.08,32.33%,2025,🚀 利潤擴張,2666.67,-51.41,7.22
⚪ 數據不足,192.5,0.0,2026-03,589.77,-3.37%,2464.TW,盟立,510.23,-26.55,-0.84,-10.95,17.62%,2025,🔄 轉虧為盈,1100.0,-266.0,0.24
💎 強力關注,286.0,7.308970099667774,2026-03,583.2200000000003,55.59%,2451.TW,創見,1484.6,586.95,12.98,69.84,61.62%,2025,🏰 高護城河,2067.82,140.33,18.93
💎 強力關注,11.9499998093,6.0969386782142845,2026-03,582.14,-147.39%,3521.TWO,台鋼建設,224.53,29.400000000000006,-0.07,58.31,-40.24%,2025,🔄 轉虧為盈,806.67,89.09,2.12
✅ 穩健價值,30.5,14.950980392156863,2026-03,579.1500000000001,4.39%,2101.TW,南港,1184.49,30.6,1.01,-44.61,20.96%,2025,🚀 利潤擴張,1763.64,-68.84,1.86
⚪ 數據不足,44.5,0.0,2026-03,556.87,-1.97%,4510.TWO,高鋒,543.13,-36.6,-1.02,-2.21,14.87%,2025,🔄 轉虧為盈,1100.0,-197.14,0.2
⚠️ 追價風險,43.2000007629,41.14285786942857,2026-03,511.73,8.69%,3285.TWO,微端,688.27,15.75,0.7,-19.66,28.61%,2025,🚀 利潤擴張,1200.0,-40.68,0.26
⚠️ 追價風險,155.0,44.668587896253605,2026-03,487.52,N/A,6902.TW,GOGOLOOK,43.25,52.05,1.58,20.92,N/A,2025,🚀 利潤擴張,530.77,222.58,1.64
⚪ 數據不足,15.9499998093,0.0,2026-03,484.25,N/A,6241.TWO,鑫永洋,335.75,-7.499999999999999,-0.16,5.06,N/A,2025,🔄 轉虧為盈,820.0,74.6,0.46
⚠️ 追價風險,20.0,33.89830508474576,2026-03,472.41999999999996,N/A,8440.TWO,綠電,727.58,8.850000000000001,0.31,-6.1,N/A,2025,🚀 利潤擴張,1200.0,-42.59,0.22
⚪ 數據不足,91.6999969482,0.0,2026-03,444.74,-0.34%,4590.TW,富田-創,-25.82,0.0,2.72,-41.11,30.54%,2025,🧐 疑業外收益,418.92,-1.45,1.21
⚠️ 追價風險,44.1500015259,38.06034614301724,2026-03,412.3,11.05%,2302.TW,麗正,187.7,17.400000000000002,0.49,11.66,36.04%,2025,🚀 利潤擴張,600.0,-34.67,0.25
⚠️ 追價風險,174.0,63.97058823529412,2026-03,390.63,15.37%,2344.TW,華邦電,646.87,40.8,0.88,9.55,41.86%,2025,🚀 利潤擴張,1037.5,576.92,2.25
⚪ 數據不足,29.7999992371,0.0,2026-03,381.05,N/A,6908.TW,宏�砦C戲-創,6.45,0.0,1.44,28.36,N/A,2025,🚀 利潤擴張,387.5,5.88,0.41
⚪ 中性觀察,116.0,21.323529411764703,2026-03,356.01,N/A,6716.TWO,應廣,359.78,81.60000000000001,2.19,-15.3,N/A,2025,🚀 利潤擴張,715.79,-49.65,1.59
⚠️ 追價風險,29.2999992371,22.538460951615388,2026-03,342.59000000000003,N/A,5210.TWO,寶碩,37.41,19.499999999999996,0.73,9.95,N/A,2025,🚀 利潤擴張,380.0,207.35,0.24
⚪ 數據不足,40.5499992371,0.0,2026-03,339.47,N/A,5228.TWO,鈺鎧,750.53,-8.4,-0.2,25.85,N/A,2025,🔄 轉虧為盈,1090.0,90.52,0.99
💎 強力關注,68.5,11.102106969205835,2026-03,338.21999999999997,N/A,2754.TWO,亞洲藏壽司,179.43,92.55,2.35,5.96,N/A,2025,🚀 利潤擴張,517.65,1.73,1.42
⚠️ 追價風險,87.3000030518,49.602274461250005,2026-03,312.59000000000003,14.30%,4556.TWO,旭然,237.41,26.4,0.92,-3.75,42.07%,2025,🚀 利潤擴張,550.0,170.59,0.13
✅ 穩健價值,23.7000007629,13.69942240630058,2026-03,306.68,7.94%,3071.TWO,協禧,343.32,25.95,0.57,-5.82,30.11%,2025,🚀 利潤擴張,650.0,-29.63,0.15
✅ 穩健價值,2150.0,15.376913174080961,2026-03,293.43999999999994,N/A,8299.TWO,群聯,849.86,2097.2999999999997,41.98,23.29,N/A,2025,🚀 利潤擴張,1143.3,3.78,68.8
⚪ 數據不足,33.8499984741,0.0,2026-03,276.36999999999995,N/A,6615.TWO,慧智,270.3,-2.2499999999999996,-0.43,-14.91,N/A,2025,🔄 轉虧為盈,546.67,-150.59,0.67
⚪ 數據不足,43.3499984741,0.0,2026-03,268.97,N/A,6282.TW,康舒,371.03,-9.150000000000002,0.18,0.1,N/A,2025,🚀 利潤擴張,640.0,550.0,0.27
⚪ 數據不足,21.5,0.0,2026-03,258.58,N/A,8489.TWO,三貝德,186.87,-20.1,-0.76,5.03,N/A,2025,🔄 轉虧為盈,445.45,55.83,0.38
✅ 穩健價值,105.0,13.092269326683292,2026-03,228.27999999999997,8.07%,4916.TW,事欣科,473.51,120.3,1.77,0.89,18.73%,2025,🚀 利潤擴張,701.79,8050.0,4.49
💎 強力關注,15.5,5.272108843537415,2026-03,226.35000000000002,N/A,4432.TWO,銘旺實,292.4,44.1,0.88,-3.15,N/A,2025,🚀 利潤擴張,518.75,-66.67,2.97
💎 強力關注,9.3599996567,9.55102005785714,2026-03,217.69,-88.29%,4702.TWO,中美實,132.31,14.700000000000001,0.88,-61.59,35.38%,2025,🚀 利潤擴張,350.0,51.72,0.45
💎 強力關注,140.0,4.254026131874809,2026-03,215.22999999999996,N/A,8478.TW,東哥遊艇,297.67,493.65000000000003,13.25,5.83,N/A,2025,🚀 利潤擴張,512.9,33.97,3.8
💎 強力關注,37.9500007629,7.4266146307045,2026-03,211.49,8.70%,1609.TW,大亞,713.51,76.65,1.65,3.39,13.61%,2025,🚀 利潤擴張,925.0,-21.15,0.66
