advice,om,expansion,date,name,gm,prev_eps_yoy,est_price,symbol,status,prev_year,rev_yoy,prev_eps,prev_rev_yoy,eps,pe,eps_yoy,price
✅ 穩健價值,N/A,23630.65,2026-03,廣穎,N/A,16.48,130.95000000000002,4973.TWO,🚀 利潤擴張,2025,869.35,2.11,-3.19,7.46,15.693012600229094,24500.0,137.0
⚪ 中性觀察,7.42%,6801.67,2026-03,圓展,56.66%,-44.61,25.199999999999996,3669.TW,🏰 高護城河,2025,98.33,1.13,-3.05,0.7,19.374999545892862,6900.0,32.5499992371
⚠️ 追價風險,N/A,6668.8,2026-03,今國光,N/A,222.67,34.8,6209.TW,🚀 利潤擴張,2025,1231.2,0.92,50.65,0.81,33.23275796297414,7900.0,77.0999984741
✅ 穩健價值,-188.65%,4621.74,2026-03,立萬利,62.07%,590.0,60.45,3054.TW,🏰 高護城河,2025,2528.26,1.96,26.61,1.41,14.516129032258064,7150.0,58.5
💎 強力關注,N/A,3859.43,2026-03,和成,N/A,-73.68,55.95,1810.TW,🚀 利潤擴張,2025,273.9,0.05,-6.18,3.64,6.394101978954423,4133.33,23.8500003815
⚪ 數據不足,-5.76%,3393.55,2026-03,台塑,2.38%,-731.58,-48.45,1301.TW,🔄 轉虧為盈,2025,1606.45,-1.58,-12.31,0.51,0.0,5000.0,64.5999984741
⚠️ 追價風險,0.43%,2925.59,2026-03,欣厚-KY,27.32%,660.0,12.3,4924.TWO,🚀 利潤擴張,2025,474.41,0.38,3.99,0.35,22.865853658536583,3400.0,18.75
⚠️ 追價風險,N/A,2635.64,2026-03,金山電,N/A,48.33,48.599999999999994,8042.TWO,🚀 利潤擴張,2025,564.36,0.89,9.79,2.17,34.41358024691358,3200.0,111.5
💎 強力關注,34.40%,2554.2799999999997,2026-03,統一證,82.96%,0.0,96.44999999999999,2855.TW,🏰 高護城河,2025,405.72,3.0,3.92,1.43,8.849144871835149,2960.0,56.9000015259
⚠️ 追價風險,13.87%,2382.95,2026-03,穩懋,31.80%,120.99,88.05,3105.TWO,🚀 利潤擴張,2025,667.05,4.0,-4.69,1.26,85.34923339011925,3050.0,501.0
💎 強力關注,10.89%,2337.34,2026-03,新紡,27.15%,41.38,274.05000000000007,1419.TW,🚀 利潤擴張,2025,395.99,4.11,12.31,9.37,3.607006104318554,2733.33,65.9000015259
⚠️ 追價風險,1.35%,2173.63,2026-03,一詮,15.86%,175.0,9.150000000000002,2486.TW,🚀 利潤擴張,2025,726.37,0.22,10.09,0.29,382.7868852459016,2900.0,233.5
💎 強力關注,0.24%,1694.01,2026-03,虹光,24.41%,110.31,34.800000000000004,2380.TW,🚀 利潤擴張,2025,205.99,0.72,13.61,0.4,7.11206896551724,1900.0,16.5
⚠️ 追價風險,4.89%,1630.13,2026-03,嘉晶,11.81%,-92.39,2.849999999999999,3016.TW,🚀 利潤擴張,2025,1769.87,0.07,-5.25,0.35,697.3684210526318,3400.0,132.5
⚠️ 追價風險,2.06%,1516.21,2026-03,南亞,9.25%,35.71,27.900000000000006,1303.TW,🚀 利潤擴張,2025,1383.79,0.57,0.12,1.8,124.46236559139783,2900.0,231.5
⚠️ 追價風險,-12.67%,1335.3100000000002,2026-03,映泰,8.40%,275.0,18.599999999999998,2399.TW,🚀 利潤擴張,2025,1031.36,0.15,-14.09,1.48,38.30645161290323,2366.67,47.5
⚠️ 追價風險,2.47%,1225.03,2026-03,永純,14.61%,50.0,7.65,4711.TWO,🚀 利潤擴張,2025,974.97,0.15,-4.5,0.23,31.960782817843135,2200.0,16.2999992371
⚠️ 追價風險,18.72%,1157.6399999999999,2026-03,中纖,41.46%,250.0,6.15,1718.TW,🚀 利潤擴張,2025,142.36,0.09,-0.24,0.17,26.097560510487803,1300.0,10.6999998093
⚠️ 追價風險,-15.39%,1154.09,2026-03,倚強科,69.49%,406.67,67.5,3219.TWO,🏰 高護城河,2025,120.91,1.52,49.68,0.48,24.11111111111111,1275.0,108.5
⚠️ 追價風險,N/A,1063.6100000000001,2026-03,邑昇,N/A,-17.95,11.1,5291.TWO,🚀 利潤擴張,2025,536.39,0.31,9.81,0.17,78.64864967959458,1600.0,58.2000007629
💎 強力關注,43.45%,982.33,2026-03,星通,68.55%,-6.25,78.44999999999999,3025.TW,🏰 高護城河,2025,117.67,3.45,4.27,0.6,9.885277392523902,1100.0,51.7000007629
💎 強力關注,N/A,807.1099999999999,2026-03,十銓,N/A,110.31,669.75,4967.TW,🚀 利潤擴張,2025,1792.89,13.06,2.46,27.0,6.091825307950728,2600.0,272.0
⚠️ 追價風險,2.82%,733.74,2026-03,所羅門,24.10%,46.43,17.699999999999996,2359.TW,🚀 利潤擴張,2025,280.55,1.23,21.27,0.78,110.16949152542375,1014.29,130.0
⚪ 數據不足,-143.69%,714.3499999999999,2026-03,中化生,-78.82%,-566.18,-85.05,1762.TW,🔄 轉虧為盈,2025,496.76,-4.39,-40.26,1.64,0.0,1211.11,33.6500015259
⚠️ 追價風險,20.25%,648.6500000000001,2026-03,晶豪科,32.33%,-51.41,36.29999999999999,3006.TW,🚀 利潤擴張,2025,2018.02,0.87,8.08,7.22,115.0826446280992,2666.67,278.5
⚪ 數據不足,-3.37%,589.77,2026-03,盟立,17.62%,-266.0,-26.55,2464.TW,🔄 轉虧為盈,2025,510.23,-0.84,-10.95,0.24,0.0,1100.0,190.5
💎 強力關注,55.59%,583.2200000000003,2026-03,創見,61.62%,140.33,586.95,2451.TW,🏰 高護城河,2025,1484.6,12.98,69.84,18.93,7.2834142601584455,2067.82,285.0
💎 強力關注,-147.39%,582.14,2026-03,台鋼建設,-40.24%,89.09,29.400000000000006,3521.TWO,🔄 轉虧為盈,2025,224.53,-0.07,58.31,2.12,6.1224489795918355,806.67,12.0
✅ 穩健價值,4.39%,579.1500000000001,2026-03,南港,20.96%,-68.84,30.6,2101.TW,🚀 利潤擴張,2025,1184.49,1.01,-44.61,1.86,14.681372922990196,1763.64,29.9500007629
⚪ 數據不足,-1.97%,556.87,2026-03,高鋒,14.87%,-197.14,-36.6,4510.TWO,🔄 轉虧為盈,2025,543.13,-1.02,-2.21,0.2,0.0,1100.0,43.9500007629
⚠️ 追價風險,8.69%,511.73,2026-03,微端,28.61%,-40.68,15.75,3285.TWO,🚀 利潤擴張,2025,688.27,0.7,-19.66,0.26,40.14285859609524,1200.0,42.1500015259
⚠️ 追價風險,N/A,487.52,2026-03,GOGOLOOK,N/A,222.58,52.05,6902.TW,🚀 利潤擴張,2025,43.25,1.58,20.92,1.64,48.84726224783862,530.77,169.5
⚪ 數據不足,N/A,484.25,2026-03,鑫永洋,N/A,74.6,-7.499999999999999,6241.TWO,🔄 轉虧為盈,2025,335.75,-0.16,5.06,0.46,0.0,820.0,15.25
⚠️ 追價風險,N/A,472.41999999999996,2026-03,綠電,N/A,-42.59,8.850000000000001,8440.TWO,🚀 利潤擴張,2025,727.58,0.31,-6.1,0.22,33.983049554406776,1200.0,20.0499992371
⚪ 數據不足,-0.34%,444.74,2026-03,富田-創,30.54%,-1.45,0.0,4590.TW,🧐 疑業外收益,2025,-25.82,2.72,-41.11,1.21,0.0,418.92,90.6999969482
⚠️ 追價風險,11.05%,412.3,2026-03,麗正,36.04%,-34.67,17.400000000000002,2302.TW,🚀 利潤擴張,2025,187.7,0.49,11.66,0.25,37.672414450775854,600.0,43.7000007629
⚠️ 追價風險,15.37%,390.63,2026-03,華邦電,41.86%,576.92,40.8,2344.TW,🚀 利潤擴張,2025,646.87,0.88,9.55,2.25,62.867647058823536,1037.5,171.0
⚪ 數據不足,N/A,381.05,2026-03,宏�砦C戲-創,N/A,5.88,0.0,6908.TW,🚀 利潤擴張,2025,6.45,1.44,28.36,0.41,0.0,387.5,29.6000003815
⚪ 中性觀察,N/A,356.01,2026-03,應廣,N/A,-49.65,81.60000000000001,6716.TWO,🚀 利潤擴張,2025,359.78,2.19,-15.3,1.59,21.691176470588236,715.79,118.0
⚠️ 追價風險,N/A,342.59000000000003,2026-03,寶碩,N/A,207.35,19.499999999999996,5210.TWO,🚀 利潤擴張,2025,37.41,0.73,9.95,0.24,23.07692307692308,380.0,30.0
⚪ 數據不足,N/A,339.47,2026-03,鈺鎧,N/A,90.52,-8.4,5228.TWO,🔄 轉虧為盈,2025,750.53,-0.2,25.85,0.99,0.0,1090.0,39.5999984741
💎 強力關注,N/A,338.21999999999997,2026-03,亞洲藏壽司,N/A,1.73,92.55,2754.TWO,🚀 利潤擴張,2025,179.43,2.35,5.96,1.42,11.118314177325772,517.65,68.5999984741
⚠️ 追價風險,14.30%,312.59000000000003,2026-03,旭然,42.07%,170.59,26.4,4556.TWO,🚀 利潤擴張,2025,237.41,0.92,-3.75,0.13,48.35227186028409,550.0,85.0999984741
✅ 穩健價值,7.94%,306.68,2026-03,協禧,30.11%,-29.63,25.95,3071.TWO,🚀 利潤擴張,2025,343.32,0.57,-5.82,0.15,13.323698980982659,650.0,23.0499992371
✅ 穩健價值,N/A,293.43999999999994,2026-03,群聯,N/A,3.78,2097.2999999999997,8299.TWO,🚀 利潤擴張,2025,849.86,41.98,23.29,68.8,15.627235016449722,1143.3,2185.0
⚪ 數據不足,N/A,276.36999999999995,2026-03,慧智,N/A,-150.59,-2.2499999999999996,6615.TWO,🔄 轉虧為盈,2025,270.3,-0.43,-14.91,0.67,0.0,546.67,33.7000007629
⚪ 數據不足,N/A,268.97,2026-03,康舒,N/A,550.0,-9.150000000000002,6282.TW,🚀 利潤擴張,2025,371.03,0.18,0.1,0.27,0.0,640.0,43.0
⚪ 數據不足,N/A,258.58,2026-03,三貝德,N/A,55.83,-20.1,8489.TWO,🔄 轉虧為盈,2025,186.87,-0.76,5.03,0.38,0.0,445.45,23.3999996185
✅ 穩健價值,8.07%,228.27999999999997,2026-03,事欣科,18.73%,8050.0,120.3,4916.TW,🚀 利潤擴張,2025,473.51,1.77,0.89,4.49,12.905236907730673,701.79,103.5
💎 強力關注,N/A,226.35000000000002,2026-03,銘旺實,N/A,-66.67,44.1,4432.TWO,🚀 利潤擴張,2025,292.4,0.88,-3.15,2.97,5.28911571112245,518.75,15.5500001907
💎 強力關注,-88.29%,217.69,2026-03,中美實,35.38%,51.72,14.700000000000001,4702.TWO,🚀 利潤擴張,2025,132.31,0.88,-61.59,0.45,9.489796112959183,350.0,9.3000001907
💎 強力關注,N/A,215.22999999999996,2026-03,東哥遊艇,N/A,33.97,493.65000000000003,8478.TW,🚀 利潤擴張,2025,297.67,13.25,5.83,3.8,4.2388331814038285,512.9,139.5
💎 強力關注,8.70%,211.49,2026-03,大亞,13.61%,-21.15,76.65,1609.TW,🚀 利潤擴張,2025,713.51,1.65,3.39,0.66,7.455968390234832,925.0,38.0999984741
⚪ 數據不足,7.12%,186.79000000000002,2026-03,聯嘉投控,19.34%,-80.0,0.0,3717.TW,🚀 利潤擴張,2025,26.54,0.08,3.55,0.47,0.0,213.33,25.25
⚪ 數據不足,N/A,185.94,2026-03,巨虹,N/A,-280.2,-43.199999999999996,8084.TWO,🔄 轉虧為盈,2025,80.73,-1.82,-10.9,0.33,0.0,266.67,40.7999992371
💎 強力關注,14.85%,185.43999999999994,2026-03,東浦,30.40%,25.64,94.05,3290.TWO,🚀 利潤擴張,2025,542.69,2.02,18.23,2.65,7.432216662535885,728.13,46.5999984741
⚪ 數據不足,N/A,164.05,2026-03,同協,N/A,-177.27,-7.95,5460.TWO,🔄 轉虧為盈,2025,385.95,-0.17,-15.68,0.09,0.0,550.0,17.0
