id,name,price,signal,pnl,count,win_rate,reason
8210.TW,勤誠,898.0,☁️ 觀望,127.42,7,57.14,[P:0.95/8.0] [📉 轉弱] 等待機會
2357.TW,華碩,953.0,☁️ 觀望,57.59,10,60.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6206.TW,飛捷,140.5,💎 持股,57.06,10,20.0,[📈 標準 V3] [P:0.95/8.0] [📉 轉弱] 趨勢維持
3653.TW,健策,5830.0,🟡 預警 (⚡ 糾結噴發),56.65,8,75.0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6548.TWO,長科*,73.5999984741,☁️ 觀望,50.11,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
6290.TWO,良維,276.0,💎 持股,48.3,12,41.67,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6655.TW,科定,124.5,💎 持股,1.38,8,62.5,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
4935.TW,茂林-KY,33.2000007629,☁️ 觀望,-6.16,5,20.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2376.TW,技嘉,366.5,🟡 預警 (⚡ 糾結噴發),-6.57,8,25.0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
2362.TW,藍天,47.9000015259,☁️ 觀望,-6.8,6,16.67,[P:0.95/8.0] [📉 轉弱] 等待機會
5484.TW,慧友,39.4000015259,☁️ 觀望,-14.67,6,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2474.TW,可成,210.0,🟡 預警 (⚡ 糾結噴發),-20.21,9,44.44,[P:0.95/8.0] [📈 穩定] 均線糾結且短均線轉強
2377.TW,微星,153.5,☁️ 觀望,-20.77,9,33.33,[P:0.95/8.0] [📈 穩定] 等待機會
8234.TWO,新漢,61.0999984741,☁️ 觀望,-21.71,7,28.57,[P:0.95/8.0] [📉 轉弱] 等待機會
8114.TW,振樺電,176.0,☁️ 觀望,-23.68,3,0.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3015.TW,全漢,53.0999984741,🟡 預警 (⚡ 糾結噴發),-30.25,10,10.0,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
6125.TWO,廣運,48.9000015259,☁️ 觀望,-33.77,8,37.5,[P:0.95/8.0] [📉 轉弱] 等待機會
4523.TWO,永彰,23.6499996185,💎 持股,-36.14,10,20.0,[📈 標準 V3] [P:0.95/8.0] [📉 轉弱] 趨勢維持
2465.TW,麗臺,91.0999984741,☁️ 觀望,-42.67,10,30.0,[P:0.95/8.0] [📉 轉弱] 等待機會
