eps,expansion,prev_eps,eps_yoy,advice,symbol,om,name,pe,date,status,rev_yoy,gm,prev_year,prev_rev_yoy,est_price,prev_eps_yoy,price
7.46,23630.65,2.11,24500.0,✅ 穩健價值,4973.TWO,N/A,廣穎,15.349369988545245,2026-03,🚀 利潤擴張,869.35,N/A,2025,-3.19,130.95000000000002,16.48,134.0
0.7,6801.67,1.13,6900.0,⚪ 中性觀察,3669.TW,7.42%,圓展,19.196428571428573,2026-03,🏰 高護城河,98.33,56.66%,2025,-3.05,25.199999999999996,-44.61,32.25
0.81,6668.8,0.92,7900.0,⚠️ 追價風險,6209.TW,N/A,今國光,34.43965583012931,2026-03,🚀 利潤擴張,1231.2,N/A,2025,50.65,34.8,222.67,79.9000015259
1.41,4621.74,1.96,7150.0,✅ 穩健價值,3054.TW,-188.65%,立萬利,14.491315515111662,2026-03,🏰 高護城河,2528.26,62.07%,2025,26.61,60.45,590.0,58.4000015259
3.64,3859.43,0.05,4133.33,💎 強力關注,1810.TW,N/A,和成,6.420911732680965,2026-03,🚀 利潤擴張,273.9,N/A,2025,-6.18,55.95,-73.68,23.9500007629
0.51,3393.55,-1.58,5000.0,⚪ 數據不足,1301.TW,-5.76%,台塑,0.0,2026-03,🔄 轉虧為盈,1606.45,2.38%,2025,-12.31,-48.45,-731.58,64.0999984741
0.35,2925.59,0.38,3400.0,⚪ 中性觀察,4924.TWO,0.43%,欣厚-KY,19.634146806707314,2026-03,🚀 利潤擴張,474.41,27.32%,2025,3.99,12.3,660.0,16.1000003815
2.17,2635.64,0.89,3200.0,⚠️ 追價風險,8042.TWO,N/A,金山電,35.18518518518519,2026-03,🚀 利潤擴張,564.36,N/A,2025,9.79,48.599999999999994,48.33,114.0
1.43,2554.2799999999997,3.0,2960.0,💎 強力關注,2855.TW,34.40%,統一證,8.989113411679627,2026-03,🏰 高護城河,405.72,82.96%,2025,3.92,96.44999999999999,0.0,57.7999992371
1.26,2382.95,4.0,3050.0,⚠️ 追價風險,3105.TWO,13.87%,穩懋,85.51959114139693,2026-03,🚀 利潤擴張,667.05,31.80%,2025,-4.69,88.05,120.99,502.0
9.37,2337.34,4.11,2733.33,💎 強力關注,1419.TW,10.89%,新紡,3.6124794745484397,2026-03,🚀 利潤擴張,395.99,27.15%,2025,12.31,274.05000000000007,41.38,66.0
0.29,2173.63,0.22,2900.0,⚠️ 追價風險,2486.TW,1.35%,一詮,383.6065573770491,2026-03,🚀 利潤擴張,726.37,15.86%,2025,10.09,9.150000000000002,175.0,234.0
0.4,1694.01,0.72,1900.0,💎 強力關注,2380.TW,0.24%,虹光,7.241378981508619,2026-03,🚀 利潤擴張,205.99,24.41%,2025,13.61,34.800000000000004,110.31,16.7999992371
0.35,1630.13,0.07,3400.0,⚠️ 追價風險,3016.TW,4.89%,嘉晶,842.105263157895,2026-03,🚀 利潤擴張,1769.87,11.81%,2025,-5.25,2.849999999999999,-92.39,160.0
1.8,1516.21,0.57,2900.0,⚠️ 追價風險,1303.TW,2.06%,南亞,127.95698924731181,2026-03,🚀 利潤擴張,1383.79,9.25%,2025,0.12,27.900000000000006,35.71,238.0
1.48,1335.3100000000002,0.15,2366.67,⚠️ 追價風險,2399.TW,-12.67%,映泰,38.14516067508065,2026-03,🚀 利潤擴張,1031.36,8.40%,2025,-14.09,18.599999999999998,275.0,47.2999992371
0.23,1225.03,0.15,2200.0,⚠️ 追價風險,4711.TWO,2.47%,永純,32.05882427745098,2026-03,🚀 利潤擴張,974.97,14.61%,2025,-4.5,7.65,50.0,16.3500003815
0.17,1157.6399999999999,0.09,1300.0,⚠️ 追價風險,1718.TW,18.72%,中纖,25.609756097560975,2026-03,🚀 利潤擴張,142.36,41.46%,2025,-0.24,6.15,250.0,10.5
0.48,1154.09,1.52,1275.0,⚠️ 追價風險,3219.TWO,-15.39%,倚強科,25.444444444444443,2026-03,🏰 高護城河,120.91,69.49%,2025,49.68,67.5,406.67,114.5
0.17,1063.6100000000001,0.31,1600.0,⚠️ 追價風險,5291.TWO,N/A,邑昇,77.4324314014865,2026-03,🚀 利潤擴張,536.39,N/A,2025,9.81,11.1,-17.95,57.2999992371
0.6,982.33,3.45,1100.0,💎 強力關注,3025.TW,43.45%,星通,10.019120750650098,2026-03,🏰 高護城河,117.67,68.55%,2025,4.27,78.44999999999999,-6.25,52.4000015259
27.0,807.1099999999999,13.06,2600.0,💎 強力關注,4967.TW,N/A,十銓,6.1030235162374025,2026-03,🚀 利潤擴張,1792.89,N/A,2025,2.46,669.75,110.31,272.5
0.78,733.74,1.23,1014.29,⚠️ 追價風險,2359.TW,2.82%,所羅門,108.05084745762714,2026-03,🚀 利潤擴張,280.55,24.10%,2025,21.27,17.699999999999996,46.43,127.5
1.64,714.3499999999999,-4.39,1211.11,⚪ 數據不足,1762.TW,-143.69%,中化生,0.0,2026-03,🔄 轉虧為盈,496.76,-78.82%,2025,-40.26,-85.05,-566.18,33.7000007629
7.22,648.6500000000001,0.87,2666.67,⚠️ 追價風險,3006.TW,20.25%,晶豪科,113.63636363636365,2026-03,🚀 利潤擴張,2018.02,32.33%,2025,8.08,36.29999999999999,-51.41,275.0
0.24,589.77,-0.84,1100.0,⚪ 數據不足,2464.TW,-3.37%,盟立,0.0,2026-03,🔄 轉虧為盈,510.23,17.62%,2025,-10.95,-26.55,-266.0,195.5
18.93,583.2200000000003,12.98,2067.82,💎 強力關注,2451.TW,55.59%,創見,7.270636340403782,2026-03,🏰 高護城河,1484.6,61.62%,2025,69.84,586.95,140.33,284.5
2.12,582.14,-0.07,806.67,💎 強力關注,3521.TWO,-147.39%,台鋼建設,6.020408260561224,2026-03,🔄 轉虧為盈,224.53,-40.24%,2025,58.31,29.400000000000006,89.09,11.8000001907
1.86,579.1500000000001,1.01,1763.64,✅ 穩健價值,2101.TW,4.39%,南港,14.632353128186274,2026-03,🚀 利潤擴張,1184.49,20.96%,2025,-44.61,30.6,-68.84,29.8500003815
0.2,556.87,-1.02,1100.0,⚪ 數據不足,4510.TWO,-1.97%,高鋒,0.0,2026-03,🔄 轉虧為盈,543.13,14.87%,2025,-2.21,-36.6,-197.14,43.0999984741
0.26,511.73,0.7,1200.0,⚠️ 追價風險,3285.TWO,8.69%,微端,39.4761912027619,2026-03,🚀 利潤擴張,688.27,28.61%,2025,-19.66,15.75,-40.68,41.4500007629
1.64,487.52,1.58,530.77,⚠️ 追價風險,6902.TW,N/A,GOGOLOOK,50.86455331412104,2026-03,🚀 利潤擴張,43.25,N/A,2025,20.92,52.05,222.58,176.5
0.46,484.25,-0.16,820.0,⚪ 數據不足,6241.TWO,N/A,鑫永洋,0.0,2026-03,🔄 轉虧為盈,335.75,N/A,2025,5.06,-7.499999999999999,74.6,15.4499998093
0.22,472.41999999999996,0.31,1200.0,⚠️ 追價風險,8440.TWO,N/A,綠電,34.32203389830508,2026-03,🚀 利潤擴張,727.58,N/A,2025,-6.1,8.850000000000001,-42.59,20.25
1.21,444.74,2.72,418.92,⚪ 數據不足,4590.TW,-0.34%,富田-創,0.0,2026-03,🧐 疑業外收益,-25.82,30.54%,2025,-41.11,0.0,-1.45,89.6999969482
0.25,412.3,0.49,600.0,⚠️ 追價風險,2302.TW,11.05%,麗正,39.69827520439655,2026-03,🚀 利潤擴張,187.7,36.04%,2025,11.66,17.400000000000002,-34.67,46.0499992371
2.25,390.63,0.88,1037.5,⚠️ 追價風險,2344.TW,15.37%,華邦電,63.0514705882353,2026-03,🚀 利潤擴張,646.87,41.86%,2025,9.55,40.8,576.92,171.5
0.41,381.05,1.44,387.5,⚪ 數據不足,6908.TW,N/A,宏�砦C戲-創,0.0,2026-03,🚀 利潤擴張,6.45,N/A,2025,28.36,0.0,5.88,30.0
1.59,356.01,2.19,715.79,⚪ 中性觀察,6716.TWO,N/A,應廣,21.13970588235294,2026-03,🚀 利潤擴張,359.78,N/A,2025,-15.3,81.60000000000001,-49.65,115.0
0.24,342.59000000000003,0.73,380.0,⚠️ 追價風險,5210.TWO,N/A,寶碩,23.038462125307696,2026-03,🚀 利潤擴張,37.41,N/A,2025,9.95,19.499999999999996,207.35,29.9500007629
0.99,339.47,-0.2,1090.0,⚪ 數據不足,5228.TWO,N/A,鈺鎧,0.0,2026-03,🔄 轉虧為盈,750.53,N/A,2025,25.85,-8.4,90.52,39.75
1.42,338.21999999999997,2.35,517.65,💎 強力關注,2754.TWO,N/A,亞洲藏壽司,11.069692552965964,2026-03,🚀 利潤擴張,179.43,N/A,2025,5.96,92.55,1.73,68.3000030518
0.13,312.59000000000003,0.92,550.0,⚠️ 追價風險,4556.TWO,14.30%,旭然,52.32954458755682,2026-03,🚀 利潤擴張,237.41,42.07%,2025,-3.75,26.4,170.59,92.0999984741
0.15,306.68,0.57,650.0,✅ 穩健價值,3071.TWO,7.94%,協禧,13.294797687861271,2026-03,🚀 利潤擴張,343.32,30.11%,2025,-5.82,25.95,-29.63,23.0
68.8,293.43999999999994,41.98,1143.3,✅ 穩健價值,8299.TWO,N/A,群聯,15.198111858103276,2026-03,🚀 利潤擴張,849.86,N/A,2025,23.29,2097.2999999999997,3.78,2125.0
