id,name,price,signal,pnl,count,win_rate,reason
3081.TWO,聯亞,2700.0,☁️ 觀望,196.05,9,66.67,[P:0.95/8.0] [📉 轉弱] 等待機會
8046.TW,南電,1240.0,☁️ 觀望,154.62,10,50.0,[P:0.95/8.0] [⏳ 猶豫] 等待機會
6640.TWO,均華,1010.0,☁️ 觀望,115.11,7,71.43,[P:0.95/8.0] [📉 轉弱] 等待機會
3037.TW,欣興,1185.0,🔥 買入 (📈 標準 V3),101.67,9,44.44,[P:0.95/8.0] [🚀 極強] 趨勢突破確認
3189.TW,景碩,962.0,🔥 買入 (📈 標準 V3),95.79,9,55.56,[P:0.95/8.0] [🚀 極強] 趨勢突破確認
6196.TW,帆宣,565.0,💎 持股,80.55,10,60.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3030.TW,德律,270.0,🟡 預警 (⚡ 糾結噴發),79.35,7,71.43,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
3363.TWO,上詮,652.0,☁️ 觀望,75.55,10,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
4979.TWO,華星光,563.0,☁️ 觀望,57.11,13,38.46,[P:0.95/8.0] [📉 轉弱] 等待機會
3583.TW,辛耘,698.0,☁️ 觀望,45.41,9,55.56,[P:0.95/8.0] [📉 轉弱] 等待機會
3455.TWO,由田,258.0,💎 持股,44.66,9,22.22,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
